N	3gram	Vygotskiy_	NovoeSre
1	в высшей степени	1	6
2	не может быть	3	4
3	со всех сторон	1	3
4	подобно тому как	1	3
5	в наше время	2	3
6	в том и	2	2
7	ни одна из	1	2
8	том и заключается	1	2
9	это совсем не	1	2
10	вместе с тем	3	2
11	так же как	2	2
12	и заключается что	1	2
13	что в нем	3	2
14	он не может	1	2
15	с одной стороны	6	2
16	с другой стороны	5	2
17	в свои права	1	2
18	она не может	2	2
19	сказать что все	1	1
20	сами по себе	3	1
21	мысли в том	1	1
22	в том что	20	1
23	не в том	2	1
24	но это значит	1	1
25	в том случае	4	1
26	до сих пор	6	1
27	я не могу	3	1
28	в такой же	1	1
29	которая в глубине	1	1
30	как будто бы	1	1
31	что она не	1	1
32	и к ней	1	1
33	на это не	1	1
34	в зависимости от	1	1
35	и в ней	1	1
36	можно было бы	6	1
37	и вместе с	3	1
38	такой же мере	1	1
39	то что он	3	1
40	жизни для этого	1	1
41	говорит что в	1	1
42	бы сказать что	1	1
43	в том чтобы	2	1
44	но это совсем	1	1
45	в том смысле	2	1
46	в отличие от	1	1
47	не к чему	1	1
48	о том что	8	1
49	же как и	1	1
50	что в этом	2	1
51	и того же	1	1
52	потому что не	1	1
53	заключает в себе	1	1
54	было бы сказать	2	1
55	жизни в этой	1	1
56	как и в	1	1
57	но это было	1	1
58	то что в	5	1
59	мы выходим из	1	1
60	том случае если	4	1
61	не имеют никакого	1	1
62	во всяком случае	6	1
63	вступает в свои	1	1
64	видим перед собой	1	1
65	и во всех	2	1
66	конечно не в	1	1
67	это не есть	1	1
68	это значит что	2	1
69	никогда еще не	1	1
70	а не к	1	1
71	в то время	4	1
72	это и есть	2	1
73	то время как	3	1
74	и все они	1	1
75	о человеке и	2	1
76	в зависимость от	1	1
77	и мы не	1	1
78	и не может	1	1
79	одного и того	1	1
