N	2gram	Medvedev_S	ViktorSh
1	конце концов	2	2
2	в конце	2	2
3	и в	3	2
4	в том	5	2
5	том что	2	2
6	говоря иначе	1	1
7	столь же	1	1
8	по существу	2	1
9	ведь это	2	1
10	заключается что	2	1
11	главным образом	2	1
12	как же	3	1
13	именно в	1	1
14	и самым	1	1
15	все то	1	1
16	павел медведев	1	1
17	более чем	3	1
18	ценное что	1	1
19	стр и	1	1
20	в частности	2	1
21	крайней мере	1	1
22	и заключается	2	1
23	время в	1	1
24	и его	1	1
25	даже не	1	1
26	хотя бы	1	1
27	далеко не	2	1
28	тем более	2	1
29	по крайней	1	1
30	только в	2	1
31	и только	3	1
32	то же	2	1
33	полемизируя с	1	1
34	и не	1	1
35	в этом	5	1
36	все это	7	1
37	сколь и	1	1
