N	3gram	Potebnia_M	OGranits
1	с точки зрения	3	5
2	не может быть	11	4
3	до тех пор	1	4
4	по отношению к	13	3
5	в том что	18	2
6	ничего общего с	1	2
7	не что иное	2	2
8	nihil est in	1	2
9	представим себе что	1	2
10	но так как	1	2
11	что иное как	2	2
12	с одной стороны	6	2
13	с другой стороны	7	2
14	с самого начала	5	2
15	возможно только в	1	1
16	не было бы	3	1
17	в природе не	1	1
18	образом мы можем	1	1
19	на самом деле	2	1
20	таким образом мы	1	1
21	и тот же	1	1
22	одно другим но	1	1
23	и как бы	4	1
24	все то что	2	1
25	может быть не	4	1
26	дойти до того	1	1
27	между собою и	1	1
28	не может в	1	1
29	между тем как	1	1
30	подобно тому как	7	1
31	по себе а	1	1
32	то не только	1	1
33	если бы мы	1	1
34	так же как	1	1
35	не совсем верно	2	1
36	на то что	3	1
37	для того чтобы	4	1
38	но в действительности	1	1
39	две группы во-первых	1	1
40	только потому что	3	1
41	распадаются на две	1	1
42	когда мы чувствуем	1	1
43	на две группы	1	1
44	до такой степени	2	1
45	в каждом отдельном	1	1
46	in intellectu quod	1	1
47	но тем не	6	1
48	est in intellectu	1	1
49	мы видим у	1	1
50	равно и в	1	1
51	заключена только в	1	1
52	не только на	1	1
53	ко всем тайнам	1	1
54	выйти за пределы	1	1
55	в собственном смысле	2	1
56	один и тот	1	1
57	в отличие от	1	1
58	этой точки зрения	1	1
59	все же есть	1	1
60	говорить и о	1	1
61	как и в	3	1
62	в связи с	2	1
63	быть сведены к	1	1
64	то что в	2	1
65	к тому что	2	1
66	во всем своем	1	1
67	тем не менее	10	1
68	ключ ко всем	1	1
69	несмотря на все	1	1
70	только то что	1	1
71	но столь же	1	1
72	в разных местах	1	1
73	язык во всем	2	1
74	в этом отношении	1	1
75	в одном случае	1	1
76	intellectu quod non	1	1
77	мы чувствуем что	1	1
78	отношению к другим	1	1
79	то же время	3	1
80	примыкает к тому	1	1
81	собственно говоря и	1	1
82	более или менее	6	1
83	в то же	3	1
84	само по себе	6	1
85	там где нет	1	1
86	все это заставляет	1	1
87	с этой точки	2	1
88	не мог бы	1	1
89	можно было бы	1	1
90	мы не можем	2	1
91	и не может	1	1
92	том что язык	1	1
