N	3gram	Propp_Morf	EvropaiE
1	с точки зрения	6	16
2	в то же	1	15
3	то же время	1	14
4	с одной стороны	2	8
5	в том что	4	6
6	этой точки зрения	1	5
7	для того чтобы	3	5
8	с этой точки	1	5
9	той или иной	1	4
10	то ни было	2	4
11	бы то ни	3	4
12	друг с другом	1	3
13	во всех случаях	1	3
14	в применении к	1	3
15	можно было бы	2	3
16	между тем в	1	3
17	во всяком случае	2	3
18	можно сказать что	1	3
19	в этом отношении	2	3
20	не может быть	9	2
21	на то что	3	2
22	в пределах этих	1	2
23	в большинстве случаев	3	2
24	в данном случае	2	2
25	только в том	1	2
26	то что в	2	2
27	в свою очередь	1	2
28	с другой стороны	5	2
29	между прочим и	1	2
30	нужно заметить что	1	2
31	во многих отношениях	1	1
32	это можно утверждать	1	1
33	и т д	60	1
34	хотя и не	2	1
35	в противном случае	1	1
36	в том случае	3	1
37	и в начале	1	1
38	не означает что	1	1
39	т е не	1	1
40	к тому или	1	1
41	вопрос о характере	1	1
42	и когда мы	1	1
43	всех этих случаях	1	1
44	в других случаях	1	1
45	в своих недрах	1	1
46	мы не можем	1	1
47	вместо того чтобы	1	1
48	к тому что	4	1
49	тех или иных	1	1
50	это один из	1	1
51	то время как	3	1
52	во всех этих	1	1
53	со стороны тех	1	1
54	это мы видим	1	1
55	или вовсе не	1	1
56	так как мы	1	1
57	он не дает	1	1
58	ответить на этот	1	1
59	то мы увидим	1	1
60	тех случаях когда	2	1
61	один и тот	1	1
62	не более как	1	1
63	не могут быть	4	1
64	мы увидим что	2	1
65	нужно помнить что	1	1
66	что же касается	1	1
67	в связи с	9	1
68	мы видим как	1	1
69	том случае если	2	1
70	в некоторых случаях	1	1
71	и тот же	1	1
72	в последнем случае	3	1
73	хотя бы только	1	1
74	но как бы	1	1
75	это значит что	1	1
76	говорить о том	2	1
77	и в качестве	1	1
78	связи с этим	5	1
79	этот вопрос мы	1	1
80	в то время	3	1
81	более или менее	2	1
82	независимо от того	4	1
83	в качестве примера	1	1
84	но так как	2	1
85	на этот вопрос	1	1
86	совершенно очевидно также	1	1
87	в тех случаях	2	1
88	а также и	5	1
89	как бы то	1	1
90	может быть и	2	1
91	друг к другу	2	1
