N	2gram	Tiupa_Lite	Sotsiolo
1	в том	22	5
2	в этом	19	5
3	не только	29	3
4	не в	11	3
5	и в	26	3
6	и только	4	3
7	более чем	4	3
8	в его	9	3
9	о литературе	2	3
10	для нас	3	3
11	что в	7	2
12	то что	14	2
13	таким образом	4	2
14	том что	19	2
15	дело не	2	2
16	как бы	8	2
17	в результате	2	2
18	было бы	4	2
19	как будто	2	2
20	в литературоведении	1	2
21	очевидно что	2	2
22	в частности	18	2
23	и мы	2	2
24	нужно было	1	2
25	но и	25	2
26	конце концов	1	2
27	может быть	24	2
28	по существу	4	2
29	и что	2	2
30	исторической жизни	1	2
31	за пределы	3	2
32	по отношению	6	2
33	в конце	6	2
34	отношению к	4	2
35	должна быть	3	2
36	далеко не	4	2
37	тем более	2	2
38	только в	8	2
39	только как	1	2
40	то же	13	2
41	еще не	4	2
42	как то	1	1
43	а в	5	1
44	что он	8	1
45	творчество в	1	1
46	художественных произведений	1	1
47	в конечном	9	1
48	столь же	5	1
49	литературы как	1	1
50	даже в	6	1
51	быть не	2	1
52	в целом	10	1
53	в силу	4	1
54	необходимо быть	1	1
55	более не	2	1
56	все эти	2	1
57	не было	5	1
58	представить себе	1	1
59	а вот	2	1
60	у которых	1	1
61	связи с	7	1
62	кто не	1	1
63	только то	3	1
64	нет а	1	1
65	не мешает	1	1
66	в своей	5	1
67	во всяком	3	1
68	в мире	9	1
69	и потому	1	1
70	все же	6	1
71	что это	1	1
72	или не	1	1
73	еще и	3	1
74	своего ремесла	1	1
75	по крайней	2	1
76	с другой	11	1
77	ни на	1	1
78	это как	3	1
79	с ним	2	1
80	право на	4	1
81	между тем	2	1
82	как совокупность	3	1
83	и более	1	1
84	но как	3	1
85	в этой	7	1
86	и его	7	1
87	перейти к	1	1
88	ли не	7	1
89	никак не	2	1
90	в данном	7	1
91	только для	1	1
92	в области	5	1
93	и по	1	1
94	себе из	1	1
95	только поэзия	1	1
96	его собственная	1	1
97	этом не	1	1
98	один из	7	1
99	так и	7	1
100	в то	12	1
101	бы они	1	1
102	системы как	1	1
103	в котором	1	1
104	поэта и	1	1
105	не выходит	1	1
106	должно было	1	1
107	же это	3	1
108	любой литературный	1	1
109	произведение как	1	1
110	чтобы сделаться	1	1
111	отнюдь не	4	1
112	и не	19	1
113	литературы на	1	1
114	выходит за	1	1
115	объекта и	2	1
116	всяком случае	2	1
117	иначе говоря	2	1
118	и о	1	1
119	к изучению	1	1
120	но не	8	1
121	может служить	1	1
122	они не	1	1
123	лучшем случае	1	1
124	в него	1	1
125	для этого	5	1
126	прежде всего	14	1
127	не пошел	1	1
128	тем что	6	1
129	тем же	5	1
130	но сам	1	1
131	стиля как	1	1
132	в каждом	2	1
133	он по	1	1
134	в строгом	1	1
135	искусство слова	1	1
136	не желаем	1	1
137	в чем	2	1
138	на основании	1	1
139	стихотворении или	1	1
140	а с	2	1
141	но только	3	1
142	и будет	2	1
143	тех кто	3	1
144	в лучшем	1	1
145	в сущности	5	1
146	конечном счете	8	1
147	он говорит	2	1
148	его в	4	1
149	не от	1	1
150	в наше	1	1
151	крайней мере	2	1
152	между собою	1	1
153	ни были	1	1
154	границы и	1	1
155	я и	10	1
156	вовсе не	3	1
157	не меняет	1	1
158	с одной	9	1
159	и наконец	2	1
160	для изучения	1	1
161	о том	3	1
162	мы не	5	1
163	тому что	1	1
164	но именно	1	1
165	наше время	1	1
166	данном стихотворении	1	1
167	в этих	2	1
168	как живой	1	1
169	у него	5	1
170	на первый	1	1
171	перед нами	1	1
172	из тех	2	1
173	историю литературы	1	1
174	вот в	1	1
175	литературе и	1	1
176	все то	2	1
177	хотя бы	3	1
178	же время	12	1
179	наконец в	2	1
180	это не	4	1
181	чуть ли	2	1
182	одной стороны	8	1
183	в связи	4	1
184	бы в	1	1
185	в виде	1	1
186	именно в	1	1
187	никогда не	5	1
188	и есть	3	1
189	не может	10	1
190	между ними	1	1
191	и как	2	1
192	для наших	1	1
193	как и	13	1
194	сколь и	1	1
195	ничего не	3	1
196	в них	1	1
