N	2gram	Tiupa_Lite	Sovremen
1	не может	10	17
2	может быть	24	12
3	точки зрения	8	12
4	таким образом	4	11
5	мы не	5	9
6	в каждом	2	8
7	в этом	19	7
8	и в	26	7
9	не можем	2	7
10	мы можем	1	6
11	в результате	2	6
12	как и	13	6
13	ничего не	3	6
14	и не	19	6
15	с точки	4	5
16	прежде всего	14	5
17	что же	1	5
18	все эти	2	5
19	в условиях	1	5
20	и наконец	2	5
21	в дальнейшем	1	4
22	а в	5	4
23	так как	2	4
24	вопрос о	1	4
25	это не	4	4
26	не только	29	4
27	в развитии	1	4
28	как бы	8	4
29	нет и	1	4
30	если мы	1	4
31	каждого элемента	1	4
32	в зависимости	1	4
33	жизни и	6	4
34	вместе с	5	4
35	в целом	10	4
36	же это	3	4
37	в том	22	4
38	зависимости от	1	4
39	из них	5	4
40	мы видели	1	4
41	и к	1	3
42	и потому	1	3
43	и мы	2	3
44	с самого	1	3
45	уже в	7	3
46	то же	13	3
47	при этом	23	3
48	не в	11	3
49	а не	28	3
50	в системе	1	3
51	для нас	3	3
52	мы получим	1	3
53	как он	2	3
54	в одном	2	3
55	у нас	5	3
56	а все	1	3
57	самого начала	1	3
58	в конце	6	3
59	так называемых	2	3
60	и т.д	8	3
61	было бы	4	3
62	в первом	1	3
63	в этой	7	3
64	из двух	1	3
65	он в	1	3
66	и все	1	3
67	на две	1	3
68	в себе	8	3
69	следующим образом	2	3
70	само собою	1	3
71	не подлежит	1	3
72	одна из	8	3
73	состоит из	1	3
74	все же	6	3
75	при таком	1	3
76	в области	5	3
77	отличается от	1	3
78	отнюдь не	4	3
79	в нем	4	3
80	но мы	1	3
81	но в	5	3
82	еще не	4	3
83	что в	7	2
84	тем не	4	2
85	в самом	4	2
86	совершенно не	1	2
87	значение в	1	2
88	и что	2	2
89	и пространства	1	2
90	отличие от	6	2
91	развития при	1	2
92	ее на	1	2
93	то и	5	2
94	с одной	9	2
95	теперь же	1	2
96	в отличие	6	2
97	такого рода	18	2
98	в свою	2	2
99	из этих	2	2
100	в его	9	2
101	во всяком	3	2
102	мы знаем	1	2
103	можно назвать	1	2
104	то ни	1	2
105	что это	1	2
106	что при	1	2
107	в некоторых	1	2
108	из которых	3	2
109	что такое	2	2
110	говорить о	1	2
111	в третьем	3	2
112	у него	5	2
113	не могут	1	2
114	в новых	1	2
115	в виде	1	2
116	со всеми	2	2
117	а на	1	2
118	свою очередь	2	2
119	и даже	9	2
120	как известно	1	2
121	самом деле	2	2
122	в которой	1	2
123	но все	1	2
124	тот или	1	2
125	который как	1	2
126	как мы	2	2
127	тем же	5	2
128	и во	1	2
129	той же	5	2
130	о жизни	1	2
131	могут быть	4	2
132	и будет	2	2
133	в таком	1	2
134	в нашем	2	2
135	уже не	9	2
136	и есть	3	2
137	или иной	3	2
138	такой же	3	2
139	на этом	3	2
140	роль в	2	2
141	не менее	11	2
142	так сказать	1	2
143	приводит к	4	2
144	и по	1	2
145	из четырех	1	2
146	своего предмета	1	2
147	на котором	1	2
148	с другом	1	2
149	свою собственную	1	2
150	в один	1	2
151	каждого из	2	2
152	тот же	1	2
153	подлежит сомнению	1	2
154	мы с	3	2
155	всяком случае	2	2
156	как угодно	1	2
157	жизни но	1	1
158	во всех	4	1
159	все они	2	1
160	бы то	1	1
161	они все	1	1
162	с новой	1	1
163	этом случае	2	1
164	в свое	1	1
165	а потому	4	1
166	во втором	3	1
167	то он	3	1
168	человека в	5	1
169	но как	3	1
170	поэтому что	1	1
171	только из	1	1
172	не является	3	1
173	в данном	7	1
174	это конечно	1	1
175	до сих	1	1
176	высшей стадии	1	1
177	при условии	1	1
178	он уже	1	1
179	и более	1	1
180	та же	2	1
181	по преимуществу	6	1
182	в действительности	2	1
183	то само	1	1
184	в любом	2	1
185	от его	1	1
186	которых в	1	1
187	с жизнью	2	1
188	данном случае	6	1
189	как одной	1	1
190	связи с	7	1
191	раз и	2	1
192	если в	2	1
193	должно быть	1	1
194	найти то	1	1
195	это как	3	1
196	такую же	1	1
197	в первый	2	1
198	жизни вообще	1	1
199	опыта как	2	1
