N	2gram	Bakhtin_Pr	Poddanst
1	не только	14	17
2	и в	83	14
3	и не	41	12
4	в области	6	11
5	в этом	24	10
6	в отношении	3	10
7	в том	22	9
8	то же	10	9
9	в качестве	1	9
10	но в	12	9
11	хотя бы	6	8
12	в пределах	8	8
13	только в	10	7
14	же время	8	7
15	в то	8	7
16	в ней	8	6
17	xix века	2	6
18	было бы	6	6
19	но и	16	6
20	в смысле	2	6
21	и пр	1	5
22	может быть	23	5
23	отношении к	2	5
24	с другой	4	5
25	не в	10	5
26	и о	3	5
27	в которых	2	5
28	а я	3	5
29	и к	13	4
30	что в	5	4
31	в котором	8	4
32	по себе	3	4
33	и если	4	4
34	и потому	6	4
35	мы должны	4	4
36	не может	18	4
37	а в	4	4
38	то что	14	4
39	как бы	27	4
40	если бы	1	4
41	а также	4	4
42	в своем	2	4
43	том что	9	4
44	наряду с	6	3
45	в себе	10	3
46	что мы	2	3
47	мы не	7	3
48	это не	10	3
49	для того	1	3
50	между тем	2	3
51	с точки	13	3
52	хотя и	10	3
53	потому что	9	3
54	прежде всего	20	3
55	тем самым	2	3
56	сами по	1	3
57	света как	1	3
58	в россии	1	3
59	заключается в	1	3
60	но не	9	3
61	могут быть	5	3
62	я и	2	3
63	и как	1	3
64	с ними	2	3
65	столь же	1	3
66	в нем	21	3
67	и без	4	3
68	тот же	2	3
69	точки зрения	17	3
70	с этим	3	2
71	во всех	15	2
72	и резко	1	2
73	именно как	3	2
74	и это	3	2
75	и других	12	2
76	ней не	1	2
77	которую мы	1	2
78	если в	2	2
79	и вот	1	2
80	время в	2	2
81	том числе	15	2
82	не будем	4	2
83	еще более	6	2
84	по сравнению	6	2
85	на этих	1	2
86	в ее	3	2
87	и тем	4	2
88	того что	1	2
89	как раз	6	2
90	в частности	1	2
91	в его	15	2
92	xix веке	3	2
93	не о	2	2
94	а не	19	2
95	нужно было	1	2
96	все это	11	2
97	в которую	1	2
98	говорить о	2	2
99	для них	2	2
100	где в	2	2
101	и есть	1	2
102	стороны и	1	2
103	как мир	1	2
104	в них	4	2
105	творчества и	1	2
106	и мучеников	1	2
107	не было	5	2
108	весьма вероятно	1	2
109	и с	10	2
110	в начале	2	2
111	как на	1	2
112	слова но	3	2
113	в общем	2	2
114	в сфере	1	2
115	главным образом	3	2
116	особый и	1	2
117	духа и	1	2
118	именно в	3	2
119	никогда раньше	1	2
120	должно быть	4	2
121	жизнь которую	2	2
122	в жизни	14	2
123	друг другу	1	2
124	в последние	1	2
125	в определенную	1	2
126	во всей	5	2
127	есть нечто	1	2
128	в силу	1	2
129	одна из	9	2
130	в мире	8	2
131	например в	8	2
132	не менее	4	2
133	в выборе	1	2
134	со стороны	1	2
135	да и	3	2
136	точек зрения	1	2
137	в эту	3	2
138	культуры в	1	2
139	из них	7	2
140	но к	4	2
141	есть не	1	2
142	тем более	2	2
143	есть в	7	2
144	и пусть	2	2
145	не к	3	2
146	в xix	3	2
147	и греческой	1	1
148	что было	2	1
149	этих двух	5	1
150	и мир	1	1
151	были бы	1	1
152	представить себе	1	1
153	и некоторой	1	1
154	нет ничего	3	1
155	ли они	1	1
156	от нее	1	1
157	исключает всякую	1	1
158	века как	1	1
159	во всяком	2	1
160	и тех	1	1
161	могли бы	2	1
162	не есть	1	1
163	ней только	1	1
164	выражены в	1	1
165	собственном смысле	3	1
166	и теперь	1	1
167	у каждого	1	1
168	и то	2	1
169	эту эпоху	1	1
170	но как	2	1
171	бы и	3	1
172	история и	1	1
173	мы можем	9	1
174	перед тем	1	1
175	на этой	2	1
176	мы видим	2	1
177	а с	1	1
178	в данном	1	1
179	только к	1	1
180	с его	4	1
181	стремиться к	1	1
182	ее по	1	1
183	но несколько	2	1
184	имеют в	1	1
185	темы и	4	1
186	и более	3	1
187	те же	1	1
188	вместе с	5	1
189	и здесь	4	1
190	план в	1	1
191	ослабевает и	1	1
192	взятые в	1	1
193	и на	27	1
194	как возможность	1	1
195	отличие от	1	1
196	традиции в	1	1
197	в самом	7	1
198	мир в	1	1
199	вопрос о	1	1
200	и очень	1	1
