N	4gram	Vygotskiy_	Psycholo
1	заключается в том что	9	23
2	в то время как	7	13
3	одной и той же	5	12
4	с этой точки зрения	4	10
5	одно и то же	3	7
6	в том что она	2	7
7	в том что он	2	7
8	до тех пор пока	1	6
9	в том и заключается	1	6
10	не что иное как	1	6
11	с психологической точки зрения	1	6
12	все больше и больше	2	5
13	так же как и	2	5
14	том и заключается что	1	4
15	одним и тем же	2	4
16	в зависимости от того	1	4
17	в том что в	2	4
18	одного и того же	3	4
19	в собственном смысле слова	1	4
20	то же самое что	3	4
21	ни в какой мере	2	4
22	состоит в том что	3	4
23	в силу того что	6	4
24	точно так же как	3	4
25	то же самое в	1	4
26	в самом деле если	1	4
27	в то же время	1	3
28	и вместе с тем	2	3
29	для того чтобы показать	1	3
30	том что он не	1	3
31	несмотря на то что	1	3
32	мы примем во внимание	1	3
33	и то и другое	1	3
34	же как и в	1	3
35	друг с другом и	1	3
36	для того чтобы сделать	2	3
37	о которых мы говорили	3	3
38	в том смысле что	2	3
39	случае не может быть	1	3
40	мы могли бы сказать	4	3
41	привело к тому что	1	3
42	что с точки зрения	1	2
43	что в этом случае	2	2
44	заключается только в том	2	2
45	в том что всякое	1	2
46	мы не можем не	2	2
47	в том что они	1	2
48	в такой же мере	3	2
49	совершенно невозможно потому что	1	2
50	до сих пор в	1	2
51	по самой своей природе	4	2
52	находится в зависимости от	1	2
53	в одной и той	3	2
54	если мы примем во	1	2
55	именно в силу того	1	2
56	что с самого начала	1	2
57	было бы показать что	1	2
58	в том что оно	3	2
59	только в том что	2	2
60	которых мы говорили выше	2	2
61	с одной стороны и	4	2
62	есть в сущности говоря	1	2
63	вместе с тем и	2	2
64	в сущности говоря это	1	2
65	мы видели что в	1	2
66	в том что мы	1	2
67	и не может быть	2	2
68	в какой мере не	2	2
69	по сравнению с той	1	2
70	видим таким образом что	1	2
71	могли бы сказать что	4	2
72	если мы обратимся к	1	2
73	можно было бы показать	1	2
74	ни одно из этих	1	2
75	представление о том что	2	2
76	мы видим таким образом	1	2
77	но вместе с тем	2	2
78	же самое что и	1	2
79	о чем идет речь	1	2
80	приводит к тому что	3	2
81	есть не что иное	1	2
82	той мере в какой	2	1
83	точка зрения приводит к	1	1
84	оказывается не в состоянии	1	1
85	к решению этого вопроса	1	1
86	с точки зрения тех	1	1
87	о чем говорится в	3	1
88	как и то что	1	1
89	в той мере в	2	1
90	в полном смысле этого	1	1
91	друг к другу и	1	1
92	так и во всех	1	1
93	с самого начала что	1	1
94	нового по сравнению с	1	1
95	как мы уже говорили	2	1
96	совпадает с тем что	1	1
97	для того чтобы понять	1	1
98	то время как у	1	1
99	потому что все это	1	1
100	того чтобы ответить на	1	1
101	в той же мере	2	1
102	никакой роли и что	1	1
103	в каком отношении находятся	1	1
104	он говорит что есть	1	1
105	мы не станем сейчас	1	1
106	себе отчета в том	1	1
107	отдает себе отчета в	1	1
108	говорить не только о	1	1
109	от понятия к понятию	1	1
110	не иначе как в	1	1
111	друг к другу как	1	1
112	до сих пор значение	1	1
113	в том что это	1	1
114	чем говорится в этой	1	1
115	и есть то о	1	1
116	во внимание то что	1	1
117	сомнения в том что	1	1
118	как мы увидим ниже	1	1
119	и там и здесь	1	1
120	полном смысле этого слова	1	1
121	мы видим в том	2	1
122	была в том что	1	1
123	что то же самое	1	1
124	только о том что	1	1
125	в каждый данный момент	1	1
126	то что мы нашли	2	1
127	но совершенно очевидно что	1	1
128	что с этой точки	1	1
129	как и всякий другой	1	1
130	не отдает себе отчета	1	1
131	зависимости от того что	1	1
132	друг к другу в	1	1
133	само по себе но	1	1
134	басне стрекоза и муравей	1	1
135	в светлое поле сознания	1	1
136	мы вправе были бы	1	1
137	в сущности говоря в	1	1
138	то не удивительно что	1	1
139	только в самом конце	1	1
140	в этом отношении и	1	1
141	но если присмотреться внимательно	1	1
142	правом мы могли бы	1	1
143	идет все время речь	1	1
144	это все равно что	1	1
145	но для того чтобы	1	1
146	возникает из того что	1	1
147	не станем останавливаться на	1	1
148	суть дела заключается в	1	1
149	мы вправе сделать вывод	1	1
150	всегда заключает в себе	1	1
151	совершенно так же как	1	1
152	и то же слово	1	1
153	в басне стрекоза и	1	1
154	до сих пор ни	1	1
155	с точки зрения того	1	1
156	в конечном счете и	1	1
157	ответить на этот вопрос	1	1
158	из того что мы	1	1
159	мы знаем о чем	1	1
160	при помощи одних только	1	1
161	вперед по сравнению с	1	1
162	для того чтобы ответить	1	1
163	но что самое важное	1	1
164	знаем о чем идет	1	1
165	у нас на глазах	1	1
166	в конце концов к	1	1
167	как говорит французская пословица	1	1
168	чтобы ответить на этот	1	1
169	в том числе и	2	1
170	одном и том же	3	1
171	в зависимости от той	1	1
172	в том и другом	2	1
173	так как мы знаем	1	1
174	ничего нового по сравнению	1	1
175	как только мы пытаемся	1	1
176	не только ничего не	1	1
177	говорит по этому поводу	1	1
178	то о чем говорится	4	1
179	как это имеет место	1	1
180	факт заключается в том	1	1
181	же самое в отношении	1	1
182	с самого начала в	1	1
183	таким образом оказывается что	1	1
184	то же самое происходит	1	1
185	одну и ту же	1	1
186	занимает среднее место между	1	1
187	с точки зрения этой	1	1
188	мы не станем останавливаться	1	1
189	есть то о чем	2	1
190	но если это так	1	1
191	мы имеем дело с	1	1
192	потому что в этом	1	1
