N	2gram	Bakhtin_Pr	Psycholo
1	то что	8	193
2	и в	38	190
3	в том	8	163
4	что в	7	123
5	том что	3	113
6	и что	2	108
7	может быть	26	107
8	таким образом	10	102
9	в этом	15	100
10	то есть	46	97
11	все время	1	86
12	в самом	7	82
13	как бы	22	80
14	для того	2	78
15	того чтобы	2	78
16	что он	2	76
17	не только	9	75
18	на то	2	73
19	и не	42	73
20	самом деле	6	70
21	точки зрения	8	69
22	и т	14	69
23	не может	27	68
24	так же	1	63
25	было бы	8	56
26	если бы	3	55
27	то же	5	54
28	о том	4	54
29	и мы	1	54
30	при этом	5	52
31	как и	7	51
32	что и	2	50
33	а не	5	50
34	что это	2	49
35	сказать что	4	46
36	по себе	1	46
37	только в	13	46
38	к тому	1	45
39	в искусстве	12	45
40	не в	7	45
41	ясно что	3	43
42	искусства и	3	43
43	в этой	1	43
44	показать что	2	43
45	никогда не	5	42
46	и все	3	42
47	вместе с	1	41
48	как это	2	40
49	но и	9	40
50	того что	2	39
51	же самое	2	38
52	т п	13	38
53	и это	3	37
54	и как	8	36
55	с тем	1	35
56	вовсе не	2	34
57	и если	1	34
58	и его	16	34
59	тому что	1	33
60	все же	6	33
61	что все	2	33
62	в себе	4	32
63	все это	3	32
64	художественного произведения	11	32
65	он не	3	31
66	в его	43	31
67	для нас	1	31
68	в ней	4	31
69	мы увидим	3	30
70	как в	4	30
71	с одной	3	29
72	и для	11	29
73	одной стороны	3	29
74	с точки	6	29
75	в нем	15	29
76	искусства в	2	29
77	мы можем	6	28
78	что мы	1	28
79	в своих	2	27
80	в основе	5	27
81	и на	3	27
82	а в	6	27
83	с другой	7	27
84	все то	3	27
85	совершенно не	7	26
86	только что	1	25
87	художественной формы	9	25
88	и здесь	2	25
89	жизни и	1	25
90	до сих	1	24
91	до конца	1	24
92	тем что	2	24
93	художественное произведение	8	24
94	в целом	3	24
95	в своем	5	23
96	сих пор	1	23
97	из этого	1	23
98	целый ряд	1	23
99	что оно	2	23
100	могут быть	5	23
101	из них	1	22
102	что у	1	22
103	между тем	7	22
104	и даже	3	22
105	т д	1	22
106	в котором	2	21
107	в двух	2	21
108	в которых	1	21
109	в своей	7	21
110	ни в	11	21
111	что эта	2	21
112	как мы	7	21
113	и вот	1	21
114	и только	4	21
115	другой стороны	4	20
116	в то	4	20
117	мы имеем	2	20
118	она не	2	20
119	дело с	6	20
120	несмотря на	3	20
121	на этом	2	20
122	там где	6	20
123	это не	5	20
124	все эти	5	20
125	в одном	1	19
126	мы уже	1	19
127	в какой	2	19
128	мы должны	2	19
129	в ее	4	19
130	в которой	1	18
131	можно было	4	18
132	но в	4	18
133	что с	1	18
134	на самом	4	18
135	но не	12	18
136	и есть	2	18
137	был бы	1	18
138	есть не	2	18
139	в виду	4	17
140	мы все	1	17
141	время как	1	17
142	но это	3	17
143	одна из	2	17
144	у нас	2	17
145	и о	5	17
146	и к	3	16
147	из которых	2	16
148	к этому	2	16
149	обратиться к	1	16
150	в таком	3	16
151	и тем	3	16
152	не имеет	9	16
153	формы и	5	16
154	так и	5	16
155	тому как	1	16
156	в результате	1	15
157	в них	5	15
158	только на	1	15
159	во всех	11	15
160	о которых	2	15
161	могли бы	1	15
162	не могут	2	15
163	о котором	2	15
164	искусства как	2	15
165	и потому	4	15
166	не просто	1	15
167	которых мы	4	15
168	далеко не	5	15
169	еще не	7	15
170	для него	1	15
171	в частности	2	15
172	не можем	2	15
173	в совершенно	1	14
174	хотя бы	4	14
175	но он	1	14
176	к искусству	1	14
177	то время	1	14
178	в художественном	20	14
179	это и	1	14
180	это только	1	14
181	прежде всего	13	14
182	этих двух	1	14
183	бы в	1	14
184	столь же	2	14
185	должна быть	4	14
186	этом отношении	2	14
187	или в	2	14
188	по существу	2	14
189	есть только	2	14
190	в области	11	14
191	с ним	5	14
192	именно в	1	13
193	не могли	2	13
194	точка зрения	3	13
195	на искусство	1	13
196	могла бы	1	13
197	отнюдь не	19	13
198	этот вопрос	1	13
199	в той	1	13
200	едва ли	3	13
201	искусства не	3	13
202	и он	2	13
203	как он	1	13
204	и другие	2	12
205	в этих	2	12
206	не менее	4	12
207	может служить	1	12
208	в конечном	4	12
209	я не	2	12
210	в самой	2	12
211	в свою	2	12
212	и уже	1	12
213	но если	1	12
214	и может	1	12
215	идет о	1	12
216	это в	1	12
217	и с	17	12
218	например в	3	12
219	что по	1	12
220	как только	3	12
221	к психологии	1	12
222	что не	4	12
223	художественном произведении	5	12
224	действия и	1	12
225	характера и	2	12
226	ничего не	6	12
227	в поэзии	9	12
228	в нашей	2	12
229	конечном счете	4	11
230	так например	1	11
231	конечно не	5	11
232	не было	2	11
233	была бы	2	11
234	подобно тому	1	11
235	сравнению с	1	11
236	по сравнению	1	11
237	на этот	1	11
238	как к	2	11
239	бы мы	1	11
240	и других	2	11
241	отличие от	5	11
242	он должен	2	11
243	есть в	1	11
244	исходит из	1	11
245	по поводу	2	11
246	его в	9	11
247	ли это	1	11
248	образом и	1	11
249	этого слова	1	11
250	с его	2	11
251	но совершенно	2	11
252	во всем	2	10
253	в другом	2	10
254	в тех	3	10
255	том и	1	10
256	сами по	1	10
257	именно на	1	10
258	искусства но	4	10
259	данном случае	4	10
260	в их	10	10
261	от него	3	10
262	отличается от	2	10
263	в данном	4	10
264	должно быть	5	10
265	и у	2	10
266	но как	2	10
267	все те	1	10
268	и от	3	10
269	мы в	3	10
270	здесь мы	2	10
271	не является	3	10
272	материала и	2	10
273	это было	1	10
274	и между	1	10
275	но что	1	9
276	не есть	6	9
277	в действительности	1	9
278	вопрос о	1	9
279	на него	3	9
280	и следовательно	1	9
281	в чем	2	9
282	мы будем	3	9
283	в него	2	9
284	с ее	1	9
285	бы не	2	9
286	его и	1	9
287	из его	1	9
288	в отличие	5	9
289	в виде	2	9
290	по своему	1	9
291	в самых	1	9
292	тем самым	4	9
293	и ее	2	9
294	которые не	1	9
295	о чем	1	9
296	можно сказать	2	9
297	к чему	2	9
298	и именно	2	9
299	и дальше	1	9
300	должен быть	2	9
301	с совершенно	2	9
302	именно это	1	9
303	и наконец	6	9
304	не к	6	9
305	формы в	1	8
306	для выражения	1	8
307	себе и	1	8
308	искусство в	1	8
309	в сознании	1	8
310	в общем	1	8
311	чувств и	1	8
312	художественного творчества	12	8
313	имеет дело	9	8
314	уже из	1	8
315	такое же	1	8
316	смысле этого	1	8
