N	3gram	Voloshinov	Russkaja
1	друг с другом	1	14
2	с точки зрения	6	9
3	в том что	1	7
4	на самом деле	4	6
5	во всяком случае	3	6
6	для того чтобы	1	6
7	до сих пор	3	5
8	не может быть	3	4
9	бы то ни	1	4
10	той или иной	1	3
11	вместе с тем	1	3
12	можно было бы	1	3
13	в данном случае	1	3
14	в большинстве случаев	3	2
15	о том что	2	2
16	жизни и деятельности	1	2
17	быть не может	1	1
18	во всех областях	1	1
19	в самом деле	2	1
20	даже тогда когда	1	1
21	для достижения этой	1	1
22	дело в том	1	1
23	мы уже знаем	1	1
24	уже знаем что	1	1
25	прежде всего на	1	1
26	так же как	2	1
27	с нею и	1	1
28	и таким образом	1	1
29	во многих случаях	1	1
30	и прежде всего	1	1
31	никакому сомнению что	1	1
32	только для того	1	1
33	и ту же	1	1
34	по крайней мере	3	1
35	с самого начала	4	1
36	не будет как	1	1
37	в одно прекрасное	1	1
38	не может иметь	1	1
39	всяком случае не	1	1
40	то ни было	1	1
41	но мы знаем	1	1
42	и того же	1	1
43	но мы уже	1	1
44	это именно так	1	1
45	одну и ту	1	1
46	в любви к	1	1
47	на первый взгляд	1	1
48	в связи с	1	1
49	то же самое	1	1
50	конечно не может	1	1
51	достижения этой цели	1	1
52	одно прекрасное утро	1	1
53	во всем мире	1	1
54	говорить о том	1	1
55	хотя бы ценою	1	1
56	в этом отношении	1	1
57	того же положения	1	1
58	в применении к	1	1
59	в этом и	1	1
60	альфой и омегой	1	1
61	это и есть	1	1
62	в его целом	2	1
63	но даже и	1	1
64	зависит от того	1	1
65	одного и того	1	1
66	и в этом	2	1
67	к себе но	1	1
68	знаем что и	1	1
69	нечего и говорить	2	1
