N	2gram	Vinokur_Ku	Myslijsy
1	потому что	40	182
2	и в	44	121
3	может быть	25	107
4	в том	47	103
5	то что	14	83
6	в слове	3	78
7	для нас	6	75
8	что в	25	73
9	и не	23	73
10	только в	15	72
11	не только	29	67
12	а не	17	67
13	таким образом	17	64
14	в языке	16	60
15	в этом	31	59
16	но и	13	59
17	том что	30	59
18	так как	16	59
19	то же	12	56
20	не в	18	54
21	если бы	21	53
22	в себе	4	53
23	по себе	10	52
24	не может	13	52
25	того что	11	47
26	в сознании	1	46
27	было бы	28	45
28	в нем	7	45
29	не есть	4	42
30	как и	3	42
31	так что	5	39
32	вместе с	8	39
33	что и	5	38
34	мы не	1	38
35	при этом	6	37
36	как в	6	37
37	так и	10	37
38	тогда когда	7	36
39	что мы	6	36
40	точно так	4	35
41	тем что	9	33
42	и что	11	32
43	внутренней формы	1	31
44	по отношению	9	30
45	а в	7	30
46	что не	10	29
47	между тем	11	29
48	но не	11	29
49	вовсе не	18	28
50	мы можем	2	28
51	для него	2	28
52	есть только	1	28
53	с этим	6	27
54	что язык	7	27
55	могут быть	5	27
56	язык есть	7	26
57	не было	6	26
58	независимо от	1	26
59	и т	62	26
60	то и	4	26
61	отношению к	9	26
62	языка и	16	25
63	этого слова	8	25
64	между собою	3	24
65	в то	4	24
66	с тем	5	23
67	как бы	11	23
68	того как	6	23
69	от того	5	23
70	а потому	6	22
71	по мере	3	22
72	что слово	6	22
73	то это	3	22
74	с другой	14	22
75	не имеет	6	22
76	только тогда	4	22
77	но в	11	22
78	и потому	6	21
79	внутренняя форма	2	21
80	не менее	12	21
81	в одном	4	20
82	это не	13	20
83	в ней	6	20
84	мысли и	1	19
85	и как	3	19
86	но это	4	19
87	сказать что	5	19
88	с ним	5	19
89	того же	6	19
90	тем не	10	19
91	что это	11	19
92	и то	7	19
93	из этих	5	19
94	о том	10	19
95	есть уже	1	19
96	тем самым	5	19
97	должно быть	6	19
98	есть не	2	19
99	в самом	20	18
100	в таком	3	18
101	для того	23	18
102	по поводу	2	18
103	не могут	5	18
104	очевидно что	4	18
105	бы не	1	18
106	в каком	6	18
107	для меня	1	18
108	тогда как	2	18
109	что я	4	18
110	еще не	10	18
111	точки зрения	25	17
112	крайней мере	11	17
113	со стороны	8	17
114	по крайней	11	17
115	слова и	8	17
116	заметить что	1	17
117	что оно	6	17
118	уже в	5	17
119	в его	16	17
120	во всяком	8	17
121	слова в	7	17
122	только что	2	16
123	и на	8	16
124	к тому	8	16
125	так же	8	16
126	в своем	4	16
127	в которой	7	16
128	а только	10	16
129	в них	10	16
130	слово есть	1	16
131	или же	3	16
132	если б	2	16
133	есть нечто	2	16
134	что если	4	16
135	же с	1	16
136	на то	6	16
137	быть может	1	15
138	в этих	5	15
139	уже не	13	15
140	только как	3	15
141	с одной	3	15
142	и тем	7	15
143	и по	4	15
144	что он	7	15
145	в свою	4	15
146	т д	21	15
147	прежде всего	14	15
148	думать что	1	15
149	на деле	2	14
150	все же	17	14
151	в одно	2	14
152	в природе	1	14
153	в котором	4	14
154	в действительности	2	14
155	свою очередь	4	14
156	связи с	8	14
157	так сказать	5	14
158	во всех	1	14
159	когда мы	3	14
160	столь же	2	14
161	там где	7	14
162	мере того	3	14
163	должны быть	4	14
164	сам по	1	14
165	в истории	3	14
166	же время	4	14
167	и без	2	14
168	мысли в	1	14
169	мы должны	2	14
170	само по	6	14
171	те же	1	13
172	например в	5	13
173	языка в	14	13
174	как на	4	13
175	из них	4	13
176	что все	6	13
177	в смысле	2	13
178	т п	39	13
179	и все	4	13
180	не следует	6	13
181	том смысле	2	13
182	зависит от	1	13
183	смысле этого	5	13
184	образом в	3	13
185	звука и	1	13
186	и может	3	13
187	значение слова	3	13
188	и его	8	13
189	одно из	3	12
190	другой стороны	12	12
191	до сих	5	12
192	более или	3	12
193	мысли о	1	12
194	не то	1	12
195	никогда не	2	12
196	и при	3	12
197	хотя и	7	12
198	быть только	3	12
199	и вместе	1	12
200	в чем	2	12
201	под влиянием	3	12
202	сих пор	5	12
203	в каждом	3	12
204	оно не	5	12
205	всяком случае	8	12
206	язык не	2	12
207	что же	11	12
208	себе представить	2	12
209	относится к	3	12
210	только потому	13	12
211	что такое	8	12
212	все это	10	12
213	внутреннюю форму	1	12
214	есть в	6	12
215	или менее	3	12
216	тем более	2	12
217	как мы	2	12
218	что на	2	12
219	все что	1	11
220	и если	4	11
221	в первом	3	11
222	только для	3	11
223	только на	1	11
224	и это	3	11
225	к нему	1	11
226	в состоянии	2	11
227	его в	1	11
228	и притом	1	11
229	для человека	1	11
230	в силу	16	11
231	речи и	8	11
232	мы видели	3	11
233	сами по	2	11
234	того чтобы	25	11
235	быть не	2	11
236	той же	5	11
237	со словом	3	11
238	что для	3	11
239	что например	1	11
240	если не	4	11
241	и вообще	1	11
242	к одному	2	11
243	и только	2	11
244	и их	2	11
245	же что	1	11
246	указывает на	2	11
247	же в	5	11
248	но тем	1	10
249	и с	11	10
250	хотя бы	19	10
251	одной стороны	2	10
