N	3gram	Medvedev_S	Freidism
1	по отношению к	2	11
2	в том что	2	9
3	во всяком случае	1	8
4	в то же	1	6
5	то же время	1	6
6	это вовсе не	1	4
7	на первый план	1	4
8	только то что	1	3
9	в конечном счете	1	3
10	благодаря тому что	1	2
11	в конце концов	2	2
12	сказать и о	1	2
13	а с другой	1	2
14	выходит за пределы	1	2
15	это и есть	1	2
16	с одной стороны	1	2
17	то же самое	1	2
18	с помощью тех	1	1
19	том что это	1	1
20	и наконец в	1	1
21	по крайней мере	1	1
22	в этом нужно	1	1
23	конечно не в	1	1
24	только в этом	2	1
25	и потому его	1	1
26	не было бы	1	1
27	что это вовсе	1	1
28	это как будто	1	1
29	очень далеки от	1	1
30	а между тем	1	1
31	не дает никаких	1	1
32	не выходит за	1	1
33	между ними в	1	1
34	и в то	1	1
35	в наше время	1	1
36	в настоящее время	1	1
