N	2gram	Tiupa_Lite	OGranits
1	и в	26	13
2	и его	7	12
3	прежде всего	14	9
4	может быть	24	8
5	и не	19	8
6	не может	10	8
7	в его	9	7
8	и т.п	14	7
9	эстетический объект	3	7
10	точки зрения	8	7
11	таким образом	4	6
12	не только	29	6
13	только в	8	6
14	то что	14	6
15	как бы	8	6
16	в поэзии	4	5
17	хотя бы	3	5
18	с точки	4	5
19	и т.д	8	5
20	в материале	1	5
21	художественного произведения	1	5
22	все же	6	5
23	и эта	1	5
24	эстетического объекта	7	5
25	и наконец	2	5
26	в каждом	2	4
27	мы можем	1	4
28	не является	3	4
29	до тех	2	4
30	произведения как	2	4
31	только и	1	4
32	мы не	5	4
33	то же	13	4
34	еще и	3	4
35	было бы	4	4
36	в сознании	3	4
37	в школе	1	4
38	лишь в	4	4
39	в своей	5	4
40	на фоне	5	4
41	тех пор	2	4
42	но мы	1	4
43	но в	5	4
44	вопроса о	1	4
45	что в	7	3
46	к одному	1	3
47	и то	3	3
48	со всей	2	3
49	ни один	1	3
50	пор пока	2	3
51	материала и	1	3
52	в искусстве	4	3
53	и уже	1	3
54	так и	7	3
55	не как	4	3
56	говорить о	1	3
57	одно и	1	3
58	в одном	2	3
59	не столько	8	3
60	за пределы	3	3
61	отношению к	4	3
62	по отношению	6	3
63	превращается в	2	3
64	в пределах	4	3
65	в поэтике	1	3
66	в их	3	3
67	в ее	1	3
68	здесь мы	1	3
69	самом деле	2	3
70	не в	11	3
71	в которой	1	3
72	что же	1	3
73	и все	1	3
74	общего с	3	3
75	но для	1	3
76	в себе	8	3
77	так как	2	3
78	языка как	1	3
79	поэтической речи	1	3
80	да и	3	3
81	но и	25	3
82	и для	1	3
83	как и	13	3
84	ничего общего	2	3
85	никогда не	5	3
86	в области	5	2
87	своего рода	22	2
88	в самом	4	2
89	во всем	1	2
90	нет ничего	2	2
91	и к	1	2
92	что они	1	2
93	в данном	7	2
94	и этот	1	2
95	п.н медведев	1	2
96	а как	2	2
97	в своих	5	2
98	в этом	19	2
99	наша жизнь	1	2
100	в общем	1	2
101	данном случае	6	2
102	героя и	2	2
103	человеческой речи	1	2
104	которое мы	1	2
105	с одной	9	2
106	в произведении	1	2
107	мог бы	1	2
108	для себя	6	2
109	наконец в	2	2
110	одной стороны	8	2
111	роль в	2	2
112	в другом	3	2
113	при этом	23	2
114	несмотря на	3	2
115	между тем	2	2
116	автора героя	1	2
117	в полном	1	2
118	для него	6	2
