N	4gram	Berdyaev_M	Komedia
1	в то время как	2	9
2	и в самом деле	1	7
3	в том что он	1	4
4	ни в чем не	2	3
5	и там и здесь	6	3
6	сомневаться в том что	1	3
7	до сих пор не	1	3
8	после того как в	1	2
9	с утра до вечера	1	2
10	мы имеем в виду	1	2
11	той мере в какой	1	1
12	с такой силой как	1	1
13	не что иное как	4	1
14	с той целью чтобы	1	1
15	в той мере в	1	1
16	о чем они будут	1	1
17	не раскрывается с такой	1	1
18	отрезает себе путь к	1	1
19	и еще в одном	1	1
20	но подобно тому как	1	1
21	только в начале xx	1	1
22	от одного к другому	1	1
23	к которой мы еще	1	1
24	в том случае если	1	1
25	и в конце концов	2	1
26	которой мы еще вернемся	1	1
27	раскрывается с такой силой	1	1
28	так же как и	1	1
29	одна и та же	2	1
30	вместе с тем он	2	1
