N	3gram	Savitsky_E	KFilosof
1	не может быть	2	11
2	с точки зрения	16	10
3	того или иного	4	3
4	и только в	2	3
5	в этом смысле	3	3
6	один и тот	1	3
7	и тот же	1	3
8	в нем и	1	3
9	и в этом	4	3
10	и не быть	1	2
11	в том что	6	2
12	той или иной	4	2
13	отказаться от своей	1	2
14	во всем его	1	2
15	то или иное	1	2
16	в то же	15	2
17	и та же	1	2
18	в соответствии с	1	2
19	во всех этих	1	2
20	не может дать	1	2
21	то ни было	4	2
22	одна и та	1	2
23	бы то ни	4	2
24	то же время	14	2
25	как одно из	1	1
26	мы здесь говорим	1	1
27	в свою очередь	2	1
28	оставить в стороне	1	1
29	это может быть	1	1
30	было бы совершенно	1	1
31	в себе в	1	1
32	во всяком случае	3	1
33	а не к	1	1
34	с разных точек	1	1
35	на то что	2	1
36	в большинстве случаев	2	1
37	в том смысле	1	1
38	имеют дело с	1	1
39	собой столь же	1	1
40	хотя бы и	3	1
41	ту или иную	3	1
42	в ту или	1	1
43	в том случае	1	1
44	и не в	1	1
45	в том же	1	1
46	для того чтобы	5	1
47	только в том	2	1
48	независимо от того	1	1
49	он не дает	1	1
50	одного и того	1	1
51	несмотря на то	1	1
52	и на своем	2	1
53	в противном случае	1	1
54	ли это что	1	1
55	к настоящему моменту	3	1
56	того что в	2	1
57	дело в том	1	1
58	смысле этого слова	1	1
59	но в то	2	1
60	в лучшем случае	1	1
61	всех этих случаях	1	1
62	и в своем	1	1
63	вместо того чтобы	1	1
64	само по себе	4	1
65	в этом мире	1	1
66	и тем самым	1	1
67	и в то	8	1
68	как бы ни	3	1
69	значит ли это	1	1
70	в основных чертах	1	1
71	но не в	1	1
72	и того же	1	1
73	не может не	1	1
74	хотя бы только	1	1
75	нужно помнить что	1	1
76	к ним они	1	1
77	во второй половине	2	1
78	к тому что	1	1
79	или иную эпоху	1	1
80	а именно в	1	1
81	в известном смысле	3	1
82	между прочим и	2	1
83	не нужно думать	1	1
84	что в области	1	1
85	бы ни была	1	1
86	только тогда когда	1	1
87	в значительной степени	1	1
88	мы не можем	1	1
89	нужно думать что	1	1
90	может быть и	1	1
