N	2gram	Tiupa_Teor	Mirosoze
1	и в	24	97
2	может быть	22	64
3	не только	24	63
4	в этом	12	55
5	но и	14	54
6	он не	5	53
7	а не	14	53
8	в нем	7	49
9	не может	8	49
10	у него	2	47
11	и не	17	39
12	никогда не	4	38
13	человеческого духа	1	38
14	потому что	3	37
15	не было	1	36
16	не в	9	34
17	и есть	1	33
18	для него	5	31
19	не есть	1	30
20	но он	4	30
21	как и	6	29
22	прежде всего	3	29
23	в мире	26	27
24	но в	12	27
25	человека и	2	26
26	в своей	8	25
27	и это	2	25
28	свободы и	1	24
29	у нас	2	24
30	ведет к	2	23
31	в своем	7	23
32	что в	10	23
33	он –	1	23
34	что он	4	22
35	в самом	7	21
36	в себе	14	20
37	отношение к	7	20
38	как бы	8	19
39	до конца	1	19
40	ивана карамазова	1	18
41	в его	12	18
42	того что	5	17
43	и потому	3	17
44	том что	11	16
45	если нет	1	16
46	в том	20	16
47	на земле	1	16
48	то что	6	16
49	было бы	1	16
50	и его	11	16
51	быть может	1	15
52	в котором	1	15
53	не знает	4	15
54	в этой	3	15
55	в конце	2	14
56	человек в	1	14
57	она не	1	14
58	так как	1	14
59	и на	2	13
60	друг друга	1	13
61	и вот	3	13
62	в русском	1	13
63	привести к	1	12
64	в них	2	12
65	к нему	2	12
66	– не	4	12
67	но не	13	12
68	от свободы	2	12
69	это не	4	12
70	все это	2	12
71	и к	3	11
72	с тем	1	11
73	уже не	6	11
74	духа и	1	11
75	в которой	3	11
76	в русской	6	11
77	только в	9	11
78	как в	5	11
79	и для	3	11
80	свобода и	1	11
81	жизни и	1	11
82	то же	12	10
83	человек –	1	10
84	так же	2	10
85	чем у	1	10
86	всю жизнь	1	10
87	один из	2	10
88	не могут	2	10
89	не имеет	1	10
90	это и	2	10
91	связана с	1	10
92	в самой	2	10
93	человека к	3	10
94	есть не	1	10
95	все что	1	9
96	к преступлению	1	9
97	к тому	4	9
98	должно быть	1	9
99	что и	2	9
100	xix века	2	9
101	я не	2	9
102	не будет	3	9
103	он уже	1	9
104	то есть	22	9
105	с ним	1	9
106	вместе с	2	9
107	в свою	4	9
108	свободу и	1	9
109	а в	15	9
110	лишь в	10	9
111	от него	1	8
112	в этих	4	8
113	тем что	1	8
114	о том	2	8
115	вопрос о	1	8
116	себя в	7	8
117	– все	3	8
118	что не	1	8
119	за пределы	2	8
120	жизнь в	1	8
121	не так	1	8
122	в отношении	4	8
123	нет в	1	8
124	того чтобы	5	8
125	отношении к	4	8
126	человек должен	1	8
127	с его	6	8
128	они не	1	8
129	мира и	4	8
130	только и	2	8
131	для того	5	8
132	если он	1	7
133	не существует	1	7
134	в нашем	4	7
135	что все	1	7
136	точки зрения	11	7
137	и ад	1	7
138	те же	1	7
139	что она	2	7
140	на этом	2	7
141	в жизни	3	7
142	отношения к	4	7
143	жизни в	2	7
144	себя и	2	7
145	более чем	1	7
146	он в	1	7
147	мог бы	3	7
148	но если	1	7
149	должен быть	2	7
150	также и	1	7
151	же и	1	6
152	с этой	3	6
153	не как	1	6
154	добро и	1	6
155	и те	1	6
156	этого мира	1	6
157	– в	20	6
158	его в	4	6
159	к чему	2	6
160	совсем не	1	6
161	личности и	4	6
162	можно было	1	6
163	по своей	8	6
164	что достоевский	1	6
165	чтобы не	2	6
166	и от	1	6
167	и здесь	2	6
168	что это	1	6
169	или к	1	6
170	если бы	3	6
171	бы не	1	6
172	в ее	6	6
173	должен был	1	6
174	и более	1	6
175	и свободы	1	6
176	жизнь и	1	6
177	свободы но	2	6
178	быть и	2	6
179	свобода не	1	6
180	на то	1	6
181	еще не	6	5
182	бы в	1	5
183	с самим	1	5
184	одно из	1	5
185	с собой	1	5
186	и как	3	5
187	отрекается от	1	5
188	отличается от	2	5
189	с этим	1	5
190	для этого	1	5
191	говорит что	2	5
192	перед ним	2	5
193	сказать что	4	5
194	к которому	3	5
195	момент в	1	5
196	по преимуществу	5	5
197	после того	1	5
198	личности в	4	5
199	от этого	1	5
200	человека –	1	5
201	и мир	1	5
202	личность и	1	5
203	культуры и	1	5
204	в то	9	5
205	означает что	1	5
206	оно не	2	5
207	любовь и	1	5
208	да и	1	5
209	тот кто	2	5
210	он же	1	5
211	в основе	6	5
212	этом пути	1	5
213	в мир	1	5
214	той же	1	5
215	– это	33	5
216	тот же	1	5
217	в более	1	5
218	не для	1	5
219	так и	14	5
220	как у	1	5
221	в их	4	5
222	сознания но	1	5
223	и я	1	5
224	как будто	2	5
225	в той	2	4
226	в центре	1	4
227	человеческой жизни	3	4
228	в момент	3	4
229	на деле	2	4
230	восстает против	1	4
231	в своих	1	4
232	и даже	2	4
233	культуры в	3	4
234	в такой	1	4
235	жизни он	1	4
236	духовной жизни	2	4
237	не всегда	2	4
238	в него	1	4
239	по отношению	10	4
240	не что	1	4
241	него не	1	4
242	что они	2	4
243	мы видим	1	4
244	в христианском	1	4
245	что иное	1	4
246	в каждом	1	4
247	народной жизни	1	4
248	и через	1	4
249	не от	2	4
250	не была	1	4
251	тому что	2	4
252	себе и	1	4
253	в чем	2	4
254	а для	2	4
255	а с	3	4
256	человека как	1	4
257	отношение между	1	4
258	так что	1	4
259	и что	4	4
260	лишь один	2	4
261	как человек	1	4
262	его личности	1	4
263	и по	3	4
264	не случайно	5	4
265	и против	1	4
266	его с	1	4
267	живет в	1	4
268	с ума	1	4
269	ни в	5	4
270	но на	2	4
271	с ней	1	4
272	то время	1	4
273	от его	1	4
274	никто не	3	4
275	границы человеческой	1	4
276	– один	1	4
277	к другому	2	4
278	и до	1	4
279	в истории	1	4
280	вести к	1	4
281	к миру	1	4
282	отречение от	1	4
283	он должен	3	4
284	как к	5	4
285	не знают	1	4
286	могут быть	5	4
287	может не	1	4
288	и зло	1	4
289	сознания и	1	4
290	все эти	3	4
291	есть в	3	4
292	по своему	4	4
293	своей свободы	1	4
294	путь к	1	4
295	особенно в	1	4
296	не все	3	4
297	и их	1	4
298	это была	1	4
299	заключает в	1	4
300	отношению к	10	4
301	место в	7	4
302	и только	1	4
303	иное как	1	4
304	является в	1	3
305	в душе	9	3
306	и мира	2	3
307	о чем	3	3
308	в виду	5	3
309	не бывает	1	3
310	стоит в	1	3
311	его природы	1	3
312	мысль о	1	3
313	всегда остается	1	3
314	принадлежат к	1	3
315	все же	1	3
316	но у	1	3
317	в иной	3	3
318	в динамике	1	3
319	в противоположность	3	3
320	входит в	4	3
321	в одном	3	3
322	превращается в	2	3
323	значительной степени	2	3
324	не вполне	2	3
325	я никогда	1	3
326	не принадлежит	2	3
327	в состоянии	1	3
328	только свобода	1	3
329	хотя и	4	3
330	души и	1	3
331	и сама	1	3
332	одним из	3	3
333	я и	2	3
334	не остается	1	3
335	же как	1	3
336	лишь для	1	3
337	во всех	3	3
338	остается в	1	3
339	о себе	2	3
340	на смену	7	3
341	в уста	1	3
342	именно потому	1	3
343	ту же	1	3
344	между тем	5	3
345	к этим	1	3
346	и тем	5	3
347	в иных	1	3
348	с которым	1	3
349	мире и	2	3
350	свободы как	1	3
351	ближе к	1	3
352	жизни а	2	3
353	для себя	3	3
354	на почве	5	3
355	это уже	1	3
356	что свобода	1	3
357	раскрывает нам	1	3
358	со всеми	1	3
359	и будет	1	3
360	о судьбе	1	3
361	в пределах	5	3
362	к его	3	3
363	быть назван	1	3
364	приводит к	6	3
365	только одно	1	3
366	открывает что	1	3
367	в значительной	2	3
368	роль в	3	3
369	и поэтому	1	3
370	не быть	1	3
371	она может	1	3
372	тому как	3	3
373	принадлежит к	3	3
374	человеческая личность	1	3
375	всякий раз	2	3
376	и достоевского	1	3
377	жизни не	1	3
378	проникает в	1	3
379	и то	3	3
380	это особенно	1	3
381	для нас	1	3
382	личной ответственности	1	3
383	ведь это	1	3
384	но с	1	3
385	от всех	2	3
386	бытия и	1	3
387	себя а	1	3
388	долгое время	1	3
389	говорят о	1	3
390	остается лишь	1	3
391	со своей	4	3
392	и глубже	1	3
393	на его	1	3
394	об этом	2	3
395	людей в	1	3
396	такого отношения	1	3
397	но она	2	3
398	не с	3	3
399	человеческого сознания	1	3
400	природой и	1	3
401	с которой	1	2
402	с которыми	1	2
403	быть постигнут	1	2
404	другой –	1	2
405	тем как	1	2
406	для восприятия	1	2
407	не столько	7	2
408	до последнего	1	2
409	по себе	2	2
410	их не	1	2
411	и сам	4	2
412	о мире	1	2
413	на свою	2	2
414	к самому	1	2
415	не менее	6	2
416	– как	2	2
417	если в	2	2
418	культуры не	1	2
419	– и	2	2
420	не могли	2	2
421	в действительности	1	2
422	своей природе	3	2
423	в глаза	2	2
424	себе такова	1	2
425	определяющее значение	1	2
426	другу и	1	2
427	во многих	1	2
428	– лишь	1	2
429	сознания в	2	2
430	между двумя	3	2
431	человек имеет	1	2
432	е годы	1	2
433	от своей	1	2
434	в чистом	1	2
435	всего что	1	2
436	делает его	2	2
437	с другой	9	2
438	в прошлом	1	2
439	я –	3	2
440	нас на	1	2
441	жизни как	5	2
442	революции в	1	2
443	ее как	1	2
444	во всей	3	2
445	нет никаких	1	2
446	того же	4	2
447	находит свой	1	2
448	то в	2	2
449	но из	1	2
450	– на	4	2
451	такого рода	13	2
452	начала и	1	2
453	бытия не	1	2
454	и чрезвычайно	1	2
455	это отношение	3	2
456	что такое	2	2
457	связи с	3	2
458	человеческая жизнь	1	2
459	между ними	6	2
460	такова что	1	2
461	также в	1	2
462	– с	8	2
463	жизни то	2	2
464	на которую	1	2
465	реальность не	1	2
466	могли бы	2	2
467	человек как	1	2
468	весь мир	1	2
469	не означает	1	2
470	личного бытия	1	2
471	человеческого существа	1	2
472	когда мы	1	2
473	себя за	1	2
474	он переживает	1	2
475	открывается в	1	2
476	каждый человек	1	2
477	этом они	1	2
478	внутрь себя	1	2
479	всего только	1	2
480	столь же	3	2
481	бы быть	1	2
482	личной духовной	1	2
483	действительной жизни	1	2
484	и ее	4	2
485	самим собою	2	2
486	анны карениной	2	2
487	культура есть	1	2
488	во втором	3	2
489	которой не	1	2
490	и который	2	2
491	образа и	1	2
492	была бы	3	2
493	радикально меняется	1	2
494	в сущности	1	2
495	разного рода	1	2
496	подобно тому	3	2
497	с личностью	1	2
498	он стоит	1	2
499	если не	1	2
500	самом деле	2	2
501	сознание не	1	2
502	от своего	2	2
503	так называемый	1	2
504	их в	3	2
505	и действительно	1	2
506	и личной	1	2
507	к нам	2	2
508	существует не	1	2
509	ему и	1	2
510	которая не	1	2
511	в каком	2	2
512	своей жизни	2	2
513	же я	1	2
514	своей собственной	1	2
515	на какой	1	2
516	можно лишь	1	2
517	во мне	2	2
518	– да	1	2
519	направленной на	3	2
520	теми которые	1	2
521	целый ряд	1	2
522	к собственной	2	2
523	другого в	1	2
524	в сфере	1	2
525	глубже чем	1	2
526	личности к	2	2
527	мире в	1	2
528	он мог	1	2
529	этого слова	4	2
530	его как	1	2
531	обращена к	1	2
532	различие между	1	2
533	способность к	2	2
534	в последней	2	2
535	который может	1	2
536	только личность	1	2
537	от мира	1	2
538	ни к	3	2
539	жизни поэтому	1	2
540	он и	2	2
541	в основании	2	2
542	ее в	2	2
543	– его	5	2
544	смысла жизни	1	2
545	с их	2	2
546	в повести	2	2
547	но эта	1	2
548	о жизни	2	2
549	– то	2	2
550	с человеком	2	2
551	мировой жизни	1	2
552	и без	1	2
553	к жизни	2	2
554	в какой	2	2
555	в уме	1	2
556	за которым	1	2
557	но я	1	2
558	него но	1	2
559	перед собой	1	2
560	к своему	2	2
561	как ее	1	2
562	это было	2	2
563	ибо и	1	2
564	красота –	1	2
565	за его	1	2
566	бы ни	1	2
567	связаны с	1	2
568	к одному	2	2
569	он ни	1	2
570	карамазова в	1	2
571	две стороны	1	2
572	не по	1	2
573	образа в	1	2
574	другим и	1	2
575	отношений между	1	2
576	тем самым	6	2
577	человека с	3	2
578	у нее	1	2
579	и о	5	2
580	в понимании	1	2
581	которые в	1	2
582	или иной	7	2
583	духа для	1	2
584	происходит в	1	2
585	каждом человеке	1	2
586	о своих	1	2
587	толстого в	1	2
588	мира в	3	2
589	в е	1	2
590	мира с	2	2
591	момент его	1	2
592	себе а	1	2
593	это на	1	1
594	обращены к	2	1
595	для всех	2	1
596	русской литературе	2	1
597	о грядущем	1	1
598	обжигает и	1	1
599	жизнь но	1	1
600	даже в	3	1
601	в финале	3	1
602	иллюзии и	1	1
603	к знанию	1	1
604	она лишь	1	1
605	человеком который	1	1
606	говорит о	1	1
607	точнее –	1	1
608	окружающей его	2	1
609	требует от	1	1
610	высокий уровень	1	1
611	быть художественно	1	1
612	другой стороны	6	1
613	не несет	1	1
614	дорожит этой	1	1
615	жизни –	2	1
616	понимается как	1	1
617	есть высшая	2	1
618	мыслится как	5	1
619	а напротив	2	1
620	по пути	4	1
621	обращением к	1	1
