N	4gram	Tiupa_Teor	Problemy
1	в то же время	8	26
2	но в то же	2	11
3	и в то же	2	7
4	бы то ни было	2	6
5	в том что он	2	5
6	в той или иной	1	5
7	по себе еще не	1	4
8	а в то же	1	3
9	одно и то же	2	3
10	дело в том что	1	2
11	то же время оно	1	2
12	чего бы то ни	1	2
13	и в слове о	1	2
14	и по отношению к	1	2
15	по отношению к нему	1	2
16	какой бы то ни	1	2
17	из уст в уста	1	2
18	только то что может	1	1
19	с одной стороны и	1	1
20	в этом смысле можно	1	1
21	с самим собою в	1	1
22	в таком случае это	1	1
23	по отношению к самому	1	1
24	на вопрос что такое	1	1
25	но в отличие от	1	1
26	кто бы они ни	1	1
27	не может быть и	1	1
28	одного и того же	4	1
29	сама по себе еще	1	1
30	бы они ни были	1	1
31	и в самом деле	2	1
32	заключается в том что	1	1
33	иметь в виду что	1	1
34	в том числе и	2	1
35	как более или менее	1	1
36	собственного сознания а в	1	1
37	но в таком случае	1	1
38	мы имеем в виду	3	1
39	в отношении к нему	1	1
40	однако в отличие от	1	1
41	во всей своей полноте	1	1
42	по отношению к автору	1	1
43	по отношению к герою	2	1
44	искусства и в частности	1	1
45	в том или ином	1	1
