N	3gram	Bakhtin_Fr	Tragedij
1	то же время	12	5
2	в то же	12	5
3	так и в	3	3
4	в том что	4	2
5	но в то	3	2
6	в году в	1	2
7	в данном случае	1	2
8	о том что	4	2
9	и в самом	1	2
10	но все же	1	2
11	не в силах	1	2
12	сам по себе	2	1
13	и не быть	1	1
14	эти образы и	1	1
15	а на другой	1	1
16	в этом романе	1	1
17	том что он	1	1
18	в одном из	2	1
19	все это мы	1	1
20	имеет в виду	1	1
21	все эти образы	3	1
22	за то что	4	1
23	по самой середине	1	1
24	смысле этого слова	1	1
25	в конце концов	5	1
26	это как бы	1	1
27	в последней главе	4	1
28	как и его	1	1
29	вместо того чтобы	2	1
30	в применении к	1	1
31	но если он	1	1
32	в той же	5	1
33	в период создания	1	1
34	то что он	1	1
35	в этом мире	1	1
36	xii и xiii	1	1
37	в чем же	2	1
38	с самого начала	1	1
39	и то что	1	1
40	как и все	1	1
41	с начала и	4	1
42	в xix веке	1	1
43	что я не	1	1
44	можно было слышать	1	1
45	как и в	2	1
46	в связи с	2	1
47	отметим также что	1	1
48	в самом деле	3	1
49	потому что сам	1	1
50	во всяком случае	1	1
51	если б я	1	1
52	что все это	2	1
53	и в истории	1	1
54	и до конца	4	1
55	и должна быть	1	1
56	мы встречаем такие	1	1
57	в известной мере	1	1
58	одном из своих	1	1
59	это и есть	1	1
60	начала и до	4	1
61	так же легко	2	1
62	романа прежде всего	1	1
63	после того как	6	1
64	и в этом	1	1
65	рассказывает о своих	1	1
