N	2gram	Losev_Dial	Narrotol
1	не только	26	62
2	и не	51	50
3	при этом	2	47
4	но и	17	45
5	а не	24	38
6	в качестве	2	35
7	в частности	4	31
8	может быть	30	30
9	и в	35	30
10	в том	20	29
11	в этом	18	28
12	том что	18	28
13	а в	8	27
14	только в	7	25
15	в данном	5	24
16	как и	10	24
17	не в	12	23
18	то что	25	23
19	то есть	1	22
20	не может	16	20
21	в себе	23	17
22	данном случае	1	17
23	так и	18	17
24	а также	1	17
25	со стороны	2	16
26	в его	4	16
27	к тому	6	15
28	можно сказать	10	15
29	но в	8	15
30	в жизни	3	14
31	и его	6	14
32	то же	21	13
33	в своей	9	13
34	уже не	3	13
35	о том	8	13
36	в своем	7	13
37	у него	2	13
38	времени и	10	13
39	все же	9	12
40	как в	3	12
41	перед нами	3	12
42	как бы	19	12
43	прежде всего	14	12
44	об этом	7	11
45	хотя и	4	11
46	в мире	3	11
47	если бы	12	11
48	и тем	2	11
49	в этой	3	11
50	в нем	25	11
51	жизни в	1	11
52	отличие от	1	11
53	тем самым	1	11
54	один из	3	10
55	никогда не	18	10
56	тому же	3	10
57	точки зрения	25	10
58	между тем	3	10
59	как это	8	10
60	в то	10	10
61	и все	11	10
62	не является	3	10
63	жизни и	9	10
64	ничего не	19	10
65	того что	6	10
66	но не	9	10
67	как раз	7	9
68	тем не	3	9
69	той или	11	9
70	я в	3	9
71	столь же	1	9
72	отнюдь не	13	9
73	что в	19	9
74	с ним	9	9
75	что он	16	9
76	еще не	4	9
77	потому что	23	9
78	во времени	4	9
79	для него	2	9
80	далеко не	2	9
81	в той	4	8
82	и к	8	8
83	в самом	6	8
84	в таком	4	8
85	о чем	4	8
86	не менее	5	8
87	большей части	1	8
88	одна из	1	8
89	он не	5	8
90	и он	6	8
91	самом деле	6	8
92	того чтобы	1	8
93	внимание на	1	8
94	мы имеем	4	8
95	же время	9	8
96	и для	2	8
97	этом отношении	2	8
98	в литературе	1	8
99	по большей	1	8
100	но при	1	8
101	у нее	1	8
102	или иной	4	8
103	в принципе	1	7
104	имеет место	1	7
105	при всей	1	7
106	в котором	5	7
107	с другой	10	7
108	в ее	3	7
109	на себя	1	7
110	в конце	5	7
111	в чем	9	7
112	в силу	6	7
113	же в	2	7
114	и состоит	2	7
115	это не	18	7
116	вслед за	2	7
117	или в	2	7
118	также и	7	7
119	в ней	4	7
120	одного из	1	7
121	в целом	1	7
122	все что	2	6
123	в результате	2	6
124	например в	2	6
125	между двумя	1	6
126	сказать что	19	6
127	на него	2	6
128	имеем дело	1	6
129	то в	8	6
130	что у	3	6
131	с одной	4	6
132	человеческого опыта	1	6
133	что и	7	6
134	на другой	1	6
135	не могла	1	6
136	в современной	2	6
137	в состав	1	6
138	таким образом	5	6
139	никак не	6	6
140	к его	2	6
141	то и	3	6
142	из этих	2	6
143	в сознании	3	6
144	здесь не	1	6
145	они не	3	6
146	как у	3	6
147	не по	2	6
148	одной стороны	3	6
149	на то	5	6
150	вплоть до	3	6
151	человеческой жизни	2	5
152	только что	5	5
153	в своих	1	5
154	и даже	23	5
155	и сам	1	5
156	именно в	4	5
157	а именно	3	5
158	мира и	2	5
159	в другом	6	5
160	для того	2	5
161	не всегда	2	5
162	о них	1	5
163	в одном	4	5
164	он сам	6	5
165	точка зрения	3	5
166	себя в	2	5
167	из них	5	5
168	к нему	12	5
169	от его	1	5
170	бы и	4	5
171	не было	7	5
172	или не	5	5
173	но для	2	5
174	я не	9	5
175	человек в	1	5
176	так сказать	1	5
177	его жизни	1	5
