N	3gram	Ircho_Kome	Marksizm
1	с точки зрения	6	46
2	не может быть	1	25
3	в самом деле	13	19
4	по отношению к	4	15
5	то же время	11	15
6	в то же	11	15
7	в том что	15	14
8	в связи с	3	14
9	и не может	1	12
10	то ни было	3	12
11	в высшей степени	2	12
12	бы то ни	3	12
13	для того чтобы	8	11
14	до сих пор	12	11
15	в отличие от	3	10
16	с самого начала	5	10
17	одного и того	1	9
18	и того же	1	9
19	в настоящее время	1	8
20	в отношении к	1	8
21	то же самое	3	8
22	с другой стороны	2	7
23	в свою очередь	10	7
24	как мы знаем	1	7
25	на то что	1	6
26	во всяком случае	3	6
27	если бы он	3	6
28	с одной стороны	4	6
29	отнюдь не является	1	5
30	к тому что	1	5
31	как мы видели	1	5
32	в этом случае	2	5
33	в этом отношении	2	5
34	в первом случае	1	4
35	в зависимости от	1	4
36	но все же	3	4
37	о том что	7	4
38	можно сказать что	1	4
39	том что он	1	4
40	и тот же	3	3
41	не только в	1	3
42	тем не менее	3	3
43	одной стороны и	2	3
44	в том числе	2	3
45	более или менее	2	3
46	друг с другом	3	3
47	но при этом	1	3
48	в конце концов	3	3
49	том числе и	2	3
50	того же слова	1	3
51	точки зрения самого	1	3
52	вовсе не является	1	3
53	и речи о	3	3
54	а не в	1	3
55	и в этом	1	3
56	но и в	1	3
57	выходят за пределы	2	3
58	один и тот	3	3
59	на первый план	1	3
60	на этот вопрос	1	3
61	не было бы	1	3
62	можно было бы	1	3
63	что он не	3	2
64	тех пор пока	1	2
65	себе отчет в	1	2
66	в собственном смысле	1	2
67	мы не найдем	1	2
68	она могла бы	1	2
69	друг от друга	1	2
70	как раз эта	1	2
71	так или иначе	3	2
72	так и в	1	2
73	обстоит дело с	3	2
74	мы встречаем в	1	2
75	друг друга в	1	2
76	ничего общего с	1	2
77	мы можем сказать	1	2
78	к тому же	9	2
79	сама по себе	1	2
80	лицом к лицу	1	2
81	и в том	1	2
82	собственном смысле слова	1	2
83	тому что в	1	2
84	чуть ли не	2	2
85	к нему в	1	2
86	по крайней мере	1	2
87	бы он был	1	2
88	в г в	1	2
89	со всеми ее	1	2
90	в чем же	2	2
91	несмотря на то	1	2
92	независимо от того	1	2
93	таким образом в	1	2
94	до тех пор	5	2
95	в противном случае	1	2
96	кроме того в	1	2
97	в достаточной степени	3	2
98	так же как	1	2
99	и между ними	1	2
100	и в самом	7	2
101	в нем и	1	2
102	вопрос о том	1	2
103	должен был бы	1	2
104	но и здесь	2	2
105	при этом почти	1	1
106	себе не может	1	1
107	а может быть	1	1
108	и столь же	1	1
109	однако и в	1	1
110	и для себя	1	1
111	что и для	1	1
112	не было в	1	1
113	и даже не	1	1
114	в конечном счете	2	1
115	время все эти	1	1
116	можем сказать что	1	1
117	в нем не	1	1
118	на каждой из	1	1
119	что в каждом	1	1
120	то что он	1	1
121	точки зрения ее	1	1
122	того чтобы не	1	1
123	по сравнению с	3	1
124	то что не	1	1
125	здесь в этом	2	1
126	являющаяся одним из	1	1
127	первое место среди	1	1
128	не менее в	1	1
129	говоря уже о	2	1
130	с этой точки	1	1
131	он не может	1	1
132	при этом даже	1	1
133	ответ на эти	1	1
134	в том же	2	1
135	еще тем что	1	1
136	по отношению ко	2	1
137	и там и	3	1
138	и не имеет	1	1
139	но и он	1	1
140	может быть только	1	1
141	в которой мы	1	1
142	в себе самом	1	1
143	в себя от	1	1
144	в тот же	1	1
145	относятся прежде всего	1	1
146	таким образом что	1	1
147	там и здесь	3	1
148	не сводится к	1	1
149	друг за другом	2	1
150	вместо того чтобы	1	1
151	не могла быть	1	1
152	и для самого	1	1
153	те моменты в	1	1
154	не иначе как	2	1
155	в соответствии с	1	1
156	ситуации получают различное	1	1
157	и в пределах	1	1
158	и не хочет	1	1
159	как из того	1	1
160	но как раз	1	1
161	друг на друга	1	1
162	к одной из	1	1
163	не нуждается в	1	1
164	к вопросу о	1	1
165	но в этом	1	1
166	и не дает	1	1
167	конце концов к	1	1
168	мы еще вернемся	1	1
169	же в пределах	1	1
170	таким образом и	2	1
171	в первую очередь	2	1
172	по самой своей	1	1
173	же самое что	1	1
174	в тех случаях	1	1
175	того чтобы показать	1	1
176	может быть с	1	1
177	само собой разумеется	3	1
178	сих пор не	2	1
179	на эти вопросы	1	1
180	все же в	1	1
181	вместе с тем	5	1
182	равно как и	3	1
183	не столько по	1	1
184	в какой мере	2	1
185	из них то	1	1
186	он не только	1	1
187	все то же	1	1
188	в этом же	1	1
189	в нашем отрывке	1	1
190	в одной из	1	1
191	не с точки	1	1
192	само собой разумеющимся	1	1
193	собой разумеется что	3	1
194	не знает в	1	1
195	этой точки зрения	1	1
196	не в их	1	1
197	не всегда можно	1	1
198	и тем более	2	1
199	при таком подходе	1	1
200	как впрочем и	1	1
201	все же на	1	1
202	в то время	3	1
203	каждом из них	1	1
204	на большой дороге	1	1
205	не говоря уже	2	1
206	в обоих случаях	1	1
207	но и все	1	1
208	могут быть лишь	1	1
209	невозможно представить себе	1	1
210	с другом и	1	1
211	в лучшем случае	1	1
212	и все его	1	1
213	подобно тому как	1	1
214	и не менее	1	1
215	главным образом для	1	1
216	но прежде чем	1	1
217	и в свою	2	1
218	брата и сестры	2	1
219	одной из бесчисленных	1	1
220	и без того	1	1
221	правда и здесь	1	1
222	тех случаях когда	1	1
223	же время все	1	1
224	иначе обстоит дело	3	1
225	принципиальное различие между	1	1
226	о чем ты	1	1
227	тем что он	1	1
228	самого начала не	1	1
229	в каком направлении	1	1
230	по его мнению	2	1
231	все это делает	1	1
232	в основе своей	2	1
233	не давая ему	1	1
234	в той же	1	1
235	в виду что	1	1
236	к этому же	1	1
237	после того как	3	1
238	мы не можем	1	1
