N	2gram	Voloshinov	Stilisti
1	и в	32	42
2	как бы	31	30
3	не только	18	28
4	и т.п	17	25
5	прежде всего	19	22
6	и т.д	6	21
7	хотя бы	8	18
8	внутренней речи	13	18
9	то же	19	16
10	но и	17	16
11	социального общения	15	14
12	и не	42	14
13	может быть	50	13
14	не может	40	13
15	как и	19	12
16	что мы	1	11
17	мы уже	7	11
18	точки зрения	48	11
19	ситуации и	3	10
20	в этом	27	10
21	в себе	5	10
22	и как	8	10
23	общественной жизни	1	10
24	мы должны	4	10
25	как мы	26	10
26	отнюдь не	14	10
27	мы не	6	9
28	при этом	13	9
29	все же	13	9
30	язык и	2	9
31	то что	12	9
32	для того	8	9
33	в то	7	9
34	таким образом	29	8
35	так как	5	8
36	с тем	1	8
37	данной ситуации	1	8
38	речевого общения	11	8
39	и это	6	8
40	слово как	6	8
41	в ней	5	8
42	тем самым	1	8
43	что же	5	8
44	с его	6	8
45	ничего не	9	8
46	и на	8	7
47	ситуация и	4	7
48	так и	21	7
49	слов и	3	7
50	мы можем	6	7
51	только в	14	7
52	речевого взаимодействия	9	7
53	в которой	4	7
54	речевое общение	6	7
55	зависимости от	4	7
56	и его	33	7
57	потому что	2	7
58	того чтобы	9	7
59	другими словами	4	7
60	и тем	4	7
61	же время	7	7
62	было бы	8	7
63	и той	2	7
64	той же	5	7
65	и от	6	7
66	в зависимости	2	7
67	а не	15	7
68	никогда не	7	7
69	речевое взаимодействие	2	6
70	во всех	13	6
71	в его	10	6
72	ситуацией и	1	6
73	не в	13	6
74	говорящего и	4	6
75	в нем	17	6
76	в конце	5	6
77	в процессе	31	6
78	но ведь	4	6
79	и так	2	6
80	бы в	4	6
81	точкой зрения	2	6
82	в свою	6	6
83	речи и	6	6
84	с помощью	11	6
85	если б	2	6
86	одно и	3	6
87	в форме	3	6
88	или как	3	6
89	в этой	3	6
90	точку зрения	4	6
91	слова в	8	6
92	или иной	8	6
93	язык в	5	6
94	в области	3	6
95	в той	6	5
96	в самом	14	5
97	высказывания но	2	5
98	что язык	2	5
99	связанных с	1	5
100	то есть	2	5
101	уже в	3	5
102	и их	2	5
103	с точки	31	5
104	те же	5	5
105	не является	11	5
106	в живом	2	5
107	хозяйственной деятельности	1	5
108	все время	1	5
109	внутренняя речь	9	5
110	самом деле	18	5
111	но все	4	5
112	и с	4	5
113	но в	13	5
114	жизненная идеология	4	5
115	тому что	6	5
116	вместе с	2	5
117	того или	2	5
118	а с	1	5
119	мы увидим	3	5
120	и следовательно	8	5
121	слова и	8	5
122	как это	2	5
123	и является	4	5
124	а в	5	5
125	же самое	9	5
126	в нашем	4	5
127	художественного творчества	1	5
128	в сознании	2	5
129	и то	4	5
130	же мы	2	5
131	обратное влияние	4	5
132	т.д и	1	5
133	или иного	2	5
134	независимо от	3	5
135	и наконец	1	5
136	мы видели	5	5
137	одной и	2	4
138	всего в	1	4
139	были бы	2	4
140	и к	3	4
141	мы видим	2	4
142	общения в	5	4
143	того времени	1	4
144	жизненной идеологии	14	4
145	всех своих	1	4
146	что это	3	4
147	на него	1	4
148	что такое	3	4
149	все это	4	4
150	в качестве	4	4
151	или иную	1	4
152	в одном	2	4
153	влияние на	3	4
154	его в	7	4
155	жизненного высказывания	1	4
156	слова как	9	4
157	если бы	12	4
158	и все	8	4
159	с самого	9	4
160	во внутренней	3	4
161	социальной группы	6	4
162	в слове	13	4
163	так сказать	19	4
164	к своему	2	4
165	у нас	4	4
166	да и	1	4
167	как только	1	4
168	уже не	2	4
169	к тому	8	4
170	о том	4	4
171	связаны с	3	4
172	и без	1	4
173	вопроса о	1	4
174	человека не	1	4
175	той или	5	4
176	самого начала	9	4
177	к данной	2	4
178	в каждом	8	4
179	можно сказать	4	4
180	если мы	17	4
181	и пр	31	4
182	языка и	28	4
183	внешней речи	1	4
184	было в	1	4
185	идеологический знак	17	4
186	не существует	6	4
187	необходимым условием	1	4
188	так называемой	3	4
189	зрения в	2	4
190	ту или	1	4
191	с определенной	2	4
192	и слушающего	3	4
193	общения и	5	4
194	не что	2	4
195	можно было	2	4
196	свою очередь	5	4
197	или иное	1	4
198	так же	10	4
199	лишь в	17	4
200	в целом	2	4
201	себя в	2	4
202	в данной	5	4
203	тем же	4	4
204	это высказывание	1	4
205	речь и	2	4
206	слово не	1	4
207	что именно	1	4
208	аудитории и	1	4
209	само собой	1	4
210	точка зрения	8	4
211	не просто	2	4
212	то или	1	4
213	которой мы	2	4
214	и аудитория	1	4
215	того что	5	4
216	не к	3	4
217	что было	2	3
218	внутренней жизни	4	3
219	представить себе	1	3
220	является наиболее	1	3
221	не так	2	3
222	этом случае	3	3
223	ответ на	3	3
224	видели что	1	3
225	социальной жизни	3	3
226	от переживания	2	3
227	что оно	3	3
228	короче говоря	1	3
229	общества и	2	3
230	и здесь	9	3
231	та же	1	3
232	зрения на	1	3
233	приближается к	1	3
234	что эти	1	3
235	как таковой	1	3
236	совершенно не	6	3
237	если он	2	3
238	становится знаком	2	3
239	и вот	2	3
240	в том	13	3
241	отношения к	2	3
242	несмотря на	1	3
243	для него	18	3
244	хотя и	1	3
245	в разных	2	3
246	ни на	1	3
247	внутренней и	1	3
248	в ее	9	3
249	и внешней	1	3
250	материальной действительности	3	3
251	из которых	2	3
252	высказывания с	1	3
253	мы в	1	3
254	этих слов	1	3
255	в социальной	3	3
256	то мы	4	3
257	на самом	10	3
258	что и	5	3
259	в виду	2	3
260	между ними	6	3
261	и само	1	3
262	но что	2	3
263	и развития	1	3
264	связи с	22	3
265	и даже	4	3
266	здесь мы	7	3
267	в основе	10	3
268	жизни это	1	3
269	слова но	3	3
270	но вот	2	3
271	допустим что	4	3
272	но для	4	3
273	всякого высказывания	1	3
274	чрезвычайно важно	1	3
275	высказывания как	7	3
276	внутреннюю речь	1	3
277	словом и	2	3
278	из социального	1	3
279	всякое высказывание	3	3
280	идеологическом знаке	2	3
