N	4gram	Voloshinov	VLabPisa
1	в то же время	6	5
2	и в то же	1	3
3	и не может быть	3	2
4	с того момента когда	1	1
5	не чем иным как	2	1
6	если бы он был	1	1
7	сводящийся к тому что	1	1
8	может быть и речи	3	1
9	в этом отношении может	1	1
10	и по отношению к	1	1
11	одно и то же	1	1
12	таково в основных чертах	1	1
13	но даже и не	1	1
14	но в то же	3	1
15	не может быть и	4	1
16	нет и не может	2	1
17	только с того момента	1	1
18	не может обойтись без	1	1
19	ответ на этот вопрос	1	1
20	до сих пор не	1	1
21	говорит о том что	1	1
22	если можно так выразиться	1	1
