N	2gram	Tiupa_Narr	Istorich
1	и в	22	181
2	и т	3	160
3	т д	1	142
4	может быть	24	115
5	не только	50	114
6	что он	7	111
7	мы имеем	6	102
8	что в	6	90
9	но и	39	85
10	в этом	23	81
11	так как	1	75
12	то что	14	73
13	таким образом	5	72
14	вместе с	3	71
15	в лесу	1	68
16	и не	34	67
17	все же	10	65
18	в этих	3	64
19	еще не	6	63
20	не может	16	61
21	этих случаях	1	60
22	так же	2	57
23	то же	12	56
24	никогда не	8	56
25	в том	20	53
26	том что	15	53
27	а в	19	52
28	с другой	6	52
29	потому что	7	52
30	и что	1	51
31	и здесь	3	51
32	что и	3	51
33	мы видели	1	49
34	а не	27	48
35	о том	5	48
36	связь с	1	47
37	его в	1	47
38	не в	12	47
39	другой стороны	2	46
40	превращается в	2	45
41	мы должны	1	44
42	но в	10	44
43	это не	6	43
44	и его	12	43
45	в нем	9	42
46	только в	23	42
47	как в	9	42
48	или в	7	39
49	тем что	1	38
50	и на	5	38
51	в его	12	38
52	для нас	2	38
53	как и	15	37
54	уже не	11	37
55	мы уже	1	37
56	он не	8	37
57	так и	12	37
58	мы увидим	1	36
59	мы можем	2	36
60	что они	1	35
61	с тем	1	35
62	мы не	5	35
63	здесь мы	1	35
64	все эти	3	35
65	не всегда	4	34
66	связи с	3	34
67	но не	7	34
68	а именно	2	34
69	у него	13	34
70	во время	2	34
71	что это	4	34
72	же как	2	33
73	там где	1	33
74	об этом	8	33
75	сих пор	3	32
76	в качестве	27	32
77	один из	8	31
78	прежде всего	7	31
79	так в	4	31
80	представляет собой	21	31
81	ничего не	8	31
82	с этим	1	30
83	с одной	5	30
84	в русской	3	30
85	до сих	3	30
86	к нему	5	30
87	но все	1	29
88	одной стороны	5	29
89	как мы	3	29
90	но это	2	29
91	что она	3	28
92	и с	3	28
93	например в	2	28
94	героя в	6	27
95	так что	1	27
96	могут быть	1	27
97	в образе	1	27
98	того что	7	27
99	как он	3	27
100	как это	7	26
101	на него	4	26
102	представляют собой	5	26
103	предположить что	1	26
104	в ней	5	26
105	вопрос о	1	25
106	и он	8	25
107	не менее	6	24
