N	2gram	Bakhtin_Pr	VLabPisa
1	таким образом	9	32
2	в этом	24	29
3	не только	14	26
4	и в	83	26
5	может быть	23	23
6	во сне	7	21
7	и не	41	20
8	хотя бы	6	20
9	не может	18	17
10	в процессе	4	17
11	в письме	1	16
12	в его	15	15
13	в том	22	15
14	этом отношении	1	14
15	в силу	1	14
16	все это	11	13
17	прежде всего	20	13
18	в качестве	1	12
19	вот что	2	12
20	письме к	1	12
21	в частности	1	12
22	как это	2	12
23	что в	5	11
24	с другой	4	11
25	из них	7	11
26	то же	10	10
27	не могут	4	10
28	о том	3	10
29	но и	16	10
30	и др	18	10
31	для него	1	9
32	об этом	3	9
33	он пишет	1	9
34	к этому	5	9
35	могут быть	5	8
36	другой стороны	3	8
37	только в	10	8
38	все эти	9	8
39	вместе с	5	8
40	том что	9	8
41	было бы	6	8
42	в своем	2	8
43	произведения и	1	7
44	в основном	1	7
45	это не	10	7
46	говорит о	2	7
47	в году	2	7
48	не было	5	7
49	по отношению	6	7
50	тому что	1	7
51	как и	13	7
52	их в	3	7
53	действительности и	2	7
54	во всех	15	7
55	а не	19	7
56	то что	14	7
57	главным образом	3	7
58	отношению к	5	7
59	в нем	21	7
60	из этих	3	7
61	один из	7	6
62	произведения как	1	6
63	у него	5	6
64	более или	3	6
65	все же	3	6
66	идеи и	5	6
67	это и	1	6
68	бы и	3	6
69	не в	10	6
70	между тем	2	6
71	художественном творчестве	1	6
72	так и	9	6
73	в себе	10	6
74	или менее	3	6
75	в зависимости	3	6
76	и его	13	6
77	в то	8	6
78	образы и	1	5
79	даже в	3	5
80	в результате	2	5
81	в их	7	5
82	в них	4	5
83	связи с	1	5
84	одним из	6	5
85	зависимости от	3	5
86	к тому	2	5
87	перед нами	17	5
88	не является	1	5
89	он говорит	1	5
90	на основе	4	5
91	и образов	2	5
92	вот почему	1	5
93	и при	2	5
94	в одном	4	5
95	в пределах	8	5
96	же время	8	5
97	как бы	27	5
98	в целом	3	5
99	сказать что	12	5
100	в плане	3	5
101	и есть	1	5
102	никогда не	10	5
103	в самом	7	4
