N	2gram	Savitsky_P	OGranits
1	и в	14	13
2	прежде всего	3	9
3	может быть	5	8
4	и не	12	8
5	не может	4	8
6	и пр	5	7
7	в его	2	7
8	точки зрения	3	7
9	не только	17	6
10	мы должны	4	6
11	только в	7	6
12	то что	4	6
13	как бы	4	6
14	хотя бы	8	5
15	с точки	3	5
16	все же	1	5
17	в каждом	1	4
18	мы можем	1	4
19	до тех	1	4
20	мы не	3	4
21	то же	9	4
22	было бы	6	4
23	все это	2	4
24	на фоне	1	4
25	в выборе	2	4
26	тех пор	1	4
27	но в	9	4
28	с этим	2	3
29	что в	4	3
30	и то	1	3
31	связана с	1	3
32	пор пока	1	3
33	и уже	1	3
34	не как	1	3
35	говорить о	2	3
36	одно и	1	3
37	есть прежде	1	3
38	не столько	2	3
39	в пределах	8	3
40	в ее	2	3
41	не в	5	3
42	в которой	1	3
43	но для	1	3
44	в себе	3	3
45	да и	2	3
46	но и	6	3
47	как и	1	3
48	никогда не	1	3
49	в области	11	2
50	к сожалению	1	2
51	в самом	1	2
52	нет ничего	1	2
53	и к	4	2
54	мы видим	1	2
55	в данном	1	2
56	в этом	10	2
57	в общем	2	2
58	с одной	3	2
59	и при	1	2
60	одной стороны	3	2
61	между тем	3	2
62	и тем	2	2
63	те же	1	2
64	связанные с	1	2
65	в том	9	2
66	в которую	2	2
67	что эта	1	2
68	в отношении	10	2
69	вслед за	3	2
70	другой стороны	1	2
71	во времени	1	2
72	так же	1	2
73	думать что	2	2
74	в них	2	2
75	а в	4	2
76	в г	1	2
77	если бы	4	2
78	не сумеем	1	2
79	а также	4	2
80	на две	1	2
81	еще в	1	2
82	в ней	6	2
83	могут быть	3	2
84	во всей	2	2
85	с ними	3	2
86	говорить об	1	2
87	с другой	5	2
88	не менее	2	2
89	не имеет	1	2
90	там где	1	2
91	к предмету	1	2
92	том что	4	2
93	в нем	3	2
94	уже в	1	2
95	а не	2	2
96	пути к	1	2
97	и ее	1	2
98	тот же	3	2
99	есть не	2	2
100	поскольку она	1	1
101	как к	1	1
102	и наоборот	1	1
103	живопись весь	1	1
104	находятся в	1	1
105	средств в	1	1
106	только к	1	1
107	и других	2	1
108	существует но	1	1
109	как ни	1	1
110	можно говорить	1	1
111	и здесь	1	1
112	осуществляется в	2	1
113	как возможность	1	1
114	отличие от	1	1
115	вопрос о	1	1
116	часть того	1	1
117	что мы	3	1
118	промежуток времени	1	1
119	два направления	1	1
120	они не	1	1
121	которую мы	2	1
122	только что	1	1
123	или иная	1	1
124	душа и	1	1
125	должно быть	2	1
126	если он	1	1
127	в по	1	1
128	и который	1	1
129	и вот	2	1
130	более или	1	1
131	г о	4	1
132	может идти	1	1
133	потому что	3	1
134	в значительной	2	1
135	того чтобы	1	1
136	и если	4	1
137	же как	1	1
138	бы мы	1	1
139	и более	1	1
140	также и	1	1
141	для того	3	1
142	и должна	1	1
143	хх века	2	1
144	в своем	4	1
145	и достоевский	1	1
146	значительной мере	2	1
147	время в	2	1
148	что при	1	1
149	мысли и	1	1
150	нашей задачей	1	1
151	положение что	1	1
152	мы все	1	1
153	только на	1	1
154	и через	1	1
155	борьбе с	1	1
156	переходит в	1	1
157	и что	1	1
158	в различных	1	1
159	для них	2	1
160	в этой	1	1
161	чуть ли	1	1
162	в начале	2	1
163	быть может	6	1
164	поэтики в	1	1
165	сводится к	3	1
166	нет никакого	1	1
167	и есть	2	1
168	всей полноте	1	1
169	только то	1	1
170	не вполне	1	1
171	по себе	4	1
172	явление и	1	1
173	в истории	1	1
174	упреков в	1	1
175	же время	7	1
176	и иных	1	1
177	его в	1	1
178	вождя в	1	1
179	на основе	1	1
180	каждый из	1	1
181	не было	2	1
182	и некоторых	1	1
183	этого процесса	1	1
184	в борьбе	1	1
185	как известно	1	1
186	утверждается что	1	1
187	соприкасается с	1	1
188	собственном смысле	1	1
189	разрыва между	1	1
190	на то	1	1
191	следуя примеру	1	1
192	из нее	1	1
193	в отличие	1	1
194	считают себя	1	1
195	заключается в	3	1
196	и обрести	1	1
197	на себя	1	1
198	к следующему	1	1
199	та или	1	1
200	в эпоху	1	1
201	или менее	1	1
202	она ни	2	1
203	к другим	1	1
204	выборе и	1	1
205	например в	2	1
206	в живом	1	1
207	бы что	1	1
208	к более	1	1
209	и как	3	1
210	не дается	1	1
211	столь же	3	1
212	в собственном	1	1
213	случаях когда	1	1
214	далеко не	1	1
215	и о	5	1
216	в мире	2	1
217	вместе с	1	1
218	одна из	2	1
219	в которых	5	1
220	времени эта	1	1
221	внимание к	1	1
222	но не	3	1
223	в ряду	2	1
224	одно из	1	1
225	с его	1	1
226	ли не	1	1
227	ранних и	1	1
228	и именно	1	1
229	в природе	1	1
230	в то	7	1
231	рождается и	1	1
232	отнюдь не	2	1
233	не будут	1	1
234	может и	2	1
235	в условиях	1	1
236	когда в	1	1
237	в себя	1	1
238	для этого	1	1
239	она есть	3	1
240	с ее	1	1
241	и это	2	1
242	и чем	1	1
243	эта проблема	1	1
244	пусть эта	1	1
245	в виде	2	1
246	само по	1	1
247	у в	1	1
248	сливаются в	1	1
249	тем более	2	1
250	особенно в	1	1
251	которая и	1	1
252	гоголь и	1	1
253	обратиться к	1	1
254	и особенно	1	1
255	еще не	1	1
256	в статье	2	1
