N	2gram	Vinokur_St	Russkaja
1	не может	10	22
2	и не	23	19
3	в этом	37	17
4	в том	56	17
5	и в	61	14
6	то что	27	13
7	таким образом	16	11
8	то же	7	11
9	точки зрения	16	11
10	но и	28	10
11	же время	5	10
12	в то	10	10
13	не только	36	9
14	с точки	10	9
15	том что	49	9
16	во всяком	8	9
17	может быть	16	9
18	церкви и	1	9
19	в себе	3	9
20	прежде всего	11	8
21	того чтобы	15	8
22	как на	10	8
23	не будет	1	7
24	ни к	1	7
25	россии в	1	7
26	самом деле	14	7
27	стремление к	3	7
28	к тому	9	7
29	о том	30	7
30	самого себя	1	7
31	в данном	16	7
32	и с	6	7
33	и к	5	6
34	если в	2	6
35	и при	1	6
36	для него	10	6
37	все это	13	6
38	на самом	8	6
39	в своих	2	6
40	если бы	11	6
41	и для	4	6
42	в россии	7	6
43	с тем	3	6
44	что он	23	6
45	для того	15	6
46	в своем	8	6
47	всяком случае	8	6
48	а потому	2	5
49	до сих	13	5
50	и на	7	5
51	из которых	1	5
52	только в	11	5
53	или иной	1	5
54	по существу	3	5
55	в своей	12	5
56	себя и	1	5
57	между собой	1	5
58	во всех	8	5
59	сих пор	12	5
60	и только	3	5
61	вопрос о	9	5
62	хотя бы	8	5
63	потому что	13	5
64	в нем	9	5
65	между тем	7	5
66	он не	11	5
67	а между	2	5
68	конечно не	2	5
69	а в	18	5
70	при этом	4	5
71	было бы	21	5
72	на то	5	5
73	лишь при	1	5
74	он должен	2	5
75	никогда не	7	5
76	что в	41	4
77	бы то	2	4
78	и то	6	4
79	все что	1	4
80	так как	7	4
81	смотреть на	2	4
82	к этой	1	4
83	тогда когда	1	4
84	в его	19	4
85	при таких	1	4
86	не могут	2	4
87	его в	4	4
88	более или	2	4
89	отказаться от	2	4
90	не в	15	4
91	в корне	1	4
92	вместе с	5	4
93	как и	11	4
94	все же	12	4
95	в их	3	4
96	к вопросу	1	4
97	со стороны	7	4
98	себе и	1	4
99	или менее	2	4
100	том случае	1	4
101	переворот в	1	4
102	которой он	1	4
103	то ни	2	4
104	можно было	14	4
105	все таки	1	4
106	что же	6	4
107	от того	1	4
108	как бы	8	4
109	в этой	13	4
110	себя в	1	4
111	жизни и	6	4
112	но не	5	4
113	точку зрения	3	4
114	в самом	14	3
115	то в	3	3
116	что они	9	3
117	этом случае	3	3
118	что оно	4	3
119	и этот	1	3
120	может не	2	3
121	данном случае	7	3
122	и сейчас	6	3
123	несмотря на	4	3
124	что это	5	3
125	ни стало	1	3
126	в качестве	7	3
127	для них	2	3
128	что и	8	3
129	в виде	3	3
130	не было	7	3
131	связи с	3	3
132	или в	1	3
133	во что	1	3
134	тем что	6	3
135	именно в	8	3
136	в конце	5	3
137	и как	2	3
138	вряд ли	8	3
139	и т	36	3
140	да и	4	3
141	о которых	3	3
142	о котором	2	3
143	но если	5	3
144	культуры в	3	3
145	той или	1	3
146	еще не	4	3
147	и потому	3	3
148	только к	2	3
149	при условии	1	3
150	то это	3	3
151	в лучшем	1	3
152	одна из	1	3
153	в значительной	2	3
154	на том	1	3
155	так чтобы	1	3
156	в другом	5	3
157	лучшем случае	1	3
158	говорить о	3	3
159	борьбе с	1	3
160	можно ли	5	3
161	что бы	1	3
162	лишь в	3	3
163	что для	4	3
164	и во	3	3
165	при котором	1	3
166	том чтобы	1	3
167	таких условиях	1	3
168	одной из	4	3
169	с нею	3	3
170	что все	3	3
171	в сознании	2	3
172	из этого	1	3
173	он сам	1	3
174	и по	6	3
175	конце концов	2	3
