N	2gram	Vygotskiy_	Vvedenie
1	и т	36	45
2	т е	3	40
3	т д	10	39
4	в том	55	38
5	в этом	21	35
6	и в	55	35
7	может быть	35	30
8	том что	30	30
9	не только	25	26
10	для того	12	23
11	того чтобы	13	22
12	таким образом	38	21
13	также и	2	20
14	не может	30	19
15	то что	47	19
16	потому что	27	18
17	только в	18	16
18	со стороны	5	16
19	о том	11	16
20	так как	28	15
21	языка и	1	15
22	представляет собой	2	14
23	в общем	2	14
24	что в	39	13
25	в самом	18	13
26	и не	24	13
27	в нем	5	13
28	в его	8	12
29	того что	15	12
30	в их	4	12
31	точки зрения	32	12
32	что такое	2	12
33	как на	6	12
34	то же	17	11
35	в ее	7	11
36	по себе	21	11
37	в данном	1	11
38	этом смысле	3	11
39	ясно что	22	11
40	как мы	2	11
41	прежде всего	5	10
42	не в	19	10
43	вопрос о	3	10
44	между тем	6	10
45	в той	2	10
46	уже и	2	10
47	но в	5	10
48	как об	1	9
49	дело с	10	9
50	тем не	6	9
51	смысле этого	2	9
52	все же	9	9
53	из этих	6	9
54	но не	5	9
55	и как	9	9
56	не менее	9	9
57	это не	1	8
58	в качестве	3	8
59	как нечто	3	8
60	именно в	1	8
61	а только	4	8
62	широком смысле	1	8
63	можно было	4	8
64	с другой	7	8
65	представить себе	5	7
66	и то	4	7
67	до сих	8	7
68	смысле слова	4	7
69	в применении	2	7
70	в большей	1	7
71	к выводу	2	7
72	в широком	1	7
73	как и	25	7
74	самом деле	19	7
75	но и	12	7
76	выводу что	2	7
77	не трудно	1	7
78	сих пор	8	7
79	в разных	1	7
80	было бы	14	7
81	только как	3	7
82	этот вопрос	2	7
83	как бы	11	7
84	в §	3	7
85	той мере	1	6
86	один из	6	6
87	на вопрос	4	6
88	об этом	3	6
89	все это	11	6
90	не могут	6	6
91	его в	3	6
92	xviii в	2	6
93	на этот	2	6
94	тем что	7	6
95	с тем	11	6
96	в какой	6	6
97	вместе с	10	6
98	в которых	5	6
99	же время	2	6
100	и это	6	6
101	так например	1	6
102	вовсе не	7	6
103	уже не	3	6
104	мере в	2	6
105	применении к	2	6
106	и даже	11	6
107	хотя бы	4	6
108	каждой из	3	6
109	и что	28	6
110	как он	4	6
111	как например	2	6
112	сказать что	12	6
113	могут быть	15	6
114	том чтобы	9	6
115	но если	2	6
116	и его	14	6
117	в то	8	6
118	а в	10	6
119	иное как	2	6
120	связь между	1	5
121	области знания	1	5
