N	3gram	Potebnia_M	slovoVRo
1	и т п	4	72
2	не может быть	11	19
3	то же время	3	18
4	в то же	3	18
5	с точки зрения	3	15
6	в отличие от	1	14
7	в большинстве случаев	1	11
8	с одной стороны	6	11
9	и т д	6	10
10	более или менее	6	9
11	во всяком случае	7	8
12	зрения на мир	1	7
13	так и в	5	6
14	в нем в	1	6
15	но все же	2	6
16	с другой стороны	7	6
17	в том что	18	5
18	по отношению к	13	5
19	между словом и	1	5
20	и там где	1	5
21	не только в	3	5
22	языка то есть	2	5
23	в этом отношении	1	5
24	одной стороны и	2	4
25	для того чтобы	4	4
26	до сих пор	5	4
27	и не может	1	4
28	в свою очередь	8	4
29	то есть как	1	4
30	языка в смысле	1	4
31	таким образом в	3	4
32	не могут быть	5	4
33	в собственном смысле	2	3
34	по всей вероятности	2	3
35	может быть только	2	3
36	между этими двумя	1	3
37	как если бы	1	3
38	в связи с	2	3
39	сама по себе	4	3
40	к тому что	2	3
41	и в истории	1	3
42	литературного языка и	1	3
43	как и в	3	3
44	и не в	1	3
45	как мы видели	1	3
46	для нас в	1	2
47	и связанное с	2	2
48	как бы ни	4	2
49	о которых мы	1	2
50	с этой точки	2	2
51	своего языка и	1	2
52	то есть к	1	2
53	и во всех	2	2
54	тем не менее	10	2
55	то есть не	3	2
56	есть только в	1	2
57	не только о	1	2
58	а между тем	5	2
59	не для того	1	2
60	в первом случае	1	2
61	к языку и	1	2
62	и не могут	1	2
63	не только на	1	2
64	не только не	2	2
65	имеет дело с	2	2
66	и др и	1	2
67	языка и не	1	2
68	и связанные с	1	2
69	и в том	3	2
70	и в этом	7	2
71	на каждом шагу	1	2
72	в том и	2	2
73	т п и	1	2
74	между человеком и	3	2
75	но и в	4	2
76	бы ни были	1	2
77	о том что	1	2
78	этой точки зрения	1	2
79	а следовательно и	1	2
80	тем и другим	1	2
81	в то время	3	2
82	мы не можем	2	2
83	языка не может	1	2
84	мы не знаем	1	2
85	можно было бы	1	2
86	во всех этих	1	2
87	бы они ни	2	2
88	с самого начала	5	2
89	они ни были	2	2
90	между тем как	1	2
91	привело к тому	1	2
92	и не только	1	2
93	то время как	1	2
94	мы видели что	2	1
95	если они не	1	1
96	то и в	2	1
97	или наоборот как	1	1
98	все то что	2	1
99	не исчерпывают и	1	1
100	это как бы	1	1
101	чем перейти к	1	1
