N	4gram	Medvedev_V	Komedia
1	в то же время	5	16
2	в то время как	1	9
3	не говоря уже о	1	6
4	в том числе и	2	3
5	до сих пор не	1	3
6	с этой точки зрения	1	2
7	с одной стороны и	2	2
8	и в то же	3	2
9	если бы он был	1	1
10	но вместе с тем	1	1
11	в этом отношении представляет	1	1
12	у первого из них	1	1
13	автор не пишет для	1	1
14	только в том случае	1	1
15	с другой стороны в	1	1
16	в этой области не	1	1
17	мало чем отличается от	1	1
18	только в том что	1	1
19	не имеет ничего общего	1	1
20	как это явствует из	1	1
21	не следует забывать что	1	1
22	одна из них не	1	1
23	в том случае если	1	1
24	имеет ничего общего с	1	1
25	как это видно из	2	1
26	и речи о каком-либо	1	1
27	с другой стороны он	1	1
28	так же как и	1	1
29	как составная часть в	1	1
30	мы имеем дело с	1	1
