N	2gram	Nazirov_Vr	Dialekti
1	не есть	1	181
2	т е	3	159
3	и не	5	120
4	и в	8	77
5	точки зрения	2	72
6	может быть	4	71
7	не только	9	66
8	то что	7	59
9	и есть	1	55
10	ничего не	1	54
11	не может	2	53
12	и даже	6	47
13	с точки	2	46
14	что это	1	46
15	потому что	1	45
16	не просто	1	44
17	как бы	4	43
18	и что	8	42
19	не имеет	1	41
20	в том	3	40
21	в этом	8	39
22	то же	5	39
23	в себе	2	38
24	что он	4	37
25	том что	3	37
26	прежде всего	1	37
27	это не	4	36
28	что в	7	34
29	в нем	6	34
30	– не	1	33
31	и все	7	33
32	того что	1	33
33	но и	7	32
34	ясно что	1	31
35	он –	1	31
36	все это	4	31
37	отнюдь не	2	30
38	и как	3	30
39	было бы	1	29
40	так и	1	29
41	как и	6	28
42	никогда не	2	27
43	в виду	4	26
44	крайней мере	1	26
45	– это	6	26
46	по крайней	1	26
47	говорить о	1	25
48	и то	2	25
49	но это	2	24
50	таким образом	2	23
51	в то	5	23
52	это и	1	23
53	я не	3	22
54	в чем	3	21
55	и с	6	20
56	о том	4	20
57	в таком	1	20
58	в каком	1	20
59	уже не	2	20
60	как раз	2	20
61	и вообще	1	20
62	в самом	1	19
63	не менее	2	19
64	в своем	3	19
65	как же	2	19
66	и это	2	19
67	и его	3	19
68	же время	5	18
69	с другой	1	18
70	что же	1	18
71	жизни и	1	18
72	в особенности	1	17
73	одно и	1	16
74	к нему	1	16
75	только не	1	16
76	тем не	1	16
77	в своей	2	16
78	да и	1	16
79	нет ничего	1	16
80	утверждаю что	1	16
81	об этом	5	16
82	только что	1	15
83	все же	6	15
84	так же	4	15
85	то в	1	15
86	несмотря на	4	15
87	хотя и	1	15
88	также и	1	15
89	быть и	1	15
90	и о	3	15
91	на то	3	15
92	с ним	4	14
93	не было	5	14
94	и ее	2	14
95	ни с	1	14
96	жизнь и	1	14
97	же это	1	14
98	говорит о	1	13
99	другой стороны	1	13
100	отличается от	1	13
101	что они	1	13
102	он не	3	13
103	в силу	1	13
104	с ее	1	13
105	но в	6	13
106	мы находим	1	13
107	в ней	4	13
108	вы не	1	13
109	именно в	1	12
110	с этим	1	12
111	но как	2	12
112	но не	1	12
113	могут быть	1	12
114	еще не	2	12
115	все равно	1	12
116	тем более	2	12
117	а в	2	12
118	в них	2	11
119	что я	2	11
120	из них	2	11
121	себе не	1	11
122	от того	1	11
123	в одну	2	11
124	во всем	1	10
125	в душе	1	10
126	в жизни	1	10
127	во всяком	1	10
128	только как	1	10
129	это будет	1	10
130	в ее	1	10
131	что для	1	10
132	только о	1	10
133	в его	3	10
134	в их	1	10
135	это было	1	10
136	в частности	1	10
137	и можно	1	10
138	и уже	3	10
139	или по	1	9
140	при этом	4	9
141	быть может	1	9
142	в этих	1	9
143	в котором	6	9
144	в одном	1	9
145	и он	2	9
146	же как	2	9
147	бы в	1	9
148	то время	1	9
149	как о	1	9
150	той же	1	9
151	всех этих	1	9
152	и от	1	9
153	имеется в	1	9
154	как он	1	9
155	в истории	4	9
156	себя в	1	8
157	не будет	1	8
158	что эта	1	8
159	этом смысле	1	8
160	в этой	2	8
161	что есть	3	8
162	один из	1	8
163	и из	1	8
164	но вот	1	8
165	ничего общего	1	8
166	при помощи	2	8
167	все что	1	7
168	он всегда	1	7
169	тем что	3	7
170	мы получаем	1	7
171	но он	3	7
172	на первый	2	7
173	и образ	1	7
174	не всегда	1	7
175	точно так	1	7
176	личность и	2	7
177	как на	1	7
178	он сам	2	7
179	что уже	1	7
180	это конечно	1	7
181	связи с	3	7
182	во внимание	1	7
183	но для	1	7
184	в конце	3	7
185	в связи	3	7
186	в мире	2	7
187	его с	2	7
188	из которых	1	7
189	заключается в	1	7
190	отношения к	2	7
191	как в	1	7
192	или вообще	1	7
193	с его	3	7
194	что этот	1	7
195	и я	1	7
196	и их	1	7
197	тем самым	1	7
198	о чем	2	6
199	уже в	4	6
200	я вижу	1	6
201	но они	1	6
202	одна из	2	6
203	тут же	1	6
204	во всех	1	6
205	хочет быть	1	6
206	по своей	1	6
207	себя как	1	6
208	вместе с	2	6
209	никто не	1	6
210	о котором	1	6
211	тотчас же	1	6
212	всяком случае	1	6
213	для него	2	6
214	о нем	6	6
215	они не	1	6
216	того как	1	6
217	но с	1	6
218	по своему	1	6
219	его в	3	6
220	это как	1	6
221	но я	1	6
222	не с	1	6
223	отношение к	2	6
224	в той	2	5
225	до сих	1	5
226	в своих	4	5
227	их в	2	5
228	в это	2	5
229	речь идет	3	5
230	но мы	1	5
231	я думаю	1	5
232	к этому	3	5
233	уже по	1	5
234	едва ли	1	5
235	все в	1	5
236	что у	3	5
237	души и	1	5
238	после этого	2	5
239	в качестве	1	5
240	тому же	1	5
241	есть еще	1	5
242	тот кто	1	5
243	в свете	1	5
244	и у	3	5
245	сих пор	1	5
246	ли это	1	5
247	независимо от	1	5
248	в него	2	5
249	одного и	1	5
250	если в	1	5
251	что поэзия	1	5
252	если это	1	5
253	это за	1	5
254	тех пор	1	5
255	отношении к	1	5
256	и во	3	5
257	получается что	1	5
258	же он	1	5
259	а это	1	5
260	он и	1	5
261	же не	2	5
262	есть все	1	5
263	из этого	1	5
264	раз и	1	5
265	первый план	1	5
266	по которому	1	5
267	конце концов	1	5
268	и наконец	1	5
269	вплоть до	1	5
270	можно говорить	1	4
271	еще более	1	4
272	нас в	1	4
273	далее в	1	4
274	и самые	1	4
275	равно как	1	4
276	не хотят	1	4
277	представление о	1	4
278	его на	2	4
279	говорить не	1	4
280	в этот	3	4
281	к ним	2	4
282	есть по	1	4
283	время и	2	4
284	мы знаем	2	4
285	с тех	1	4
286	у него	5	4
287	сказал что	1	4
288	– так	1	4
289	человек и	1	4
290	но ведь	1	4
291	тут нет	1	4
292	о себе	3	4
293	людей и	1	4
294	хотя в	1	4
295	из двух	1	4
296	это время	1	4
297	сама жизнь	1	4
298	который не	1	4
299	том как	1	4
300	у которого	1	4
301	не знаю	1	4
302	это же	1	4
303	с нею	2	4
304	друг друга	1	4
305	у вас	1	4
306	этом отношении	1	4
307	то он	1	4
308	что ни	1	4
309	в глубине	1	4
310	сразу же	1	4
311	на них	1	4
312	человека и	1	4
313	же в	2	4
314	такой же	1	4
315	говорить об	1	4
316	об этой	2	4
317	своим собственным	1	4
318	для всех	1	3
319	к этой	1	3
320	этот момент	2	3
321	считать что	1	3
322	не могли	1	3
323	которой не	1	3
324	не забудем	1	3
325	д в	1	3
326	я с	1	3
327	во всей	1	3
328	времени а	1	3
329	– вы	1	3
330	об одном	1	3
331	знали что	1	3
332	такая же	1	3
333	верит в	1	3
334	я всегда	1	3
335	не мешало	1	3
336	следовательно и	1	3
337	уже давно	1	3
338	что как	1	3
339	не был	1	3
340	только от	1	3
341	а с	2	3
342	совсем не	1	3
343	между тем	5	3
344	не мог	2	3
345	в москве	1	3
346	как известно	1	3
347	всю жизнь	1	3
348	чувств и	2	3
349	и этот	1	3
350	мне и	2	3
351	но наука	1	3
352	о своем	1	3
353	вслед за	1	3
354	у достоевского	4	3
355	целый ряд	4	3
356	по преимуществу	1	3
357	именно этот	1	3
358	не должна	1	3
359	человека но	1	3
360	в свое	1	3
361	но на	1	3
362	такое же	1	3
363	для нас	4	3
364	место в	2	3
365	без всяких	1	3
366	этого не	1	3
367	тогда это	1	3
368	не дают	1	3
369	так в	2	3
370	по его	1	3
371	во время	2	3
372	в свою	2	3
373	далеко не	3	3
374	можно найти	1	3
375	идет о	1	3
376	нем можно	1	3
377	это можно	1	3
378	это дает	1	3
379	еще раз	1	2
380	забудем что	1	2
381	ко всем	1	2
382	в духе	1	2
383	и сам	1	2
384	на свою	1	2
385	уже на	1	2
386	меня в	1	2
387	роль в	1	2
388	первый взгляд	1	2
389	сам же	1	2
390	и отчасти	1	2
391	во все	1	2
392	она же	1	2
393	было в	1	2
394	он был	3	2
395	с тою	1	2
396	во многих	1	2
397	в условиях	1	2
398	из их	1	2
399	пока не	1	2
400	не об	1	2
401	а между	1	2
402	свою очередь	1	2
403	по характеру	1	2
404	в меня	2	2
405	наряду с	3	2
406	к которому	1	2
407	от них	1	2
408	только время	1	2
409	в какую-то	1	2
410	с первого	1	2
411	ближе к	1	2
412	ее и	1	2
413	лучше ли	1	2
414	обычно не	1	2
415	наука может	1	2
416	в мысли	1	2
417	в полной	1	2
418	на этот	1	2
419	в разные	1	2
420	такое понимание	1	2
421	пока только	1	2
422	в третий	1	2
423	сходство с	1	2
424	человек в	1	2
425	его жизни	1	2
426	которым не	1	2
427	людьми и	1	2
428	в сторону	1	2
429	в великом	1	2
430	но которая	1	2
431	но при	1	2
432	котором уже	1	2
433	но зато	1	2
434	не могла	1	2
435	как эта	1	2
436	однако в	1	2
437	оба они	1	2
438	ничуть не	1	2
439	и самый	1	2
440	нему с	1	2
441	в оценке	1	2
442	к сожалению	1	2
443	и какая	1	2
444	достоевского в	7	2
445	этот закон	1	2
446	также что	1	2
447	этого и	1	2
448	и далее	2	2
449	в другой	1	2
450	от этой	1	2
451	за это	1	2
452	но об	1	2
453	не ясно	1	2
454	их и	1	2
455	где-нибудь на	1	2
456	в процессе	1	2
457	доходит до	1	2
458	оказалось что	1	2
