N	2gram	Potebnia_M	VelikijI
1	и не	28	20
2	и в	48	16
3	свободы и	1	12
4	так как	20	9
5	то что	37	9
6	в истории	2	8
7	еще не	9	8
8	и потому	9	7
9	что они	2	7
10	а не	22	7
11	человека и	8	6
12	не есть	24	6
13	что есть	3	5
14	хотя и	3	5
15	того что	24	5
16	все это	4	5
17	как бы	10	5
18	в мире	3	5
19	но и	30	5
20	все что	4	4
21	в котором	7	4
22	в этом	19	4
23	что мы	16	4
24	потому что	82	4
25	в его	6	4
26	в ней	11	4
27	так и	17	4
28	говорить о	6	4
29	мы хотим	1	4
30	и есть	4	4
31	и все	5	4
32	что не	12	4
33	в образе	4	4
34	что все	5	4
35	как и	22	4
36	что он	8	4
37	в силах	1	4
38	и я	3	4
39	в нем	16	4
40	во всех	1	3
41	что в	30	3
42	нет ничего	2	3
43	бы и	4	3
44	и против	1	3
45	и мы	3	3
46	за ним	4	3
47	то это	9	3
48	мы же	1	3
49	должно быть	9	3
50	нас и	1	3
51	в первый	1	3
52	если не	6	3
53	хотя бы	3	3
54	в том	47	3
55	первый раз	1	3
56	любовь к	1	3
57	тому что	6	3
58	не в	24	3
59	его во	1	3
60	и что	13	3
61	что и	16	3
62	ни в	2	3
63	превращается в	3	3
64	в этих	2	3
65	в них	9	3
66	оно не	7	3
67	в вопросе	1	3
68	не было	12	3
69	лишь в	2	3
70	к чему	2	3
71	в жизни	1	3
72	что я	5	3
73	человечества и	1	3
74	по этому	2	3
75	их в	3	3
76	в своей	2	3
77	должна быть	2	3
78	с его	1	3
79	от этого	2	3
80	не имеет	10	3
81	но это	9	3
82	жизни и	3	3
83	в чем	6	3
84	все эти	1	3
85	тот же	2	3
86	но в	8	3
87	к тому	9	3
88	за то	1	3
89	никогда не	2	3
90	под конец	2	2
91	во всяком	4	2
92	от него	2	2
93	нас за	1	2
94	его и	1	2
95	жизни все	1	2
96	уже на	2	2
97	а к	4	2
98	один из	7	2
99	в последнем	4	2
100	в человека	1	2
101	самого себя	3	2
102	которые не	1	2
103	более чем	2	2
104	и люди	1	2
105	на том	1	2
106	его не	2	2
107	не так	1	2
108	того чтобы	5	2
109	это не	2	2
110	между тем	19	2
111	не только	32	2
112	для него	14	2
113	что истина	1	2
114	и тогда	4	2
115	с ним	10	2
116	не будет	4	2
117	ее в	2	2
118	для нас	40	2
119	и то	13	2
120	и за	1	2
121	не с	4	2
122	на нас	4	2
123	прежде всего	6	2
124	можно было	1	2
125	никогда еще	2	2
126	в форме	2	2
127	людей и	2	2
128	а между	6	2
129	вслед за	6	2
130	и это	6	2
131	мы не	17	2
132	конечно не	2	2
133	и теперь	6	2
134	только в	29	2
135	все равно	5	2
136	а с	4	2
137	под этим	1	2
138	людей что	1	2
139	а в	14	2
140	до того	5	2
141	в прошлом	1	2
142	люди не	2	2
143	и сам	1	2
144	я думаю	2	2
145	нет и	2	2
146	раз навсегда	1	2
147	но не	8	2
148	и никогда	1	2
149	и будут	1	2
150	тем что	13	2
151	вера в	1	2
152	тот кто	1	2
153	по которым	1	2
154	духа и	1	2
155	и во	1	2
156	могут быть	6	2
157	ничего и	1	2
158	для человечества	1	2
159	значения и	1	2
160	не имел	1	2
161	с тем	9	2
162	давно уже	4	2
163	и т	12	2
164	к нам	2	2
165	есть потеря	1	2
166	твое и	1	2
167	так для	1	2
168	его к	2	2
169	не могут	7	2
170	т д	5	2
171	да и	2	2
172	и новые	1	2
173	есть уже	13	2
174	том что	28	2
175	когда в	2	2
176	почему в	1	2
177	для человека	8	2
178	но мы	3	2
