N	2gram	Bakhtin_Fr	TeoriaLi
1	в качестве	11	33
2	в мире	3	26
3	не только	11	24
4	и в	73	24
5	в частности	2	23
6	то есть	36	22
7	может быть	5	22
8	при этом	5	20
9	в том	13	20
10	тогда как	1	18
11	и не	13	17
12	а в	10	15
13	но и	15	14
14	а не	2	14
15	так и	13	14
16	в себе	16	14
17	такого рода	1	13
18	но не	1	13
19	в этом	21	12
20	но в	12	12
21	в его	18	12
22	то же	16	12
23	своего рода	3	11
24	том что	8	11
25	точки зрения	6	11
26	и его	18	11
27	что в	14	10
28	по отношению	3	10
29	как это	2	10
30	лишь в	2	10
31	отношению к	3	10
32	только в	7	9
33	в данном	3	9
34	с другой	3	9
35	не в	12	9
36	в то	14	9
37	в своей	4	8
38	же время	12	8
39	как бы	15	8
40	по своей	1	8
41	не может	4	8
42	в самом	9	7
43	на смену	1	7
44	или иной	1	7
45	и т.п	21	7
46	в своем	13	7
47	себя в	3	7
48	мы имеем	2	7
49	а также	8	7
50	отличие от	1	7
51	во второй	3	7
52	отношение к	3	7
53	место в	4	7
54	в области	3	7
55	в нем	18	7
56	другой стороны	2	6
57	более или	3	6
58	как и	19	6
59	еще не	3	6
60	в основе	3	6
61	то что	12	6
62	уже не	2	6
63	с его	5	6
64	в ее	6	6
65	картина мира	4	6
66	между ними	2	6
67	или менее	3	6
68	героя и	1	6
69	тем самым	3	6
70	в первой	4	6
71	ни в	7	5
72	в виду	4	5
73	и одновременно	1	5
74	как в	9	5
75	не является	1	5
76	того чтобы	2	5
77	жизни как	1	5
78	как к	1	5
79	данном случае	1	5
80	для него	7	5
81	того что	5	5
82	в себя	3	5
83	между тем	2	5
84	он не	4	5
85	и тем	3	5
86	в пределах	1	5
87	и о	2	5
88	в отношении	6	4
89	не на	5	4
90	по пути	1	4
91	и сам	2	4
92	в этих	6	4
93	отношения к	1	4
94	что он	8	4
95	в слове	1	4
96	художественного восприятия	1	4
97	совпадает с	1	4
98	в другом	4	4
99	и т.д	3	4
100	сказать что	4	4
101	в нашем	2	4
102	к тому	2	4
103	этого слова	1	4
104	во времени	2	4
105	никогда не	6	4
106	и того	1	4
107	это не	7	4
108	хотя и	5	4
109	в литературе	5	4
110	слова в	1	4
111	в их	5	4
112	его в	3	4
113	но он	8	4
114	не знает	4	4
115	или даже	2	4
116	так в	1	4
117	мира и	6	4
118	по своему	3	4
119	со своей	1	4
120	в воображении	1	4
121	а только	2	4
122	в свою	3	4
123	и что	5	4
124	самим собой	1	4
125	в форме	6	4
126	далеко не	2	4
127	того же	7	4
128	одного и	2	4
129	силу своей	1	4
130	в силу	1	4
131	с ее	3	4
132	в целом	1	4
133	и ее	2	4
134	и к	6	3
135	во втором	1	3
136	в таком	1	3
137	в момент	1	3
138	с этой	4	3
139	даже в	4	3
140	говорит и	1	3
141	о чем	2	3
142	все эти	24	3
143	а именно	2	3
144	в романе	10	3
145	именно в	4	3
146	например в	8	3
147	в жизни	1	3
148	к его	2	3
149	их в	5	3
150	никто не	11	3
151	роль в	4	3
152	перед нами	5	3
153	но их	2	3
154	свою очередь	3	3
155	между собой	2	3
156	своей природе	1	3
157	в противоположность	1	3
158	потому что	9	3
159	одной стороны	3	3
160	между двумя	1	3
