N	4gram	Losev_Vlad	Marksizm
1	в то же время	7	15
2	бы то ни было	1	12
3	но в то же	2	9
4	на самом же деле	1	5
5	и не может быть	1	5
6	как мы уже знаем	1	4
7	в том что он	2	4
8	одной и той же	1	3
9	один и тот же	2	3
10	одно и то же	1	3
11	к этому нужно прибавить	3	3
12	и в том что	1	2
13	до тех пор пока	2	2
14	нет и не может	1	2
15	далек от того чтобы	1	1
16	к ней как к	1	1
17	себе не может быть	1	1
18	притом не только в	1	1
19	но тем не менее	1	1
20	ни в каком случае	1	1
21	не что иное как	2	1
22	как мы уже сказали	2	1
23	в последнее время в	1	1
24	не только не может	1	1
25	ней как к своему	1	1
26	вместе с тем и	1	1
27	сказать что он был	1	1
28	было конечно не в	1	1
29	говоря уже о том	1	1
30	дело в том что	7	1
31	указывает на то что	1	1
32	уже о том что	1	1
33	не говоря уже о	3	1
34	ни к чему не	1	1
35	а может быть и	1	1
36	приходит к выводу что	1	1
37	но во всяком случае	1	1
38	это было не так	1	1
39	их в настоящее время	1	1
40	этому нужно прибавить что	2	1
41	он есть но он	1	1
42	тех пор пока не	1	1
43	в том же году	1	1
44	само собой разумеется что	1	1
45	самом же деле это	1	1
46	том что он как	1	1
