N	3gram	Trubetskoy	Formalny
1	с точки зрения	8	40
2	не может быть	4	29
3	на самом деле	7	21
4	то же время	2	20
5	в то же	2	20
6	в связи с	3	16
7	во всяком случае	2	16
8	в настоящее время	3	13
9	по отношению к	11	12
10	в самом деле	5	11
11	бы то ни	3	10
12	в зависимости от	1	10
13	с другой стороны	4	9
14	и не может	1	9
15	для того чтобы	7	8
16	до сих пор	15	8
17	вместе с тем	3	8
18	как мы видели	1	8
19	с одной стороны	2	8
20	более или менее	8	7
21	то ни было	3	7
22	в высшей степени	2	7
23	в свою очередь	2	7
24	как мы знаем	1	7
25	в том что	16	6
26	в данном случае	3	6
27	не только не	1	6
28	смысле этого слова	1	6
29	может быть и	4	6
30	к тому что	1	5
31	как бы ни	1	5
32	тем не менее	4	4
33	не в том	1	4
34	в конце концов	4	4
35	в этом пункте	1	4
36	но все же	2	4
37	а не в	1	4
38	как и все	2	4
39	в лучшем случае	1	4
40	с самого начала	1	4
41	хотя бы в	1	4
42	нет и не	1	4
43	мы уже знаем	1	3
44	так и от	1	3
45	в том числе	1	3
46	социальной жизни и	1	3
47	так или иначе	5	3
48	друг с другом	9	3
49	вместо того чтобы	1	3
50	том числе и	1	3
51	уже знаем что	1	3
52	то же самое	1	3
53	только то что	2	3
54	иначе обстоит дело	1	3
55	с тем и	1	3
56	и в дальнейшем	1	3
57	при этом не	1	3
58	именно в том	1	3
59	что же касается	2	3
60	между этими двумя	2	3
61	произведения в процессе	1	2
62	все то что	1	2
63	говоря уже о	1	2
64	с этой точки	1	2
65	что в данном	1	2
66	друг от друга	6	2
67	но и с	1	2
68	но при этом	1	2
69	в том случае	4	2
70	именно потому что	2	2
71	а и в	7	2
72	иметь в виду	1	2
73	между тем как	1	2
74	элементов входящих в	1	2
75	но для этого	1	2
76	в том или	1	2
77	самом деле ведь	1	2
78	же касается до	2	2
79	в своем целом	2	2
80	из того что	1	2
81	в широком смысле	1	2
82	и в том	2	2
83	по тем же	1	2
84	мы видели что	1	2
85	и все же	1	2
86	лишь тогда когда	2	2
87	это не так	1	2
88	этой точки зрения	1	2
89	том или ином	1	2
90	как и в	2	2
91	в целом ряде	3	2
92	и художественное произведение	1	2
93	быть и не	1	2
94	ничего общего с	2	2
95	не говоря уже	1	2
96	то из этого	1	2
97	и до сих	1	2
98	и с точки	1	2
99	в других областях	1	2
100	дело в том	1	2
101	таким образом оказывается	1	2
102	так же как	3	2
103	в этом случае	4	2
104	тот или иной	1	2
105	уже говорили что	1	1
106	и в жизни	1	1
107	и в сознании	1	1
108	этими двумя крайними	1	1
109	это по существу	1	1
110	бы при этом	1	1
111	о котором мы	1	1
112	так и для	2	1
113	но вместе с	2	1
114	представляют из себя	3	1
115	становится как бы	1	1
116	лишь в том	5	1
117	на задний план	1	1
118	которые могут быть	1	1
119	по сравнению с	5	1
120	и ничем не	1	1
121	что ни одна	1	1
122	данного произведения в	1	1
123	и для другой	1	1
124	он не может	2	1
125	те элементы которые	1	1
126	что они не	1	1
127	в том же	3	1
128	которых идет речь	3	1
129	в своем развитии	4	1
130	и так или	1	1
131	они не могут	1	1
132	широком смысле слова	1	1
133	вместе с ними	1	1
134	и то же	1	1
135	друг на друга	2	1
136	одного и того	3	1
137	мы знаем что	7	1
138	и в конце	1	1
139	и в в	1	1
140	только с точки	1	1
141	с лица земли	1	1
142	о которых идет	3	1
143	если допустить что	1	1
144	в то что	1	1
145	в этой области	4	1
146	есть одно из	1	1
147	а потому что	1	1
148	таким образом в	3	1
149	до тех пор	1	1
150	а с другой	2	1
151	что при таких	2	1
152	они вовсе не	1	1
153	и в нашем	1	1
154	но самые эти	1	1
155	и в нем	1	1
156	каждый данный момент	3	1
157	и того же	3	1
158	состоит в том	1	1
159	не может не	3	1
160	как в его	1	1
161	науки в частности	1	1
162	не только с	1	1
163	по этому поводу	1	1
164	в самой природе	1	1
165	ко всем вообще	1	1
166	со своей стороны	1	1
167	в этом последнем	1	1
168	мы видим что	1	1
169	в чистом виде	1	1
170	между собою в	1	1
171	к дальнейшему развитию	1	1
172	на каждом шагу	1	1
173	может показаться что	1	1
174	мы говорили в	1	1
175	в том и	2	1
176	таким образом мы	1	1
177	друг друга и	1	1
178	за то что	1	1
179	которого они так	1	1
180	и некоторые другие	1	1
181	это может быть	1	1
182	во всех их	1	1
183	на своем пути	1	1
184	все что мы	1	1
185	на то что	7	1
186	но и помимо	1	1
187	в каждый данный	4	1
188	и может быть	2	1
189	таким образом все	1	1
190	каждый из этих	2	1
191	и помимо этого	1	1
192	социальная жизнь и	1	1
193	таким образом по	1	1
194	о том что	4	1
195	по крайней мере	1	1
196	и без того	4	1
197	так как эта	1	1
198	тот факт что	4	1
199	но и ко	1	1
200	а следовательно и	2	1
201	что все они	1	1
202	только в том	1	1
203	и той же	1	1
204	что при этом	1	1
205	только в этом	1	1
206	для другой стороны	1	1
