N	3gram	Losev_Dial	Sovremen
1	мы не можем	2	6
2	с точки зрения	25	5
3	в зависимости от	3	4
4	не может быть	12	4
5	не может не	3	3
6	с самого начала	1	3
7	то же самое	1	2
8	во всяком случае	3	2
9	тем не менее	10	2
10	в отличие от	1	2
11	есть не что	3	1
12	в науке и	1	1
13	не было бы	1	1
14	ничто не может	1	1
15	то ни было	1	1
16	значит что она	1	1
17	ли оно вообще	1	1
18	и ни в	1	1
19	в том что	12	1
20	в древней греции	1	1
21	и именно в	1	1
22	но все эти	1	1
23	на самом деле	1	1
24	не более как	1	1
25	не могут быть	3	1
26	до сих пор	1	1
27	одной стороны и	1	1
28	и само собою	1	1
29	в свое время	1	1
30	сами по себе	3	1
31	ли он в	1	1
32	это или нет	1	1
33	или как он	2	1
34	не что иное	6	1
35	одна и та	3	1
36	и та же	3	1
37	в связи с	3	1
38	может быть в	1	1
39	ничего не сказано	1	1
40	в самом деле	6	1
41	но только не	1	1
42	может находиться в	1	1
43	в такой же	1	1
44	тот факт что	1	1
45	а в конце	1	1
46	от всяких условий	1	1
47	это как бы	1	1
48	той или иной	2	1
49	вместе с ним	1	1
50	и во всех	1	1
51	что иное как	6	1
52	в данном случае	3	1
53	как мы это	1	1
54	равно как и	2	1
55	и что она	2	1
56	и пр но	1	1
57	ничего общего не	2	1
58	и прежде всего	6	1
59	и той же	4	1
60	в конечном счете	1	1
61	это значит что	25	1
62	когда мы говорим	1	1
63	с одной стороны	3	1
64	и по его	1	1
65	одной и той	4	1
66	из многих его	1	1
67	как бы план	1	1
68	такой же мере	1	1
69	со всеми ее	1	1
70	так же как	2	1
71	то же время	3	1
72	не в том	5	1
73	что в ней	1	1
74	не имеет с	1	1
75	точки зрения уже	1	1
76	а не только	2	1
77	только одна из	1	1
78	она не может	1	1
79	у нас есть	1	1
80	из этих двух	1	1
81	и может быть	1	1
82	общего не имеет	1	1
83	в то же	3	1
84	но они не	2	1
85	бы то ни	2	1
86	и в этом	4	1
87	по крайней мере	10	1
88	тот или иной	2	1
89	и есть то	1	1
90	друг на друга	1	1
91	в этом смысле	1	1
92	и в то	2	1
93	все равно будет	1	1
94	и не может	1	1
95	ни о каком	1	1
96	ровно ничего не	8	1
97	мы видим что	2	1
98	может быть только	1	1
99	живое от неживого	1	1
