N	2gram	Medvedev_B	Komedia
1	и в	1	77
2	и не	2	47
3	таким образом	1	29
4	не только	1	25
5	что в	1	23
6	так и	1	21
7	еще не	1	17
8	все же	1	16
9	и на	1	15
10	было бы	1	15
11	прежде всего	1	15
12	все это	2	14
13	об этом	1	14
14	с другой	1	12
15	к ней	1	11
16	одной из	1	10
17	тем более	1	10
18	в своей	1	9
19	больше чем	2	9
20	говорить о	1	9
21	в ней	2	9
22	другой стороны	1	8
23	не было	1	8
24	можно было	2	8
25	и ее	1	8
26	во всяком	1	7
27	вопрос о	1	7
28	и во	1	7
29	до конца	1	7
30	всяком случае	1	7
31	отнюдь не	1	7
32	и о	1	7
33	всего в	1	6
34	а не	1	6
35	в области	1	6
36	как будто	1	6
37	за пределы	1	5
38	же не	1	5
39	его не	1	4
40	не о	1	4
41	между ними	1	4
42	видеть в	2	4
43	у нас	3	4
44	не следует	1	4
45	в пределах	1	4
46	далеко не	1	4
47	меньше чем	1	4
48	нельзя не	1	3
49	также что	1	3
50	меньшей мере	1	3
51	совершенно не	1	3
52	и более	1	3
53	чем на	1	3
54	было и	1	3
55	по меньшей	1	3
56	и потому	1	3
57	из своей	1	3
58	будто бы	1	3
59	в эпоху	1	3
60	более что	1	2
61	остановиться на	1	2
62	следовало бы	1	2
63	не вполне	1	2
64	что все	1	2
65	представляется нам	1	2
66	стр и	2	2
67	должна быть	1	2
68	никак не	1	2
69	по отдельным	1	2
70	а о	1	2
71	не все	1	2
72	и меньше	1	1
73	кроме того	1	1
74	из ее	1	1
75	как первый	1	1
76	и нет	1	1
77	в данном	1	1
78	говорить не	1	1
79	не признать	1	1
80	по богатству	1	1
81	о них	1	1
82	значительной степени	1	1
83	точке зрения	1	1
84	об исторических	1	1
85	сейчас в	1	1
86	так по	1	1
87	бы только	1	1
88	по мотивам	1	1
89	бы больше	1	1
90	то нельзя	1	1
91	крайней мере	1	1
92	в трактовке	1	1
93	по крайней	1	1
94	в значительной	1	1
95	короче говоря	1	1
96	выходит за	1	1
97	на самом	1	1
98	на которой	1	1
99	говорить об	1	1
100	не укладывается	1	1
101	иначе не	1	1
102	значение слова	1	1
103	в книге	1	1
104	забывать что	1	1
105	исторических условиях	1	1
