N	2gram	Ircho_Kome	Literetu
1	а не	5	50
2	и не	28	47
3	не только	13	46
4	и в	37	44
5	может быть	14	43
6	при этом	11	41
7	но и	18	41
8	в том	24	39
9	в этом	18	38
10	том что	22	32
11	такого рода	2	30
12	в частности	4	30
13	то что	5	29
14	в мире	2	28
15	в качестве	4	27
16	то же	14	26
17	состоит в	2	26
18	как и	10	23
19	в то	14	23
20	себя в	3	22
21	не в	7	22
22	того что	1	22
23	так и	4	22
24	не может	9	22
25	я и	2	21
26	х годов	2	21
27	же время	12	21
28	в себе	4	20
29	я в	1	19
30	прежде всего	7	19
31	как бы	7	18
32	с другой	5	17
33	точки зрения	8	17
34	в его	12	17
35	в жизни	1	16
36	в этой	7	16
37	не менее	9	15
38	я не	4	15
39	только в	3	15
40	в стихах	1	15
41	со стороны	16	15
42	тем самым	1	15
43	в целом	4	15
44	и даже	6	14
45	по отношению	6	14
46	однако в	5	14
47	что он	15	14
48	в своем	9	13
49	с одной	5	13
50	как это	5	13
51	но не	9	13
52	и его	10	13
53	в своей	6	12
54	о том	21	12
55	одной стороны	4	12
56	к себе	9	12
57	одним из	2	12
58	всего лишь	2	12
59	еще не	10	12
60	отношению к	4	12
61	а также	3	12
62	в е	1	12
63	не столько	3	11
64	в другом	2	11
65	никогда не	5	11
66	в конечном	2	11
67	и сам	11	11
68	столь же	5	11
69	еще в	1	11
70	вместе с	16	11
71	как в	4	11
72	в основе	3	11
73	в отличие	3	11
74	с его	6	11
75	это не	3	11
76	отличие от	5	11
77	или иначе	3	11
78	а в	12	11
79	даже в	3	10
80	в принципе	1	10
81	конечном счете	3	10
82	из них	11	10
83	в ее	3	10
84	не случайно	3	10
85	что в	11	10
86	и на	6	10
87	для себя	1	10
88	так или	3	10
89	жизни в	1	10
90	причастность к	1	10
91	потому что	19	10
92	этом отношении	2	10
93	жизни и	1	10
94	отнюдь не	5	10
95	в области	3	10
96	с этой	5	9
97	на смену	1	9
98	к тому	11	9
99	представляет собой	5	9
100	связи с	5	9
101	один из	6	9
102	что я	5	9
103	одно из	3	9
104	в начале	5	9
105	же в	3	9
106	говоря уже	2	8
107	в своих	4	8
108	тем что	12	8
109	все же	9	8
110	того же	9	8
111	едва ли	16	8
112	ли не	6	8
113	с точки	6	8
114	как раз	9	8
115	на себя	10	8
116	что не	5	8
117	в конце	14	8
118	о себе	1	8
119	и ты	2	8
120	а именно	1	8
121	слова и	1	8
122	соответствии с	1	8
123	той же	2	8
124	в глазах	10	8
125	но в	7	8
126	уже в	3	8
127	для него	1	8
128	по существу	4	8
129	и как	3	8
130	и я	3	8
131	не говоря	2	8
132	вплоть до	2	8
133	в самом	17	7
134	в одном	3	7
135	другой стороны	2	7
136	на фоне	2	7
137	для этого	3	7
138	как правило	1	7
139	не как	2	7
140	тому же	11	7
141	в случае	2	7
142	он не	11	7
143	и тем	4	7
144	и с	5	7
145	в нем	8	7
146	из того	3	7
147	с тобой	1	7
148	нашего столетия	1	7
149	по своей	2	7
150	наконец в	1	7
151	до конца	4	7
152	друг друга	7	7
153	и для	7	7
154	он и	5	7
155	у нас	1	7
156	в их	5	7
157	человека в	4	7
158	и других	1	7
159	это как	1	7
160	тому как	1	7
161	а затем	4	6
162	в виду	3	6
163	например в	3	6
164	при всей	2	6
165	уже о	2	6
166	обращаясь к	1	6
167	как на	1	6
168	и он	5	6
169	в ситуации	1	6
170	у него	10	6
171	его в	9	6
172	не было	6	6
173	с жизнью	1	6
174	во всех	4	6
175	в каждом	3	6
176	перед лицом	2	6
177	было бы	7	6
178	подобно тому	1	6
179	то в	1	6
180	самом деле	13	6
181	как о	3	6
182	в слове	1	6
183	то и	1	6
184	тем же	3	6
185	одного из	4	6
186	что ему	4	6
187	том числе	2	6
188	в ней	7	6
189	далеко не	3	6
190	при всем	5	6
191	как будто	3	6
192	право на	1	6
193	и только	1	6
194	и наконец	1	6
195	и к	4	5
196	к этой	2	5
197	в связи	4	5
198	с собой	4	5
199	в соответствии	1	5
200	хотя бы	5	5
201	в нашем	1	5
202	он сам	1	5
203	от себя	2	5
204	свое собственное	1	5
205	всего в	1	5
206	том чтобы	4	5
207	несмотря на	7	5
208	ни было	3	5
209	тем не	3	5
210	к жизни	1	5
211	не знает	7	5
212	одном из	1	5
213	в себя	1	5
214	этой точки	1	5
215	между тем	6	5
216	так что	7	5
217	эти слова	1	5
218	в силу	2	5
219	обращается к	4	5
220	во втором	2	5
221	в сущности	3	5
222	себя и	2	5
223	следует признать	1	5
224	не с	2	5
225	идет о	3	5
226	и если	3	5
227	быть не	1	5
228	вслед за	1	5
229	так как	16	5
230	мир в	1	5
231	мы не	6	5
232	что и	12	5
233	однако не	1	5
234	на свете	2	5
235	как он	5	5
236	место в	1	5
237	в уме	1	5
238	все еще	2	5
239	не к	1	5
240	исходя из	2	4
241	и само	1	4
242	в них	6	4
243	с тем	6	4
244	только для	2	4
245	во всяком	3	4
246	то это	5	4
247	входит в	1	4
248	не должен	1	4
249	для того	9	4
250	не всегда	2	4
251	в руках	3	4
252	только на	1	4
253	перед ним	4	4
254	как мы	6	4
255	него не	1	4
256	под названием	3	4
257	к этому	11	4
258	не мог	2	4
259	в облике	1	4
260	бы то	3	4
261	хотя и	6	4
262	для своего	1	4
263	все время	3	4
264	что его	10	4
265	очевидно что	1	4
266	себе и	1	4
267	в сторону	1	4
268	могли бы	1	4
269	на этом	3	4
270	свое место	1	4
271	то ни	4	4
272	и что	8	4
273	за пределы	3	4
274	годов в	1	4
275	общего с	2	4
276	к своему	4	4
277	могут быть	3	4
278	и есть	3	4
279	можно сказать	1	4
280	из этого	2	4
281	на рубеже	2	4
282	на жизнь	1	4
283	от жизни	1	4
284	жизни а	1	4
285	о которой	2	4
286	сводится к	1	4
287	со всеми	2	4
288	от своего	2	4
289	и все	6	4
290	в пределах	3	4
291	отношения к	2	4
292	по собственному	3	4
293	приводит к	4	4
294	бы не	3	4
295	знает что	2	4
296	аналогии с	2	4
297	все они	1	4
298	нет ничего	4	4
299	ни к	1	4
300	совершенно не	2	4
301	не является	5	4
302	тех же	3	4
303	более чем	6	4
304	в свою	12	4
305	со всей	1	4
306	каждый из	1	4
307	при котором	1	4
308	одной из	4	4
309	таким образом	16	4
310	как к	3	4
311	со мной	1	4
312	свидетельствует о	1	4
313	и вот	3	4
314	для нас	7	4
315	в г	3	4
316	на его	5	4
317	для которого	1	4
318	в каждой	2	4
319	вовсе не	6	4
320	ко всему	1	4
321	не могу	1	4
322	но при	2	4
323	один в	1	4
324	во второй	2	4
325	а по	5	4
326	такой же	2	4
327	на то	3	4
328	нуждается в	2	4
329	не надо	2	4
330	все что	6	3
331	в душе	1	3
332	же и	2	3
333	о чем	11	3
334	всем и	1	3
335	в этих	2	3
336	по себе	1	3
337	в первом	2	3
338	мысль о	1	3
339	нет в	1	3
340	речь идет	5	3
341	и того	1	3
342	со своей	2	3
343	вопрос о	2	3
344	восходит к	1	3
345	душа моя	1	3
346	он был	6	3
347	времени в	2	3
348	превращается в	1	3
349	так же	8	3
350	себе в	6	3
351	свою очередь	10	3
352	и еще	4	3
353	по которым	1	3
354	а так	1	3
355	который в	3	3
356	с ним	10	3
357	не просто	1	3
358	крайней мере	1	3
359	говорить о	6	3
360	она и	2	3
361	знаю я	2	3
362	после чего	2	3
363	этой же	1	3
364	восходящая к	1	3
365	как от	1	3
366	а с	2	3
367	отношения между	2	3
368	с появлением	1	3
369	в чем	7	3
370	а для	2	3
371	я на	2	3
372	но как	1	3
373	не сводится	1	3
374	текста и	1	3
375	же как	1	3
376	к новым	1	3
377	как сам	2	3
378	никого не	1	3
379	и является	1	3
380	но только	1	3
381	надо мной	1	3
382	вот в	1	3
383	писал в	1	3
384	т п	5	3
385	он в	2	3
386	что для	7	3
387	ответственность за	2	3
388	в первой	3	3
389	и от	3	3
390	для многих	1	3
391	не так	4	3
392	за ним	3	3
393	в твоей	1	3
394	если в	4	3
395	во время	8	3
396	должна быть	2	3
397	был бы	4	3
398	из которых	7	3
399	мы в	3	3
400	в отношении	4	3
401	себе не	2	3
402	не на	3	3
403	можно было	3	3
404	если не	7	3
405	если бы	18	3
406	с ней	1	3
407	где в	1	3
408	и т	5	3
409	они не	2	3
410	не имеет	6	3
411	да и	3	3
412	я тебя	1	3
413	всей своей	1	3
414	ничего общего	1	3
415	по крайней	1	3
416	я говорю	2	3
417	бы и	1	3
418	такую же	3	3
419	того чтобы	9	3
420	относится к	1	3
421	на два	1	3
422	из его	3	3
423	тех пор	5	3
424	и уже	1	3
425	в образах	1	3
426	не могло	1	3
427	отношении к	1	3
428	о своем	1	3
429	и до	2	3
430	в истории	2	3
431	еще один	2	3
432	как например	2	3
433	в творчестве	1	3
434	что же	2	3
435	в этот	1	3
436	из наиболее	1	3
437	том же	2	3
438	в сознании	1	3
439	здесь не	2	3
440	всяком случае	3	3
441	власть над	1	3
442	не будучи	2	3
443	тот же	11	3
444	ничего не	6	3
445	различие между	1	3
446	о нем	1	3
447	все равно	3	3
448	а на	3	3
449	этого не	1	3
450	дело в	1	3
451	в ту	2	3
452	а то	1	3
453	в действительности	1	3
454	в какой	4	3
455	все эти	1	3
456	путь к	1	3
457	за его	1	3
458	что лирическое	1	3
459	сказать и	1	3
460	и потому	2	3
461	а к	1	3
462	он говорит	3	3
463	как уже	1	3
464	одну из	1	3
465	не по	7	3
466	когда он	5	3
467	стороны и	4	3
468	числе и	2	3
469	же самое	3	3
470	отношение к	7	3
471	и о	3	3
472	в разговоре	1	3
473	за счет	1	3
474	в той	2	2
475	он готов	2	2
476	во всем	2	2
477	от него	2	2
478	в центре	2	2
479	еще раз	1	2
480	в свое	2	2
481	эта мысль	1	2
482	в финале	1	2
483	а вот	1	2
484	на второй	1	2
485	тем как	2	2
486	общим местом	1	2
487	по праву	1	2
488	него в	3	2
489	в результате	2	2
490	у кого	2	2
491	и вплоть	1	2
492	чтобы в	3	2
493	для понимания	3	2
494	а напротив	1	2
495	из двух	3	2
496	начинается и	1	2
497	тот кем	2	2
498	разговоре с	1	2
499	начинается с	2	2
500	что по	2	2
501	в бою	1	2
502	первой половине	2	2
503	собой не	1	2
504	роль в	3	2
505	поскольку он	1	2
506	в это	2	2
507	на первый	1	2
508	за то	2	2
509	первый взгляд	1	2
510	сам же	2	2
511	на мой	2	2
512	в котором	6	2
513	очень точно	1	2
514	по тем	1	2
515	принципиальное различие	1	2
516	человека не	2	2
517	сам не	2	2
518	два момента	1	2
519	пор пока	1	2
520	только как	2	2
521	но даже	1	2
522	этой связи	3	2
523	между двумя	2	2
524	приходит к	2	2
525	еще более	4	2
526	на причастность	1	2
527	так называемых	1	2
528	и себя	1	2
529	двух других	1	2
530	самом начале	1	2
531	сказать что	4	2
532	для всей	2	2
533	и у	4	2
534	а сам	2	2
535	раньше не	1	2
536	еще одна	1	2
537	тем более	9	2
538	в текст	1	2
539	по поводу	1	2
540	под именем	1	2
541	внутреннего мира	1	2
542	о ней	2	2
543	к нему	8	2
544	других как	1	2
545	только не	1	2
546	не зная	5	2
547	что у	2	2
548	и мы	5	2
549	и столь	1	2
550	к человеку	2	2
551	так я	2	2
552	но еще	2	2
553	остаются в	1	2
554	и всегда	1	2
555	другого среди	1	2
556	по мнению	2	2
557	и сама	1	2
558	с другими	2	2
559	не от	1	2
560	к достижению	1	2
561	мой взгляд	2	2
562	и притом	1	2
563	что вы	2	2
564	но он	3	2
565	и некоторые	1	2
566	быть только	1	2
567	тому что	5	2
568	не остается	3	2
569	человек и	1	2
570	воздействие на	1	2
571	человек в	1	2
572	себя как	1	2
573	которой она	1	2
574	заодно и	1	2
575	человека а	2	2
576	бы в	5	2
577	не был	2	2
578	может позволить	1	2
579	остается в	3	2
580	складывается из	1	2
581	апеллирует к	1	2
582	нового времени	5	2
583	чтобы он	1	2
584	в строке	1	2
585	и судьба	1	2
586	на долю	4	2
587	сюда же	1	2
588	бы они	1	2
589	себе на	1	2
590	и хотя	3	2
591	из нас	1	2
592	а от	1	2
593	ему кажется	1	2
594	того кто	2	2
