N	2gram	Tiupa_Narr	VrazhdaK
1	в году	1	18
2	не только	32	9
3	в этом	17	8
4	и в	19	8
5	что в	3	7
6	достоевского и	1	7
7	и все	2	7
8	но и	23	7
9	то что	11	7
10	о нем	4	6
11	как и	7	6
12	и даже	3	6
13	и с	4	6
14	все же	7	6
15	в котором	1	6
16	в начале	1	6
17	в нем	4	6
18	но в	6	6
19	то же	4	5
20	у него	4	5
21	в россии	1	5
22	и не	20	5
23	между тем	3	5
24	об этом	1	5
25	не было	2	5
26	же время	4	5
27	в то	3	5
28	это не	2	4
29	при этом	9	4
30	несмотря на	2	4
31	с ним	1	4
32	для нас	1	4
33	х годов	1	4
34	в виду	1	4
35	отцов и	1	4
36	что он	6	4
37	уже в	3	4
38	о том	6	4
39	может быть	25	4
40	в ней	3	4
41	в россию	1	4
42	как бы	4	4
43	так же	2	4
44	что у	2	3
45	русской литературе	1	3
46	в его	9	3
47	в том	18	3
48	его в	2	3
49	связи с	4	3
50	но он	1	3
51	в связи	2	3
52	и как	5	3
53	далеко не	5	3
54	тем что	3	3
55	речь идет	4	3
56	в чем	1	3
57	матери и	4	3
58	и у	1	3
59	в русской	1	3
60	о себе	1	3
61	человека в	2	3
62	том что	14	3
63	он не	3	3
64	и уже	1	3
65	в конце	1	3
66	наряду с	2	3
67	одним из	2	3
68	в своем	2	3
69	с его	6	3
70	и его	5	3
71	и во	1	3
72	в той	6	2
73	таким образом	1	2
74	начиная с	1	2
75	и то	1	2
76	ответ на	1	2
77	и он	3	2
78	людей уже	1	2
79	к себе	5	2
80	с точки	2	2
81	для него	2	2
82	его и	1	2
83	этот момент	1	2
84	о чем	2	2
85	как раз	2	2
86	же не	4	2
87	за границей	4	2
88	в них	1	2
89	как же	1	2
90	а также	7	2
91	же в	4	2
92	отношения к	2	2
93	в мире	9	2
94	там же	1	2
95	их в	1	2
96	же как	3	2
97	в это	1	2
98	в известном	2	2
99	не менее	3	2
100	на первый	2	2
101	еще не	7	2
102	но как	2	2
103	а с	3	2
104	деталей и	1	2
105	в свою	3	2
106	после смерти	2	2
107	и т.п	8	2
108	в этой	5	2
109	в нашей	1	2
110	человека с	1	2
111	тогда как	12	2
112	а в	11	2
113	отношение к	2	2
114	уже не	5	2
115	году в	1	2
116	из них	3	2
117	в себе	8	2
118	с нею	1	2
119	в глазах	1	2
120	не может	10	2
121	место в	1	2
122	с которым	1	2
123	столь же	3	2
124	том же	1	2
125	точки зрения	10	2
126	тем более	2	2
127	одна из	3	2
128	он сам	2	2
129	отнюдь не	5	2
130	но это	1	2
131	не мог	4	2
132	в него	1	2
133	и ее	2	2
134	никогда не	3	2
135	на большую	1	1
136	в особенности	4	1
137	год а	2	1
138	своего рода	12	1
139	в самом	1	1
140	то в	6	1
141	как к	2	1
142	так и	9	1
143	что они	3	1
144	в свое	1	1
145	в литературе	2	1
146	эпизоду в	1	1
147	до сих	1	1
148	имя которого	2	1
149	один из	3	1
150	еще раз	1	1
151	ему в	2	1
152	из которых	4	1
153	ему что	1	1
154	они не	2	1
155	с героем	1	1
156	ни с	1	1
157	если в	3	1
158	лет назад	1	1
159	рассказ о	1	1
160	он отличается	1	1
161	вровень с	1	1
162	в литературной	1	1
163	героя в	8	1
164	не будем	1	1
165	он как	1	1
166	у чехова	1	1
167	дает нам	1	1
168	второй раз	1	1
169	или а	1	1
170	что это	3	1
171	хотя и	3	1
172	от нас	1	1
173	тому назад	1	1
174	одному из	1	1
175	он и	1	1
176	в ее	3	1
177	того что	2	1
178	говорит о	2	1
179	однако весьма	1	1
180	я тоже	1	1
181	в качестве	21	1
182	нас в	1	1
183	не являются	2	1
184	прежде всего	4	1
185	к реальному	1	1
186	другой стороны	4	1
187	быть может	2	1
188	лет тому	1	1
189	перед ними	1	1
190	нет ничего	1	1
191	себе не	2	1
192	уже говорилось	1	1
193	но на	1	1
194	в их	1	1
195	все равно	1	1
196	тому же	5	1
197	а еще	1	1
198	с характеристикой	1	1
199	он уже	2	1
200	что ни	1	1
201	в разные	1	1
202	а за	1	1
203	а о	1	1
204	то было	1	1
205	из двух	3	1
206	нем самом	1	1
207	и сам	1	1
208	на свою	1	1
209	о своей	2	1
210	за человек	1	1
211	но не	6	1
212	если это	1	1
213	легенда о	1	1
214	именно в	6	1
215	о смерти	1	1
216	жизни и	3	1
217	в таком	2	1
218	в процессе	1	1
219	а тут	1	1
220	более что	1	1
221	персонажа на	1	1
222	человек и	1	1
223	как говорит	3	1
224	как о	1	1
225	в соответствии	1	1
226	его живет	1	1
227	не есть	3	1
228	и перед	1	1
229	как в	7	1
230	роль в	2	1
231	по своему	1	1
232	как нам	1	1
233	никто не	1	1
234	отличается от	4	1
235	да и	4	1
236	его жизни	2	1
237	по его	1	1
238	широкое распространение	1	1
239	который не	1	1
240	служит для	1	1
241	о котором	1	1
242	это было	1	1
243	людьми и	1	1
244	во сне	1	1
245	не имеет	2	1
246	тем не	3	1
247	почувствовал что	1	1
248	что как	1	1
249	сих пор	1	1
250	и вообще	1	1
251	литературу в	1	1
252	ему не	1	1
253	на них	1	1
254	писал он	2	1
255	первый взгляд	2	1
256	во всех	1	1
257	человека к	1	1
258	это и	3	1
259	было не	1	1
260	искать в	1	1
261	входя в	1	1
262	было в	2	1
263	не могли	1	1
264	что этот	1	1
265	ли это	1	1
266	тотчас же	1	1
267	совпадает с	1	1
268	это за	1	1
269	может идти	1	1
270	потому что	1	1
271	не знаю	1	1
272	живет в	1	1
273	это то	1	1
274	также и	1	1
275	одну из	2	1
276	через месяц	1	1
277	совсем не	1	1
278	человека как	1	1
279	не всегда	2	1
280	в рассказе	4	1
281	позволяет нам	1	1
282	в развитии	1	1
283	быть и	1	1
284	во второй	2	1
285	в частности	14	1
286	не будет	3	1
287	одним словом	1	1
288	характерно для	1	1
289	но зато	1	1
290	не могло	2	1
291	от поэтики	2	1
292	говорить о	2	1
293	не с	3	1
294	не об	1	1
295	хотя в	2	1
296	точно так	2	1
297	не могла	1	1
298	в форме	5	1
299	вслед за	4	1
300	этом смысле	1	1
301	тем самым	6	1
302	ему было	1	1
303	по своей	3	1
304	такой детали	1	1
305	от того	1	1
306	и какая	1	1
307	в обоих	2	1
308	каждый из	2	1
309	а от	1	1
310	свою очередь	3	1
311	самую суть	1	1
312	не затрагивает	1	1
313	и т.д	7	1
314	идет о	2	1
315	как известно	2	1
316	иисуса христа	1	1
317	с другой	8	1
318	было бы	4	1
319	это же	1	1
320	анекдота о	1	1
321	в эпизоде	3	1
322	старшего брата	1	1
323	соответствии с	1	1
324	себя в	5	1
325	у себя	1	1
326	известном смысле	2	1
327	которых он	1	1
328	однако в	2	1
329	в плане	1	1
330	не достает	1	1
331	ключ к	2	1
332	говорилось выше	1	1
333	как правило	4	1
334	могут быть	3	1
335	к которому	2	1
336	это дает	1	1
337	и от	1	1
338	и есть	2	1
339	во всей	2	1
340	в силу	4	1
341	по крайней	1	1
342	идет не	1	1
343	не все	5	1
344	времени а	1	1
345	этом отношении	3	1
346	умер но	1	1
347	день все	1	1
348	уже по	1	1
349	независимо от	2	1
350	с ее	3	1
351	того же	1	1
352	только о	2	1
353	в целом	1	1
354	крайней мере	1	1
355	едва ли	1	1
356	одного и	1	1
357	и наконец	1	1
358	ничего не	2	1
359	вплоть до	2	1
360	может как	1	1
361	к нему	5	1
362	более того	1	1
