N	2gram	Propp_Russ	Myslijsy
1	потому что	15	182
2	то есть	3	142
3	и в	59	121
4	может быть	14	107
5	в том	33	103
6	то что	10	83
7	для нас	12	75
8	что в	35	73
9	и не	6	73
10	только в	4	72
11	не только	28	67
12	а не	3	67
13	таким образом	10	64
14	в этом	18	59
15	но и	20	59
16	том что	33	59
17	так как	25	59
18	то же	6	56
19	не в	2	54
20	если бы	1	53
21	в себе	1	53
22	не может	6	52
23	того что	6	47
24	было бы	3	45
25	в нем	3	45
26	как и	19	42
27	так что	4	39
28	вместе с	16	39
29	что и	8	38
30	мы не	11	38
31	при этом	11	37
32	как в	10	37
33	так и	8	37
34	тогда когда	4	36
35	что мы	1	36
36	точно так	1	35
37	тем что	7	33
38	и что	8	32
39	по отношению	1	30
40	а в	16	30
41	что не	1	29
42	между тем	9	29
43	но не	7	29
44	мы можем	2	28
45	для него	1	28
46	с этим	4	27
47	могут быть	3	27
48	не было	3	26
49	независимо от	3	26
50	и т	13	26
51	то и	4	26
52	отношению к	1	26
53	этого слова	3	25
54	в то	3	24
55	с тем	14	23
56	как бы	18	23
57	того как	6	23
58	от того	1	23
59	по мере	1	22
60	то это	1	22
61	с другой	1	22
62	не имеет	9	22
63	только тогда	3	22
64	но в	5	22
65	и потому	3	21
66	не менее	3	21
67	вместе и	1	21
68	в одном	4	20
69	это не	14	20
70	в ней	3	20
71	и как	2	19
72	но это	5	19
73	сказать что	1	19
74	с ним	2	19
75	того же	1	19
76	тем не	3	19
77	что это	4	19
78	и то	2	19
79	из этих	6	19
80	о том	14	19
81	есть уже	1	19
82	должно быть	2	19
83	в таком	5	18
84	там же	15	18
85	для того	6	18
86	по поводу	1	18
87	не могут	1	18
88	очевидно что	2	18
89	тогда как	4	18
90	что я	1	18
91	еще не	7	18
92	точки зрения	3	17
93	заметить что	3	17
94	уже в	2	17
95	в его	3	17
96	во всяком	1	17
97	слова в	3	17
98	не можем	5	17
99	только что	1	16
100	и на	14	16
101	к тому	4	16
102	так же	7	16
103	в своем	3	16
104	в которой	3	16
105	а только	1	16
106	в них	10	16
107	или же	2	16
108	что если	2	16
109	и наоборот	1	16
110	же с	1	16
111	на то	2	16
112	быть может	1	15
113	в этих	3	15
114	уже не	9	15
115	только как	2	15
116	с одной	1	15
117	с другими	3	15
118	и тем	1	15
119	и по	10	15
120	что он	2	15
121	в свою	3	15
122	т д	12	15
123	прежде всего	2	15
124	думать что	3	15
125	без сомнения	1	15
126	тому как	3	15
127	все же	7	14
128	в одно	2	14
129	в природе	2	14
130	в котором	2	14
131	свою очередь	2	14
132	связи с	6	14
133	во всех	6	14
134	когда мы	2	14
135	бы ни	1	14
136	там где	3	14
137	должны быть	1	14
138	в истории	1	14
139	и без	1	14
140	мы должны	3	14
141	те же	1	13
142	например в	3	13
143	а между	1	13
144	как на	2	13
145	из них	12	13
146	что все	2	13
147	т п	1	13
148	и все	4	13
149	не следует	1	13
150	зависит от	1	13
151	образом в	2	13
152	значение слова	1	13
153	и его	2	13
154	от него	1	12
155	одно из	6	12
156	более или	1	12
157	никогда не	1	12
158	и при	2	12
159	хотя и	3	12
160	в чем	1	12
161	под влиянием	1	12
162	в каждом	2	12
163	оно не	2	12
164	все остальные	1	12
165	всяком случае	1	12
166	относится к	1	12
167	друг друга	3	12
168	только потому	1	12
169	все это	12	12
170	есть в	2	12
171	или менее	1	12
172	тем более	1	12
173	человека и	1	12
174	как мы	11	12
175	что на	5	12
176	все что	2	11
177	в первом	1	11
178	только для	3	11
179	из себя	1	11
180	только на	4	11
181	и это	2	11
182	к нему	3	11
183	в состоянии	1	11
184	его в	9	11
185	и притом	1	11
186	подобно тому	3	11
187	в силу	2	11
188	мы видели	3	11
189	того чтобы	6	11
