N	2gram	Vygotskiy_	Myshleni
1	в том	46	195
2	в этом	37	167
3	то что	61	166
4	и в	65	162
5	том что	28	161
6	таким образом	21	147
7	точки зрения	19	143
8	что в	36	119
9	не только	16	116
10	того что	9	109
11	так же	12	100
12	потому что	26	95
13	того чтобы	21	91
14	может быть	33	89
15	с точки	11	89
16	что он	23	86
17	не может	17	81
18	как и	12	79
19	для того	18	78
20	так как	13	78
21	и не	20	78
22	только в	9	75
23	в целом	8	74
24	как мы	12	72
25	но и	6	70
26	заключается в	13	67
27	в его	11	67
28	сказать что	14	65
29	мы могли	5	65
30	как бы	29	64
31	вместе с	10	62
32	представляет собой	3	60
33	и что	29	60
34	было бы	22	60
35	в качестве	2	60
36	то же	17	58
37	в основе	5	58
38	в отношении	1	55
39	могли бы	6	54
40	между собой	2	53
41	в силу	2	53
42	что мы	6	53
43	в самом	41	52
44	по сравнению	1	51
45	в сущности	16	51
46	мы должны	3	50
47	ребенка и	1	49
48	к тому	18	49
49	что они	9	48
50	тем что	7	48
51	мы можем	12	48
52	тогда когда	2	47
53	на основе	1	47
54	мы не	7	47
55	сравнению с	1	46
56	если бы	22	46
57	но не	3	45
58	с другой	8	45
59	с тем	14	43
60	же как	3	43
61	тем самым	4	43
62	тому что	10	42
63	как это	13	42
64	не является	2	41
65	о том	17	40
66	одной стороны	6	40
67	никогда не	9	39
68	говорит он	3	39
69	с одной	7	39
70	так и	3	39
71	мы видели	7	38
72	и к	5	37
73	если мы	19	37
74	мы видим	15	37
75	не в	12	37
76	в этой	20	37
77	с самого	10	36
78	в своем	8	36
79	все эти	7	36
80	самого начала	10	36
81	как в	8	36
82	а не	11	36
83	и его	8	36
84	того же	4	35
85	с другом	2	35
86	можно было	7	35
87	в себе	9	35
88	в которой	8	35
89	друг с	2	35
90	он не	11	35
91	связи с	2	34
92	и как	10	34
93	прежде всего	2	33
94	для ребенка	1	33
95	при этом	10	33
96	по себе	5	33
97	именно в	3	32
98	и на	7	32
99	той же	6	32
100	что оно	5	32
101	нас к	1	32
102	по своему	6	32
103	же самое	14	32
104	что и	7	32
105	и тем	4	32
106	но в	5	32
107	слова и	3	32
108	развития и	2	31
109	все же	10	31
110	из того	1	31
111	и то	10	31
112	мысли и	2	30
113	на то	25	30
114	этом отношении	1	30
115	этого слова	5	29
116	между тем	10	29
117	как известно	2	29
118	показывает что	4	29
119	от того	1	29
120	с этим	11	28
121	что с	4	28
122	самом деле	33	28
123	только что	10	27
124	с этой	5	27
125	в результате	3	27
126	другой стороны	5	27
127	этом случае	1	27
128	в то	5	27
129	и с	4	27
130	в своей	6	27
131	что все	10	27
132	перед нами	12	27
133	в их	3	26
134	нашего исследования	2	26
135	в собственном	1	26
136	что это	19	26
137	для него	4	26
138	мысли в	1	26
139	в частности	3	26
140	в чем	3	25
141	что она	34	25
142	еще не	3	25
143	уже в	1	25
144	все это	12	25
145	можно сказать	2	25
146	по мере	1	25
147	только не	3	25
148	мы уже	12	25
149	это не	7	25
150	в смысле	1	24
151	мы знаем	3	24
152	тот же	5	24
153	понятия и	1	24
154	зависимости от	1	24
155	целый ряд	6	24
156	на этот	2	24
157	того как	4	24
158	в какой	8	24
159	мы пытались	1	24
160	так что	10	24
161	что эта	8	24
162	в нем	8	24
163	в слове	1	24
164	оба эти	4	24
165	в высшей	1	24
166	друг друга	1	23
167	этот вопрос	5	23
168	состоит в	4	23
169	бы в	3	23
170	ни в	6	23
171	как он	2	23
172	слова в	1	23
173	во всяком	6	22
174	не могут	2	22
175	то время	4	22
176	смысле этого	5	22
177	столь же	5	22
178	в известном	1	22
179	в зависимости	1	22
180	высшей степени	1	22
181	между ними	1	21
182	к этому	5	21
183	как говорит	2	21
184	же точно	6	21
185	и следовательно	2	21
186	и ее	4	21
187	с таким	4	21
188	на основании	2	21
189	его в	5	21
190	все время	36	21
191	показать что	13	21
192	там где	7	21
193	и все	14	21
194	не имеет	8	21
195	в истории	3	21
196	ее в	7	21
197	и более	4	21
198	отношение к	2	21
199	в пользу	1	20
200	в виду	6	20
201	не менее	1	20
202	в котором	7	20
203	в другом	6	20
204	к которому	3	20
205	из них	10	20
206	время как	6	20
207	из этих	6	20
208	на вопрос	1	20
209	в такой	5	20
210	и других	5	20
211	а в	9	20
212	говорит что	17	20
213	едва ли	4	20
214	как раз	14	20
215	к выводу	1	20
216	как показывает	2	20
217	на этом	6	20
218	должно быть	1	20
219	по существу	4	20
220	и их	2	20
221	в речи	3	19
222	но мы	4	19
223	в связи	1	19
224	во всех	4	19
225	а с	4	19
226	и по	2	19
227	один из	7	19
228	но если	6	19
229	независимо от	2	19
230	в данном	5	19
231	в той	8	19
232	как на	9	19
233	с ним	6	19
234	в себя	1	19
235	мы говорили	3	19
236	из которых	6	19
237	во всем	2	18
238	к действительности	3	18
239	во всей	3	18
240	одного и	2	18
241	но это	6	18
242	в отличие	1	18
243	и другое	6	18
244	отличие от	1	18
245	слов и	2	18
246	всяком случае	6	18
247	в этих	3	17
248	в своих	6	17
249	их в	4	17
250	казалось бы	7	17
251	в одном	9	17
252	я не	9	17
253	не есть	1	17
254	сих пор	6	17
255	и той	4	17
256	на деле	4	17
257	до сих	7	17
258	в свою	6	17
259	в совершенно	3	17
260	тем же	1	17
261	до конца	5	17
262	и для	4	17
263	для этого	9	17
264	все что	2	17
265	нами в	3	17
266	иначе как	3	17
267	и того	1	17
268	у него	6	17
269	не совпадают	1	17
270	этой точки	2	17
271	и от	1	17
272	и есть	3	17
273	то и	3	17
274	совпадает с	2	17
275	обе эти	1	17
276	мы находим	1	17
277	и только	8	17
278	и другие	3	16
279	своей природе	1	16
280	одной и	4	16
281	раньше чем	1	16
282	в которых	9	16
283	бы сказать	4	16
284	значение в	1	16
285	мы имеем	2	16
286	вовсе не	11	16
287	такой же	2	16
288	выводу что	1	16
289	которые не	2	16
290	и даже	4	16
291	на этой	1	16
292	пути развития	1	16
293	между двумя	3	16
294	исследования и	3	16
295	по поводу	1	16
296	то в	1	16
297	видели что	2	16
298	в мысли	1	16
299	мысль что	4	16
300	для нас	14	16
301	которые в	1	16
302	которую мы	5	16
303	тому как	1	16
304	таким же	1	16
305	является в	1	15
306	в них	4	15
307	что при	5	15
308	от этого	4	15
309	и это	13	15
310	и является	1	15
311	подобно тому	1	15
312	со всеми	2	15
313	что если	6	15
314	данном случае	5	15
315	на все	2	15
316	тем более	2	15
317	хотя бы	3	15
318	в начале	1	15
319	те же	2	15
320	отличается от	2	15
321	между этими	1	15
322	но как	3	15
323	которое мы	4	15
324	значит что	2	15
325	представить себе	2	15
326	ничего не	4	15
327	как она	8	15
328	который мы	4	15
329	когда он	8	15
330	по этому	1	15
331	уже говорили	4	14
332	это значит	4	14
333	думается что	1	14
334	но что	3	14
335	свою очередь	3	14
336	одно и	4	14
337	что у	7	14
338	очевидно что	4	14
339	что для	6	14
340	точку зрения	1	14
341	из этого	10	14
342	и здесь	9	14
343	со всей	3	14
344	одним из	2	14
345	он должен	2	14
346	показывают что	2	14
347	один и	1	14
348	этих двух	1	14
349	не можем	4	14
350	о чем	1	14
351	говорили выше	1	14
352	это есть	3	14
353	сущности говоря	10	14
354	когда мы	5	14
355	и во	3	14
356	с его	2	14
357	же мере	2	14
358	к которым	7	14
359	об этом	4	14
360	что эти	5	14
361	в теории	1	14
362	и отношений	1	14
363	имеет место	2	13
364	в действительности	3	13
365	для объяснения	1	13
366	с другими	1	13
367	и тот	1	13
368	его к	2	13
369	если в	2	13
370	к его	2	13
371	они не	2	13
372	мы имели	1	13
373	в виде	5	13
374	значения и	1	13
375	на его	2	13
376	отнюдь не	2	13
377	она не	10	13
378	человека и	1	13
379	для всех	2	13
380	точно так	3	13
381	как они	2	13
382	но все	2	13
383	по самой	1	13
384	слова как	3	13
385	с ней	1	13
386	связана с	1	13
387	этой теории	1	13
388	в состоянии	1	13
389	факт что	3	13
390	благодаря этому	2	13
391	в уме	1	13
392	все более	4	13
393	с которыми	2	12
394	даже в	2	12
395	а затем	1	12
396	на первый	1	12
397	только на	3	12
398	образом что	2	12
399	том чтобы	2	12
400	но он	5	12
401	ясно что	11	12
402	полагает что	5	12
403	должны были	2	12
404	за пределы	1	12
405	тем и	2	12
406	к другому	1	12
407	в другую	1	12
408	в одной	2	12
409	и потому	1	12
410	в самых	1	12
411	и составляет	1	12
412	еще более	2	12
413	в первом	3	12
414	которые мы	2	12
415	к нему	2	12
416	от его	1	12
417	несмотря на	7	12
418	в ее	9	12
419	тому же	2	12
420	это мы	2	12
421	так точно	3	12
