N	4gram	Medvedev_V	DiskursI
1	в то же время	5	8
2	с одной стороны и	2	5
3	может быть определена как	1	5
4	не говоря уже о	1	3
5	в том числе и	2	3
6	одно и то же	1	3
7	в том случае если	1	2
8	и не может быть	2	2
9	а в том что	1	2
10	и в то же	3	2
11	если можно так выразиться	1	2
12	именно в том что	1	1
13	роль в этом отношении	1	1
14	большей или меньшей степени	2	1
15	в той или иной	1	1
16	в большей или меньшей	2	1
17	только в том случае	1	1
18	иметь в виду что	1	1
19	может быть сведена к	1	1
20	с другой стороны в	1	1
21	об одном и том	1	1
22	нет и не может	1	1
23	говорит о том что	1	1
24	следует иметь в виду	2	1
25	только в том что	1	1
26	словесного выражения все это	1	1
27	которых можно было бы	1	1
28	одном и том же	2	1
29	с большей или меньшей	1	1
30	мы имеем дело с	1	1
31	той или иной мере	1	1
32	никак не могут быть	1	1
33	дело не в том	1	1
34	не может быть признана	1	1
35	проявляется не только в	1	1
36	не в том что	2	1
37	в том или ином	1	1
