N	3gram	Savitsky_E	Poddanst
1	то же время	14	7
2	в то же	15	7
3	в отношении к	12	5
4	русская революция есть	1	4
5	в том что	6	4
6	не только в	4	4
7	в гораздо большей	1	4
8	гораздо большей степени	1	4
9	с точки зрения	16	3
10	с одной стороны	8	3
11	в полной мере	1	2
12	но и в	1	2
13	заключается в том	2	2
14	не только это	1	2
15	заключает в себе	3	2
16	нужно помнить что	1	2
17	в значительной мере	1	2
18	и в то	8	2
19	в северной америке	2	2
20	в том числе	1	2
21	и не только	1	2
22	одной стороны и	6	2
23	старого света в	1	2
24	и т д	1	1
25	было бы неправильно	1	1
26	в определенный момент	1	1
27	друг с другом	3	1
28	в грехе и	1	1
29	которая помогла бы	1	1
30	в определенном смысле	2	1
31	закрывать глаза на	1	1
32	именно потому что	1	1
33	европы и азии	6	1
34	и в частности	2	1
35	в некотором смысле	3	1
36	чуть ли не	1	1
37	в области техники	1	1
38	в эту эпоху	1	1
39	в расчете на	2	1
40	в последние годы	3	1
41	но в то	2	1
42	и тем самым	1	1
43	насколько можно судить	1	1
44	долго на коротко	1	1
45	в применении к	3	1
46	мы отнюдь не	1	1
47	том числе и	1	1
48	само по себе	4	1
49	с разных точек	1	1
50	не может быть	2	1
51	в этом мире	1	1
52	та или иная	1	1
53	образ россии не	1	1
54	во многих случаях	1	1
55	поскольку они являются	1	1
56	в большинстве случаев	2	1
57	в качестве общего	1	1
58	ибо то что	1	1
59	не явятся ли	1	1
60	но также и	1	1
61	в последние тысячелетия	1	1
62	в отличие от	1	1
63	в этом смысле	3	1
64	по сравнению с	2	1
65	но в северной	1	1
66	экономическое знание в	1	1
67	к востоку от	1	1
68	и на путях	1	1
69	что в этом	1	1
70	не более как	1	1
71	остается открытым для	1	1
72	между прочим на	1	1
73	в каком смысле	1	1
74	другие народы мира	1	1
75	untergang des abendlandes	1	1
76	следует понимать что	1	1
77	хотя бы и	3	1
78	которую мы именуем	1	1
79	в пределах российского	1	1
80	эти последние в	1	1
81	между тем в	3	1
82	же время в	1	1
83	во всяком случае	3	1
84	для того чтобы	5	1
85	и значительная часть	2	1
86	можно думать что	3	1
87	весьма вероятно что	1	1
88	и тем более	1	1
89	с другой стороны	2	1
90	и в качестве	1	1
91	в известном смысле	3	1
92	пределах российского мира	1	1
93	по количеству осадков	1	1
94	более или менее	1	1
95	вслед за тем	2	1
96	на долго на	1	1
97	так же как	5	1
98	большей степени чем	1	1
99	только в виде	1	1
100	в частности в	2	1
101	на коротко ли	1	1
102	но нужно помнить	1	1
103	или хотя бы	2	1
104	лесной и земледельческий	1	1
105	и в этом	4	1
