N	3gram	Propp_Isto	Problemy
1	то же время	1	26
2	в то же	1	26
3	с точки зрения	1	25
4	по отношению к	2	18
5	на самом деле	1	15
6	не может быть	6	14
7	в пределах одного	1	11
8	до сих пор	7	10
9	в самом деле	1	9
10	с другой стороны	10	9
11	с самого начала	1	9
12	во всяком случае	1	9
13	в том что	4	8
14	друг с другом	2	8
15	и т д	36	7
16	мы уже говорили	1	7
17	в отличие от	1	6
18	как и все	1	6
19	сам по себе	1	5
20	в зависимости от	1	5
21	но все же	6	5
22	подобно тому как	2	5
23	он не может	2	4
24	тем не менее	6	4
25	друг на друга	1	4
26	так и в	2	4
27	само по себе	1	4
28	смысле этого слова	1	4
29	что может быть	1	4
30	о том что	5	4
31	как и в	4	4
32	что в нем	1	4
33	с ним и	1	4
34	может быть и	1	4
35	никак не может	1	3
36	можно сказать что	1	3
37	и то же	2	3
38	но при этом	1	3
39	то же что	1	3
40	в данном случае	2	3
41	и в других	1	3
42	на то что	3	3
43	знаете ли вы	1	3
44	как мы знаем	1	3
45	на этот вопрос	2	3
46	все же не	1	3
47	как мы видели	2	3
48	одно и то	2	3
49	в этом случае	13	3
50	в то время	3	3
51	как мы увидим	4	3
52	тем что он	3	3
53	т е в	6	3
54	мы увидим что	1	3
55	то время как	3	3
56	что он не	1	2
57	как будто бы	1	2
58	остановимся только на	1	2
59	о нем в	1	2
60	то что он	2	2
61	знает что он	1	2
62	он не только	1	2
63	того или другого	1	2
64	для того чтобы	3	2
65	что все это	1	2
66	в свою очередь	1	2
67	так что он	1	2
68	но тем не	1	2
69	друг за другом	1	2
70	вместе с тем	7	2
71	по себе но	1	2
72	а не в	1	2
73	то же самое	1	2
74	как бы два	1	2
75	только то что	1	2
76	но это не	2	2
77	и входит в	1	2
78	в себя как	1	2
79	в этих случаях	7	2
80	как и его	1	2
81	здесь конечно не	1	2
82	в этом рассказе	1	2
83	этой точки зрения	2	2
84	как один из	1	2
85	в нем и	3	2
86	он может быть	1	2
87	таким образом и	1	2
88	в которых может	1	2
89	он знает что	1	2
90	не только в	2	2
91	и в том	1	2
92	же как и	4	2
93	у него нет	1	2
94	и что он	1	2
95	в себе и	1	2
96	что и в	3	2
97	но для чего	1	1
98	так же как	10	1
99	все это он	1	1
100	в воздухе в	1	1
101	может быть это	1	1
102	у него есть	1	1
103	одной стороны и	1	1
104	между героем и	1	1
105	каждого из них	1	1
106	тому как он	1	1
107	о том как	4	1
108	случаях когда герой	1	1
109	таким образом между	1	1
110	приведем еще один	2	1
111	и во всем	1	1
112	в том числе	3	1
113	не говорит о	1	1
114	что он на	1	1
115	по сравнению с	1	1
116	сих пор не	1	1
117	в различных направлениях	1	1
118	они и не	1	1
119	приведем два примера	1	1
120	и выходит из	1	1
121	перейти в другое	1	1
122	поэтому она и	1	1
123	но кто же	1	1
124	мы должны признать	1	1
125	не знаем о	1	1
126	мы еще не	1	1
127	но в таком	1	1
128	от него он	1	1
129	она и не	1	1
130	не в том	2	1
131	потому что в	1	1
132	же относится и	1	1
133	которой он сам	1	1
134	нами до сих	1	1
135	для наших целей	1	1
136	но и он	1	1
137	в таком случае	1	1
138	мы сейчас увидим	1	1
139	может быть только	1	1
140	чтобы она не	2	1
141	не потому что	2	1
142	на которой он	1	1
143	он живет в	2	1
144	иметь в виду	1	1
145	потому что он	5	1
146	за что же	1	1
147	на третий день	1	1
148	мы видели также	1	1
149	и все эти	1	1
150	том числе и	2	1
151	и вместе с	3	1
152	точно так же	3	1
153	в пределах одной	1	1
154	по себе не	1	1
155	в этом он	1	1
156	но для наших	1	1
157	уже после того	2	1
158	это он говорит	1	1
159	с ним а	1	1
160	на него в	1	1
161	может быть разрешен	1	1
162	в связи с	6	1
163	выдает себя за	1	1
164	в непосредственной близости	1	1
165	что даже и	1	1
166	а не только	1	1
167	здесь еще нет	1	1
168	особое место занимает	1	1
169	так как в	3	1
170	не мог бы	1	1
171	бы они были	1	1
172	и потому не	1	1
173	мы видели что	2	1
174	другой стороны эта	1	1
175	то что у	1	1
176	ним как за	1	1
177	т д и	1	1
178	увидим что это	1	1
179	не только для	1	1
180	вид что он	1	1
181	говорит он что	1	1
182	но и в	2	1
183	и с этой	1	1
184	в них не	1	1
185	т е для	2	1
186	мере того как	3	1
187	в целом его	1	1
188	может быть дана	1	1
189	и в особенности	2	1
190	и не потому	2	1
191	к нему с	1	1
192	по мере того	3	1
193	в своей работе	1	1
194	за ним как	1	1
195	из них он	1	1
196	на нее он	1	1
197	он что в	1	1
198	за ним и	1	1
199	таким образом в	2	1
200	до некоторой степени	1	1
201	может быть не	1	1
202	но даже в	1	1
203	видели что в	1	1
204	здесь еще не	2	1
205	в этом не	1	1
206	это еще не	2	1
207	у меня в	1	1
208	как мы видим	1	1
209	они друг друга	2	1
210	не в виде	1	1
211	мы не знаем	2	1
212	следует за ней	1	1
213	мы имеем в	2	1
214	до него и	1	1
215	главным образом в	1	1
216	говорит об этом	1	1
217	не менее в	1	1
218	его функции в	1	1
219	в одно время	1	1
220	с ними и	1	1
221	и то что	3	1
222	он не мог	1	1
223	не могут быть	1	1
224	что мы видим	1	1
225	художественного творчества они	1	1
226	с одной стороны	7	1
227	в случае если	1	1
228	вопрос о том	1	1
229	потому что с	1	1
230	из которых каждый	1	1
231	это и есть	1	1
232	в виду что	1	1
233	сюда же относится	1	1
234	но и для	1	1
235	после того как	4	1
236	один из этих	1	1
237	на первом месте	1	1
238	что с ним	1	1
239	на этом мы	1	1
