N	2gram	Propp_Russ	Retstnzi
1	не может	6	4
2	и в	59	3
3	если в	3	2
4	один из	10	2
5	при сравнении	1	1
6	в особенности	3	1
7	несмотря на	4	1
8	может быть	14	1
9	не только	28	1
10	точки зрения	3	1
11	с точки	3	1
12	может не	1	1
13	для него	1	1
14	истории русского	1	1
15	в ней	3	1
16	тех же	1	1
17	в каждом	2	1
18	связи с	6	1
19	с другими	3	1
20	его от	2	1
21	сил которые	1	1
22	если бы	1	1
23	смысл и	1	1
24	исходя из	2	1
25	в его	3	1
26	не менее	3	1
27	именно с	3	1
28	но и	20	1
29	мы видим	2	1
30	к тому	4	1
31	во второй	1	1
32	можно назвать	1	1
33	тому что	4	1
34	в то	3	1
35	из этих	6	1
36	он в	1	1
37	то же	6	1
38	а не	3	1
39	нет и	1	1
40	и не	6	1
41	так называемая	2	1
42	на нее	5	1
43	и все	4	1
44	и на	14	1
45	себя от	1	1
