N	3gram	Tiupa_Narr	Poddanst
1	то же время	3	7
2	в то же	3	7
3	в том что	8	4
4	не только в	2	4
5	сами по себе	2	3
6	с точки зрения	2	3
7	с одной стороны	7	3
8	в ней не	1	2
9	и в то	1	2
10	в том числе	6	2
11	друг с другом	1	1
12	быть может не	1	1
13	было в прошлом	2	1
14	тех кто не	1	1
15	в этом не	1	1
16	далеко не все	1	1
17	в отрыве от	1	1
18	и тем самым	3	1
19	том числе и	4	1
20	само по себе	1	1
21	не может быть	5	1
22	именно в рамках	1	1
23	на наш взгляд	1	1
24	том что в	1	1
25	в отличие от	5	1
26	в этом смысле	1	1
27	есть прежде всего	1	1
28	и то что	1	1
29	что в этом	1	1
30	и быть может	1	1
31	же время в	1	1
32	и тем более	1	1
33	с другой стороны	4	1
34	в известном смысле	2	1
35	в рамках этого	1	1
36	более или менее	2	1
37	тем более что	1	1
38	так же как	2	1
39	тот или иной	1	1
40	или хотя бы	1	1
41	начала и конца	1	1
