N	4gram	Tiupa_Anal	Problemy
1	в то же время	7	26
2	в том что он	2	5
3	в той или иной	2	5
4	по себе еще не	1	4
5	с другой стороны и	1	3
6	во всяком случае не	1	2
7	дело в том что	3	2
8	но с другой стороны	1	2
9	как если бы он	1	2
10	и в слове о	1	2
11	из уст в уста	1	2
12	по крайней мере не	1	1
13	в слове рассказчика слово	1	1
14	из этих трех случаев	1	1
15	во время их первой	1	1
16	и сам по себе	1	1
17	с самим собою в	1	1
18	мы оставляем в стороне	1	1
19	а в том что	1	1
20	но в отличие от	1	1
21	одного и того же	4	1
22	одних и тех же	2	1
23	сама по себе еще	1	1
24	один и тот же	1	1
25	заключается в том что	1	1
26	сообщение о том что	1	1
27	но при условии что	1	1
28	рассказчика слово здесь двуголосое	1	1
29	но в таком случае	1	1
30	однако в отличие от	1	1
31	другой стороны и сама	1	1
32	о своей любви к	1	1
33	в каждом из этих	1	1
34	не в том что	1	1
35	каждом из этих трех	1	1
36	слове рассказчика слово здесь	1	1
37	если бы он и	1	1
38	в том или ином	1	1
