N	3gram	Losev_Prob	VelikijI
1	за то что	1	3
2	к тому что	1	3
3	то что мы	3	3
4	и т д	20	2
5	в том что	17	2
6	в вопросе о	1	2
7	бы и не	1	2
8	но и в	2	2
9	том что он	2	2
10	в существе своем	1	2
11	не могли бы	2	1
12	так и в	2	1
13	тем что они	1	1
14	во что бы	1	1
15	что бы то	1	1
16	есть идея в	1	1
17	т д и	5	1
18	не имеет никакой	1	1
19	в конце концов	4	1
20	еще не был	1	1
21	вместе с тем	1	1
22	и во всяком	3	1
23	да и то	2	1
24	сознания так и	1	1
25	есть то что	3	1
26	потому что оно	1	1
27	и никогда не	1	1
28	по сравнению с	3	1
29	есть прежде всего	3	1
30	как и в	2	1
31	мы же говорим	1	1
32	и то и	1	1
33	с тем чтобы	1	1
34	жизни и потому	1	1
35	по крайней мере	9	1
36	д и т	5	1
37	то и другое	1	1
38	тысячи лет назад	1	1
39	хотя бы и	2	1
40	имеет своим предметом	2	1
41	и не было	2	1
42	и они будут	1	1
43	и в вопросе	1	1
44	но все же	1	1
45	с другой стороны	11	1
46	в известном смысле	1	1
47	бы то ни	5	1
48	и есть то	2	1
49	и в этом	6	1
50	то ни стало	1	1
51	так как она	1	1
52	и не любят	1	1
