N	3gram	Potebnia_M	Sotsiolo
1	по отношению к	13	2
2	в том что	18	2
3	не в том	6	2
4	случае пришлось бы	1	1
5	в то же	3	1
6	друг от друга	3	1
7	и как только	1	1
8	а между тем	5	1
9	что в них	1	1
10	с одной стороны	6	1
11	в связи с	2	1
12	быть не только	1	1
13	то что в	2	1
14	главным образом в	1	1
15	по крайней мере	6	1
16	о том как	1	1
17	то же время	3	1
18	в противном случае	3	1
19	только то что	1	1
20	бы они ни	2	1
21	в наше время	1	1
22	слова но она	1	1
23	сама по себе	4	1
24	не в этих	1	1
25	во всяком случае	7	1
26	а в том	4	1
27	в сущности есть	1	1
28	и в этом	7	1
29	в том и	2	1
30	именно в том	1	1
31	что на ней	2	1
32	противном случае пришлось	1	1
33	не было бы	3	1
34	они ни были	2	1
