N	2gram	Medvedev_V	Dialekti
1	т е	18	159
2	и не	20	120
3	и т	25	82
4	по себе	2	79
5	а не	7	78
6	и в	26	77
7	т д	16	75
8	точки зрения	3	72
9	может быть	23	71
10	не только	26	66
11	значит что	2	61
12	то что	7	59
13	и есть	5	55
14	это значит	1	54
15	не может	17	53
16	миф не	1	49
17	и даже	2	47
18	потому что	1	45
19	как бы	5	43
20	и что	1	42
21	ни в	1	42
22	не имеет	1	41
23	вовсе не	3	41
24	в том	15	40
25	в этом	29	39
26	то же	10	39
27	что такое	2	39
28	что она	2	38
29	в себе	6	38
30	что он	4	37
31	том что	8	37
32	прежде всего	13	37
33	это не	7	36
34	что в	11	34
35	в нем	7	34
36	и все	1	33
37	того что	3	33
38	но и	10	32
39	все это	13	31
40	сказать что	5	30
41	отнюдь не	4	30
42	и как	3	30
43	было бы	8	29
44	так и	6	29
45	как и	7	28
46	никогда не	5	27
47	в виду	4	26
48	крайней мере	2	26
49	не в	6	26
50	по крайней	2	26
51	сама по	1	26
52	есть и	1	26
53	говорить о	2	25
54	и то	1	25
55	но это	1	24
56	если бы	3	24
57	таким образом	32	23
58	в то	6	23
59	это и	6	23
60	что оно	3	23
61	но что	1	22
62	что не	3	21
63	в чем	2	21
64	личности и	1	21
65	должна быть	2	21
66	она не	3	21
67	о том	10	20
68	что и	3	20
69	что все	4	20
70	в таком	1	20
71	только в	8	20
72	в каком	1	20
73	совершенно не	1	20
74	только тогда	1	20
75	уже не	1	20
76	как раз	4	20
77	в самом	4	19
78	не менее	2	19
79	в своем	8	19
80	как же	1	19
81	и это	1	19
82	как это	12	19
83	тогда когда	2	19
84	что мы	2	19
85	и его	6	19
86	же время	5	18
87	хотя бы	20	18
88	с другой	11	18
89	жизни и	3	18
90	в особенности	2	17
91	можно сказать	4	17
92	той или	1	17
93	должно быть	2	17
94	в основе	1	17
95	кроме того	1	16
96	то это	2	16
97	одно и	1	16
98	только не	2	16
99	или не	1	16
100	сам по	1	16
101	в своей	4	16
102	да и	2	16
103	нет ничего	1	16
104	конечно не	1	16
105	мы не	1	16
106	об этом	9	16
107	же и	3	15
108	только что	4	15
109	все же	6	15
110	так же	3	15
111	то в	1	15
112	и мы	1	15
113	несмотря на	1	15
114	но только	1	15
115	самом деле	1	15
116	хотя и	2	15
117	в виде	1	15
118	личности в	1	15
119	также и	2	15
120	быть и	1	15
121	на то	2	15
122	а именно	1	14
123	есть то	1	14
124	даже и	3	14
125	с ним	1	14
126	не было	7	14
127	и ее	4	14
128	ни с	2	14
129	таком случае	1	14
130	жизнь и	1	14
131	и потому	2	14
132	и к	3	13
133	говорит о	7	13
134	другой стороны	8	13
135	отличается от	2	13
136	что они	3	13
137	время как	1	13
138	он не	2	13
139	и та	1	13
140	в силу	14	13
141	с ее	1	13
142	но в	2	13
143	в ней	2	13
144	собственно говоря	1	13
145	именно в	3	12
146	с этим	3	12
147	вопрос о	1	12
148	нет никакого	1	12
149	но как	3	12
150	но не	2	12
151	даже не	2	12
152	могут быть	8	12
153	никак не	3	12
154	не могут	10	12
155	перед нами	5	12
156	еще не	2	12
157	и если	1	12
158	все эти	8	12
159	тем более	1	12
160	и ни	1	12
161	и может	2	12
162	и жизни	1	12
163	а в	3	12
164	что если	1	11
165	в них	5	11
166	от всего	1	11
167	в данном	1	11
168	только на	1	11
169	быть в	1	11
170	не о	2	11
171	и тем	1	11
172	должны быть	2	11
173	из них	11	11
174	тех или	1	11
175	не значит	1	11
176	мы говорим	1	11
177	от того	2	11
178	мы имеем	3	11
179	или в	3	11
180	есть в	1	11
181	его не	3	11
182	только то	2	11
183	с этой	1	10
184	в результате	5	10
185	в жизни	2	10
186	к тому	5	10
187	во всяком	2	10
188	для того	3	10
189	можно ли	2	10
190	на себе	1	10
191	мы видим	1	10
192	то или	1	10
193	в ее	4	10
194	себе и	2	10
195	и для	2	10
196	если же	1	10
197	или иное	1	10
198	что для	4	10
199	чтобы не	2	10
200	за пределы	1	10
201	только о	2	10
202	нет ни	2	10
203	в его	15	10
204	в их	5	10
205	это было	1	10
206	идеи и	6	10
207	е в	2	10
208	в частности	12	10
209	как мы	1	10
210	как будто	1	10
211	или по	1	9
212	тому что	7	9
213	не как	1	9
214	в этих	1	9
215	в котором	3	9
216	в противоположность	3	9
217	в одном	5	9
218	и он	3	9
219	же как	2	9
220	бы в	3	9
221	на этом	2	9
222	иметь в	2	9
223	общего с	1	9
224	и по	3	9
225	утверждать что	5	9
226	подобно тому	3	9
227	с ними	4	9
228	то время	1	9
229	как о	3	9
230	всех этих	3	9
231	и от	3	9
232	или иной	2	9
233	а если	1	9
234	между собою	2	9
235	выйти за	1	9
236	как он	3	9
237	в истории	1	9
238	та или	3	9
239	тому как	3	9
240	от него	1	8
241	даже в	5	8
242	но все	1	8
243	в дальнейшем	1	8
244	вот почему	5	8
245	уже о	1	8
246	то как	1	8
247	так то	1	8
248	нет и	3	8
249	с одной	2	8
250	и внешнего	1	8
251	это мы	3	8
252	и чисто	1	8
253	или иная	3	8
254	по одному	2	8
255	что эта	1	8
256	этом смысле	1	8
257	в этой	4	8
258	что есть	1	8
259	или иначе	1	8
260	один из	6	8
261	и из	1	8
262	но вот	2	8
263	как не	1	8
264	ничего общего	1	8
265	при помощи	3	8
266	в сфере	2	8
267	и значит	2	8
268	в поэзии	1	8
269	у нас	3	8
270	бы и	6	8
271	как нечто	1	8
272	и без	1	8
273	того или	2	8
274	но она	1	8
275	мы и	1	7
276	говоря уже	1	7
277	вещи в	1	7
278	он всегда	1	7
279	е не	1	7
280	тем что	1	7
281	зависимости от	5	7
282	мы получаем	1	7
283	но он	1	7
284	мира и	3	7
285	не всегда	2	7
286	личность и	1	7
287	как на	3	7
288	он сам	2	7
289	грань между	1	7
290	связи с	5	7
291	но для	2	7
292	в конце	3	7
293	в связи	4	7
294	а только	1	7
295	и при	5	7
296	из которых	2	7
297	так или	1	7
298	сами по	1	7
299	заключается в	2	7
300	как в	1	7
301	со стороны	1	7
302	или вообще	1	7
303	с его	4	7
304	он должен	1	7
305	если есть	1	7
306	очень много	1	7
307	понимать как	2	7
308	что этот	1	7
309	не говоря	1	7
310	и их	3	7
311	из этих	7	7
312	идею и	1	7
313	об его	1	6
314	религии и	1	6
315	можно и	1	6
316	о чем	2	6
317	у пушкина	2	6
318	более или	6	6
319	уже в	1	6
320	одной стороны	2	6
321	в другом	2	6
322	сущности и	1	6
323	в зависимости	6	6
324	одна из	4	6
325	во всех	7	6
326	в которой	2	6
327	можно было	2	6
328	где же	1	6
