N	3gram	Voloshinov	Hudozhes
1	по отношению к	9	10
2	не сводится к	1	9
3	в том что	9	8
4	в то же	7	7
5	в отличие от	7	7
6	то же время	7	7
7	с другой стороны	6	6
8	более или менее	3	6
9	той или иной	5	5
10	в конечном счете	1	5
11	для того чтобы	7	5
12	так или иначе	2	4
13	того или иного	2	4
14	не может быть	23	4
15	и его внешней	1	4
16	с точки зрения	31	3
17	в этом смысле	2	3
18	и в самом	1	3
19	в том числе	3	3
20	тем не менее	3	3
21	всех без исключения	5	3
22	можно сказать что	4	3
23	и то же	3	3
24	одного и того	9	3
25	отношение знака к	2	3
26	одно и то	3	3
27	подобно тому как	1	3
28	и того же	9	3
29	в связи с	12	3
30	в знаковом материале	2	3
31	с одной стороны	2	3
32	тот или иной	2	3
33	в той или	3	2
34	в свою очередь	5	2
35	бы то ни	11	2
36	но он не	1	2
37	в данном контексте	3	2
38	и прежде всего	4	2
39	до известной степени	2	2
40	он тем не	1	2
41	в данный момент	2	2
42	в русской литературе	1	2
43	этой точки зрения	1	2
44	ту или иную	1	2
45	с этой точки	1	2
46	в самом деле	13	2
47	в коем случае	2	2
48	в таком случае	5	2
49	как бы не	1	2
50	внутренней и внешней	1	2
51	в противном случае	2	2
52	начало и конец	1	2
53	ни в коем	2	2
54	в отношении к	7	2
55	том числе и	3	2
56	том что он	3	2
57	тем или иным	1	2
58	то ни было	11	2
59	сама по себе	2	2
60	к тому что	4	2
61	приводит к тому	1	2
62	в равной степени	1	2
63	в значительной степени	3	2
64	в основе своей	1	2
65	коем случае не	1	2
66	может быть и	8	2
67	не могли бы	1	1
68	быть не может	1	1
69	что приводит к	1	1
70	в литературе в	1	1
71	совпадая со своей	1	1
72	в статье о	1	1
73	и как бы	1	1
74	в более или	1	1
75	точки зрения не	2	1
76	и для него	1	1
77	именно к пониманию	1	1
78	и тем же	2	1
79	является как бы	2	1
80	к чему не	1	1
81	в соответствии с	1	1
82	или даже вовсе	1	1
83	значение дело здесь	1	1
84	лежат в основе	1	1
85	в противоречие с	1	1
86	себе отчет в	2	1
87	по крайней мере	1	1
88	к субъекту и	1	1
89	внутренней речи а	1	1
90	по ту сторону	1	1
91	о том что	2	1
92	то или иное	1	1
93	форм высказывания в	1	1
94	для него не	1	1
95	добро и зло	1	1
96	или иной форме	1	1
97	одной стороны и	1	1
98	наиболее глубокий и	1	1
99	во внутренней речи	2	1
100	в себе и	1	1
101	отчет в том	1	1
102	как и в	1	1
103	какой бы то	3	1
104	ни к каким	1	1
105	таком случае это	2	1
106	для себя и	1	1
107	место лишь в	1	1
108	в основе всех	1	1
109	и тем более	1	1
110	связи с этим	3	1
111	друг от друга	1	1
112	в настоящее время	6	1
113	не совпадает с	1	1
114	высказывания как целого	2	1
115	только при условии	1	1
116	отношению к нему	1	1
117	во времени и	1	1
118	во втором случае	1	1
119	в одной из	1	1
120	не рассчитан на	1	1
121	не что иное	1	1
122	одним и тем	2	1
123	таким образом и	1	1
124	языка в частности	1	1
125	в своей индивидуальности	1	1
126	текста но и	1	1
127	он ни был	1	1
128	но в то	6	1
129	которого только и	1	1
130	речи как бы	1	1
131	в зависимости от	2	1
132	может быть осуществлено	1	1
133	так же как	2	1
134	лишь в контексте	1	1
135	в этом случае	3	1
136	бы они ни	1	1
137	точки зрения в	1	1
138	их отношении к	1	1
139	а в том	1	1
140	в данном высказывании	1	1
141	к тому же	2	1
142	они ни были	1	1
143	она могла бы	1	1
144	своей индивидуальности и	1	1
145	в первую очередь	1	1
146	в данном отношении	1	1
147	искусства и религии	1	1
148	не могут быть	3	1
149	в русском языке	1	1
150	совершенно особое отношение	1	1
151	в новое время	1	1
152	может служить знаком	1	1
153	языка не может	1	1
154	то же самое	8	1
155	при этом как	1	1
156	и в сущности	1	1
157	или менее широком	1	1
158	которая не поддается	1	1
159	языка но и	1	1
160	внутренней речи как	2	1
161	что иное как	1	1
162	к вопросу о	1	1
163	ни к чему	1	1
164	в их отношении	1	1
165	же время они	1	1
166	и не дает	1	1
167	может быть признано	1	1
168	то что они	1	1
169	точки зрения и	1	1
170	а не только	1	1
171	является одним из	2	1
172	это и есть	2	1
173	все без исключения	3	1
174	прежде всего в	1	1
175	и в том	1	1
176	могли бы быть	1	1
177	таким образом с	1	1
