N	3gram	Tiupa_Narr	RusskieA
1	в том что	11	49
2	состоит в том	5	29
3	и т д	1	21
4	тем не менее	6	14
5	в xix в	1	13
6	о том что	3	10
7	и в других	1	9
8	для того чтобы	4	8
9	в данном случае	12	8
10	подобно тому как	4	8
11	как мы увидим	1	7
12	мы не можем	1	7
13	не может быть	6	6
14	как мы видели	1	6
15	так же как	1	6
16	в связи с	3	5
17	к тому что	4	5
18	бросается в глаза	1	4
19	в отличие от	6	4
20	не только на	2	4
21	в этих случаях	1	4
22	что иное как	1	4
23	на себя внимание	3	4
24	в то время	1	4
25	можно было бы	1	4
26	во всяком случае	2	4
27	по отношению к	5	3
28	более или менее	2	3
29	до сих пор	3	3
30	же как и	1	3
31	в свою очередь	2	3
32	на другой день	4	3
33	и потому что	1	3
34	на то что	2	3
35	с точки зрения	2	3
36	между тем это	1	3
37	обращает на себя	3	3
38	здесь мы имеем	1	3
39	и что в	1	3
40	у нас нет	2	3
41	может быть и	1	3
42	мы уже знаем	1	2
43	в большинстве случаев	1	2
44	и т п	2	2
45	но и на	2	2
46	в е годы	2	2
47	об этом не	1	2
48	может быть только	1	2
49	друг с другом	1	2
50	что каждый из	1	2
51	том что на	1	2
52	умирающего и воскресающего	1	2
53	так как это	1	2
54	но все же	1	2
55	с другой стороны	1	2
56	в этой связи	1	2
57	к этому времени	1	2
58	пока еще не	1	2
59	в евгении онегине	1	2
60	и у нас	1	2
61	как и в	1	2
62	можно сказать что	5	2
63	одна из наиболее	1	2
64	к жизни в	1	2
65	в этом и	3	2
66	на самом деле	1	2
67	это пока еще	1	2
68	иметь в виду	1	2
69	ни одна из	1	2
70	в равной степени	3	2
71	не только в	12	2
72	по его мнению	1	2
73	одна из них	1	2
74	с одной стороны	5	2
75	в этом отношении	5	2
76	с этого момента	1	2
77	и как бы	1	1
78	никак не может	1	1
79	дело не только	2	1
80	только себя но	1	1
81	они и не	2	1
82	в первый раз	1	1
83	в предыдущей главе	1	1
84	то что обычно	1	1
85	в город с	2	1
86	далеко не всегда	1	1
87	потому что в	1	1
88	только потому что	1	1
89	при всех их	1	1
90	в таком случае	1	1
91	одного и того	2	1
92	сам по себе	1	1
93	и все что	1	1
94	что один из	1	1
95	что именно в	1	1
96	и объяснить его	1	1
97	может быть не	2	1
98	но в данном	1	1
99	и о его	1	1
100	здесь не в	1	1
101	в то что	1	1
102	по аналогии с	1	1
103	точно так же	2	1
104	другой стороны после	1	1
105	тому же в	2	1
106	ничего не знает	1	1
107	в своем роде	1	1
108	быть не только	1	1
109	точки зрения в	1	1
110	к тому же	8	1
111	из них не	1	1
112	на этот вопрос	1	1
113	фаза в развитии	1	1
114	и того же	2	1
115	есть на самом	1	1
116	не может не	1	1
117	он приходится на	1	1
118	которая представляет собой	1	1
119	то же самое	3	1
120	не входит в	1	1
121	по своим формам	1	1
122	для его решения	1	1
123	как символ бессмертия	1	1
124	себя но и	1	1
125	имея в виду	1	1
126	в значительной степени	1	1
127	так же в	1	1
128	и потому не	1	1
129	ни о каких	1	1
130	а на другой	1	1
131	о которой говорилось	1	1
132	он обращается к	1	1
133	этом и состоит	3	1
134	в глаза что	1	1
135	в своего рода	2	1
136	в церкви и	1	1
137	в противном случае	1	1
138	же в этой	1	1
139	но и в	4	1
140	как он полагал	1	1
141	братьев и сестер	1	1
142	к новой жизни	1	1
143	подробнее об этом	1	1
144	представляет собой как	1	1
145	дело здесь не	1	1
146	что не только	1	1
147	как один из	1	1
148	быть и не	1	1
149	не означает что	1	1
150	потому что на	1	1
151	хотя они и	1	1
152	в нашем сознании	2	1
153	может быть вполне	1	1
154	из того что	1	1
155	хотя и не	2	1
156	дело в том	2	1
157	которой говорилось выше	1	1
158	них как бы	1	1
159	и та же	1	1
160	но еще не	1	1
161	как и все	1	1
162	что она в	2	1
163	значения и смысла	1	1
164	перекликаясь друг с	1	1
165	а в тех	1	1
166	по его словам	1	1
167	интерес к ним	1	1
168	что в первой	1	1
169	одна из особенностей	1	1
170	у него нет	1	1
171	смысл тем более	1	1
172	одна и та	1	1
173	на первый взгляд	1	1
174	тогда как в	2	1
175	в ряде случаев	2	1
176	не только тем	1	1
177	а в поле	1	1
178	и не только	1	1
179	представляет собой очень	1	1
180	жизни столь важное	1	1
181	то время как	1	1
182	это прежде всего	1	1
183	не мог быть	1	1
184	в основе своей	1	1
