N	2gram	Bakhtin_Fr	Sotsiolo
1	все это	19	7
2	в том	13	5
3	в этом	21	5
4	не только	11	3
5	не в	12	3
6	и в	73	3
7	в его	18	3
8	для нас	2	3
9	литературы и	1	2
10	что в	14	2
11	ведь это	3	2
12	то что	12	2
13	таким образом	34	2
14	том что	8	2
15	или даже	2	2
16	дело не	2	2
17	как бы	15	2
18	в результате	7	2
19	было бы	5	2
20	как будто	1	2
21	в частности	2	2
22	но и	15	2
23	конце концов	5	2
24	может быть	5	2
25	по существу	8	2
26	она может	1	2
27	и что	5	2
28	это и	1	2
29	исторической жизни	1	2
30	им не	1	2
31	за пределы	1	2
32	по отношению	3	2
33	в конце	9	2
34	как только	1	2
35	отношению к	3	2
36	исторического развития	1	2
37	должна быть	3	2
38	далеко не	2	2
39	тем более	1	2
40	только в	7	2
41	к которому	2	2
42	то же	16	2
43	еще не	3	2
44	а в	10	1
45	что он	8	1
46	образом в	2	1
47	даже в	4	1
48	на что	1	1
49	в таких	2	1
50	в целом	1	1
51	в силу	1	1
52	вряд ли	1	1
53	на этот	1	1
54	исторического характера	1	1
55	что эти	1	1
56	жизни он	1	1
57	все эти	24	1
58	не было	4	1
59	сказать и	2	1
60	у которых	1	1
61	связи с	5	1
62	кто не	1	1
63	в своей	4	1
64	во всяком	2	1
65	в мире	3	1
66	и потому	6	1
67	переходим к	2	1
68	все же	2	1
69	что это	9	1
70	и самым	2	1
71	еще и	2	1
72	от друга	1	1
73	и голова	1	1
74	на ней	1	1
75	с другой	3	1
76	и стало	1	1
77	это как	1	1
78	с ним	6	1
79	между тем	2	1
80	и более	1	1
81	в этой	18	1
82	время в	3	1
83	из себя	1	1
84	и его	18	1
85	опираясь на	1	1
86	не должна	1	1
87	только когда	1	1
88	никак не	1	1
89	в данном	3	1
90	на все	2	1
91	только для	1	1
92	в области	3	1
93	и по	4	1
94	самому существу	1	1
95	первый план	2	1
96	с помощью	11	1
97	же самое	1	1
98	один из	5	1
99	так и	13	1
100	в то	14	1
101	полагает что	1	1
102	реализма и	1	1
103	ни одно	1	1
104	в котором	4	1
105	те же	3	1
106	именно на	2	1
107	между собой	2	1
108	него и	2	1
109	же это	1	1
110	и не	13	1
111	со своими	2	1
112	выходит за	1	1
113	но она	1	1
114	всяком случае	1	1
115	индивидуальность и	1	1
116	по самому	1	1
117	том как	3	1
118	настоящее время	1	1
119	и о	2	1
120	но не	1	1
121	они не	2	1
122	в него	4	1
123	благодаря этому	3	1
124	она должна	1	1
125	для этого	2	1
126	прежде всего	18	1
127	тем что	8	1
128	тем же	1	1
129	в каждом	1	1
130	в строгом	1	1
131	и цельного	1	1
132	и благодаря	3	1
133	друг от	1	1
134	в чем	3	1
135	на основании	1	1
136	а с	1	1
137	мы еще	3	1
138	новые и	2	1
139	но только	2	1
140	тех кто	2	1
141	в лучшем	1	1
142	в сущности	8	1
143	в область	3	1
144	это наиболее	2	1
145	он говорит	2	1
146	его в	3	1
147	представляется нам	1	1
148	в процессе	3	1
149	между собою	3	1
150	новое и	2	1
151	вовсе не	11	1
152	не меняет	1	1
153	с одной	3	1
154	больше того	1	1
155	и наконец	6	1
156	конечно не	2	1
157	о том	13	1
158	мы не	2	1
159	в заключение	2	1
160	но именно	3	1
161	мысли в	1	1
162	том и	2	1
163	в этих	6	1
164	у него	13	1
165	по себе	2	1
166	на первый	2	1
167	перед нами	5	1
168	из тех	1	1
169	литературе и	2	1
170	все то	3	1
171	же время	12	1
172	наконец в	1	1
173	что на	1	1
174	даже больше	2	1
175	это не	7	1
176	одной стороны	3	1
177	в связи	3	1
178	бы в	3	1
179	стало быть	1	1
180	в виде	2	1
181	в настоящее	1	1
182	именно в	4	1
183	никогда не	6	1
184	и есть	3	1
185	не может	4	1
186	между ними	2	1
187	и как	5	1
188	что все	3	1
189	литературе мы	1	1
190	место в	4	1
191	не без	1	1
192	как и	19	1
193	ничего не	4	1
194	в них	14	1
