N	3gram	Bakhtin_Fr	Marksizm
1	с точки зрения	5	46
2	не может быть	4	25
3	в самом деле	2	19
4	по отношению к	1	15
5	то же время	14	15
6	в то же	14	15
7	в том что	8	14
8	в связи с	5	14
9	и не может	1	12
10	для того чтобы	8	11
11	до сих пор	3	11
12	в отличие от	3	10
13	с самого начала	3	10
14	в большинстве случаев	5	9
15	одного и того	1	9
16	и того же	1	9
17	но в то	6	9
18	то же самое	3	8
19	может быть и	1	8
20	с другой стороны	2	7
21	в свою очередь	1	7
22	как мы уже	6	6
23	является не только	1	6
24	на самом деле	4	6
25	если бы он	1	6
26	с одной стороны	2	6
27	и как бы	2	5
28	самом же деле	4	5
29	на самом же	4	5
30	той или иной	1	5
31	как мы видели	4	5
32	в этом отношении	7	5
33	вполне понятно что	1	4
34	мы уже знаем	1	4
35	так и от	1	4
36	в первом случае	3	4
37	в зависимости от	1	4
38	как мы сказали	2	4
39	в нем нет	1	4
40	быть и речи	1	4
41	и прежде всего	4	4
42	о том что	5	4
43	можно сказать что	4	4
44	в узком смысле	1	4
45	тесно связана с	1	3
46	в той или	1	3
47	и тот же	2	3
48	не только в	1	3
49	тем не менее	1	3
50	одной стороны и	1	3
51	в том числе	6	3
52	более или менее	2	3
53	и то же	1	3
54	друг с другом	2	3
55	в конце концов	1	3
56	мы не будем	1	3
57	том числе и	3	3
58	и т.п в	2	3
59	в значительной степени	1	3
60	и речи о	1	3
61	нет места для	1	3
62	в ее целом	1	3
63	но и в	3	3
64	один и тот	1	3
65	на первый план	3	3
66	и не в	2	3
67	и той же	1	3
68	связи с этим	3	3
69	на этот вопрос	1	3
70	если мы отвлечемся	1	3
71	одно и то	1	3
72	можно было бы	2	3
73	одной и той	1	3
74	в следующей главе	1	3
75	что он не	1	2
76	рано или поздно	1	2
77	до известной степени	4	2
78	самом деле в	1	2
79	происходит как бы	2	2
80	в коем случае	1	2
81	друг от друга	1	2
82	так и в	1	2
83	мы видели что	2	2
84	то же слово	1	2
85	ничего общего с	1	2
86	мы можем сказать	1	2
87	между тем как	2	2
88	в данном случае	4	2
89	и в других	1	2
90	к тому же	3	2
91	людей так и	1	2
92	со всею отчетливостью	1	2
93	слова при этом	1	2
94	в его целом	1	2
95	мы видели как	2	2
96	все формы и	1	2
97	оставаясь в пределах	1	2
98	от того что	1	2
99	и в особенности	1	2
100	как и в	1	2
101	а следовательно и	1	2
102	в г в	1	2
103	и так сказать	1	2
104	в чем же	3	2
105	независимо от того	1	2
106	таким образом в	3	2
107	характерно что в	2	2
108	и та же	1	2
109	ни в коем	1	2
110	как и все	5	2
111	так же как	4	2
112	во всех областях	1	2
113	хотя бы в	2	2
114	же как и	2	2
115	как мы увидим	1	2
116	одна и та	1	2
117	и т.п эта	1	2
118	и в самом	1	2
119	является одним из	2	2
120	это и есть	2	2
121	нет и не	1	2
122	этом моменте не	1	1
123	к нему не	2	1
124	как и во	2	1
125	соответствии с этим	1	1
126	все то что	5	1
127	бы он ни	1	1
128	раз того что	1	1
129	он еще не	1	1
130	том что это	1	1
131	как раз того	1	1
132	мы не находим	1	1
133	хлеб и вино	3	1
134	в конечном счете	1	1
135	можем сказать что	1	1
136	в нем не	4	1
137	которой мы здесь	1	1
138	того чтобы не	1	1
139	как мы говорили	1	1
140	о чем мы	2	1
141	из этих двух	1	1
142	то что не	1	1
143	имеется в виду	2	1
144	свою связь с	1	1
145	лишь одной из	1	1
146	можно прямо сказать	1	1
147	или иной форме	1	1
148	до наших дней	1	1
149	и даже в	2	1
150	момент в нем	1	1
151	в предыдущей главе	1	1
152	он не может	1	1
153	теперь мы можем	1	1
154	между словом и	2	1
155	в том же	1	1
156	но если мы	1	1
157	совершенно так же	2	1
158	она и не	1	1
159	характерное для эпохи	1	1
160	почти не имеет	1	1
161	но именно это	1	1
162	что не имеет	1	1
163	в строгом смысле	1	1
164	нами в предыдущей	1	1
165	по природе своей	1	1
166	с помощью которых	2	1
167	во втором случае	3	1
168	поэтому и невозможно	1	1
169	отражает в себе	1	1
170	всего сказанного нами	2	1
171	не имеет значения	1	1
172	мысли теперь мы	1	1
173	видим таким образом	1	1
174	конечно далеко не	2	1
175	на анализе его	1	1
176	начало и конец	1	1
177	хотя и в	1	1
178	и кричит ему	1	1
179	то перед нами	1	1
180	на самой границе	1	1
181	в особенности же	1	1
182	резких границ между	1	1
183	для правильного понимания	1	1
184	чрезвычайно характерны для	1	1
185	дело шло о	1	1
186	с тем и	1	1
187	ко всякого рода	1	1
188	одной из форм	1	1
189	вместо того чтобы	1	1
190	все сказанное нами	1	1
191	но как мы	1	1
192	а в связи	1	1
193	очень тесно связана	1	1
194	мы все время	1	1
195	в соответствии с	1	1
196	как бы он	1	1
197	по ту сторону	1	1
198	точки зрения этого	1	1
199	а с другой	1	1
200	хотя она и	1	1
201	существует как бы	1	1
202	не хочет и	1	1
203	от него не	1	1
204	и в основе	1	1
205	как раз и	1	1
206	но в его	1	1
207	это вовсе не	1	1
208	и на все	1	1
209	и описано совершенно	1	1
210	не подлежит конечно	1	1
211	и т.п но	1	1
212	не нуждается в	2	1
213	все это не	1	1
214	но ни в	1	1
215	сказать что вся	1	1
216	в одном случае	1	1
217	мы еще вернемся	1	1
218	там нет и	1	1
219	строй и порядок	1	1
220	главу там мы	1	1
221	таким образом и	2	1
222	с внешним миром	1	1
223	так же и	1	1
224	же самое что	1	1
225	и т.п то	1	1
226	внешней и внутренней	1	1
227	и в этой	2	1
228	сказать что большинство	1	1
229	неразрывно связана с	1	1
230	оставляют в покое	1	1
231	сих пор не	1	1
232	то есть в	4	1
233	но он не	1	1
234	и потому она	1	1
235	только благодаря этому	1	1
236	большей или меньшей	1	1
237	вместе с тем	2	1
238	эти особенности в	1	1
239	в прямой и	1	1
240	но кроме того	1	1
241	большое место в	2	1
242	не имеют ничего	1	1
243	что иное как	1	1
244	и вот в	1	1
245	он не только	2	1
246	в сущности это	1	1
247	в нашем отрывке	1	1
248	в одной из	2	1
249	а не как	1	1
250	таким образом отчетливо	1	1
251	не имеет никакого	1	1
252	и землю и	1	1
253	и в соответствии	1	1
254	здесь как и	2	1
255	в другом месте	3	1
256	и вовсе не	3	1
257	же время он	1	1
258	непосредственно связанных с	1	1
259	то что в	1	1
260	в литературе в	1	1
261	следовательно вовсе не	1	1
262	имеют ничего общего	1	1
263	несколько слов об	1	1
264	мы здесь не	1	1
265	конечно не в	1	1
266	во франции и	1	1
267	в то время	3	1
268	в большей или	1	1
269	коем случае нельзя	1	1
270	так как оно	1	1
271	все же не	1	1
272	и т.п все	1	1
273	и с точки	2	1
274	одно из важнейших	1	1
275	в самой жизни	2	1
276	в обоих случаях	1	1
277	не что иное	1	1
278	дело в том	4	1
279	здесь перед нами	3	1
280	оно ничего не	1	1
281	он ни был	1	1
282	в отрыве от	2	1
283	в лучшем случае	1	1
284	в первой части	3	1
285	подобно тому как	2	1
286	таким образом как	1	1
287	уже говорили что	1	1
288	и не менее	1	1
289	и способы их	1	1
290	во всех этих	2	1
291	и все остальные	1	1
292	все эти речевые	1	1
293	и без того	1	1
294	и что в	1	1
295	и др о	1	1
296	мы видим таким	1	1
297	жизни в ее	1	1
298	в xvii веке	3	1
299	в сущности только	2	1
300	и здесь и	2	1
301	в романе не	1	1
302	в этой же	2	1
303	так как они	3	1
304	также и все	1	1
305	сказать что и	3	1
306	лучшем случае объяснить	1	1
307	что здесь в	1	1
308	в основе своей	1	1
309	мы уже говорили	7	1
310	с ее помощью	1	1
311	и не нуждаются	1	1
312	прямо сказать что	1	1
313	это прежде всего	1	1
314	в виду что	1	1
315	и последнее слово	1	1
316	не перестает быть	1	1
317	в процессе своего	1	1
318	и связанные с	2	1
319	чужды друг другу	1	1
320	после того как	1	1
321	мы не можем	1	1
322	ровно ничего не	2	1
323	в другом случае	1	1
324	ни о каком	1	1
325	к жизни и	1	1
326	мы уже сказали	3	1
