N	2gram	Tiupa_Lite	VLabPisa
1	таким образом	4	32
2	в этом	19	29
3	не только	29	26
4	и в	26	26
5	и т	2	25
6	творческого процесса	2	23
7	может быть	24	23
8	творческого воображения	1	21
9	и не	19	20
10	хотя бы	3	20
11	объективной действительности	1	19
12	художественного творчества	3	19
13	творческое воображение	1	18
14	не может	10	17
15	творческий процесс	2	17
16	в его	9	15
17	в том	22	15
18	этом отношении	5	14
19	в силу	4	14
20	прежде всего	14	13
21	в качестве	21	12
22	в частности	18	12
23	как это	9	12
24	что в	7	11
25	с другой	11	11
26	из них	5	11
27	то же	13	10
28	не могут	1	10
29	в художественном	6	10
30	о том	3	10
31	но и	25	10
32	реальной действительности	1	10
33	по этому	2	10
34	и др	4	10
35	для него	6	9
36	т п	2	9
37	к этому	2	9
38	могут быть	4	8
39	говорит и	1	8
40	другой стороны	5	8
41	только в	8	8
42	по словам	1	8
43	на основании	1	8
44	все эти	2	8
45	вместе с	5	8
46	том что	19	8
47	ни один	1	8
48	было бы	4	8
49	не следует	1	8
50	в своем	12	8
51	произведения и	1	7
52	в основном	1	7
53	это не	4	7
54	говорит о	1	7
55	в году	18	7
56	в конечном	9	7
57	не было	5	7
58	по отношению	6	7
59	очевидно что	2	7
60	тому что	1	7
61	как и	13	7
62	во всех	4	7
63	а не	28	7
64	этому поводу	1	7
65	то что	14	7
66	художественное произведение	2	7
67	отношению к	4	7
68	же в	6	7
69	в нем	4	7
70	из этих	2	7
71	один из	7	6
72	произведения как	2	6
73	художественное творчество	2	6
74	у него	5	6
75	все же	6	6
76	приводит к	4	6
77	идеи и	1	6
78	он же	2	6
79	в искусстве	4	6
80	не в	11	6
81	между тем	2	6
82	художественном творчестве	1	6
83	так и	7	6
84	художественного произведения	1	6
85	в себе	8	6
86	в зависимости	1	6
87	том же	3	6
88	и его	7	6
89	в то	12	6
90	даже в	6	5
91	в результате	2	5
92	в их	3	5
93	в них	1	5
94	связи с	7	5
95	одним из	8	5
96	конечном счете	8	5
97	зависимости от	1	5
98	к тому	3	5
99	перед нами	1	5
100	не является	3	5
101	он говорит	2	5
102	на основе	2	5
103	вот почему	1	5
104	для художника	1	5
105	в одном	2	5
106	в пределах	4	5
107	же время	12	5
108	как бы	8	5
109	в целом	10	5
110	сказать что	1	5
111	в плане	1	5
112	и есть	3	5
113	никогда не	5	5
114	в самом	4	4
115	различного рода	2	4
116	ее в	1	4
117	только что	1	4
118	в ее	1	4
119	как раз	6	4
120	можно сказать	1	4
121	что для	2	4
122	в этой	7	4
123	следующим образом	2	4
124	что он	8	4
125	в виду	4	4
126	по существу	4	4
127	в романе	1	4
128	с тем	2	4
129	в своей	5	4
130	одном из	3	4
131	роль в	2	4
132	должен быть	2	4
133	с его	5	4
134	в связи	4	4
135	когда он	1	4
136	в нашей	2	4
137	в сознании	3	4
138	из его	2	4
139	не удивительно	1	4
140	одна из	8	4
141	по поводу	2	4
142	отнюдь не	4	4
143	во время	1	4
144	в статье	2	4
145	и к	1	3
146	что они	1	3
147	пушкин в	1	3
148	данного произведения	1	3
149	и он	3	3
150	о работе	1	3
151	мы знаем	1	3
152	мы имеем	2	3
153	действительной жизни	1	3
154	а вот	2	3
155	того что	7	3
156	никак не	2	3
157	но как	3	3
158	него в	2	3
159	со своим	2	3
160	что и	3	3
161	у нас	5	3
162	сводится к	4	3
163	подобно тому	4	3
164	его в	4	3
165	творчества и	1	3
166	если бы	1	3
167	или в	1	3
168	пишет и	1	3
169	это мы	1	3
170	именно в	1	3
171	в конце	6	3
172	например в	3	3
173	между ними	1	3
174	и как	2	3
175	в творческом	2	3
176	в слове	3	3
177	же и	3	3
