N	4gram	Voloshinov	StatiiOP
1	дело в том что	4	9
2	в то же время	1	9
3	говорит о том что	1	5
4	в то время как	1	5
5	в том что в	1	4
6	одним и тем же	1	3
7	что не может быть	1	2
8	но в то же	1	2
9	все более и более	1	2
10	бы то ни было	3	2
11	что мы имеем в	1	2
12	и в этом смысле	1	2
13	но сами по себе	1	1
14	до сих пор мы	1	1
15	каких бы то ни	1	1
16	в ее отношении к	1	1
17	не может быть и	2	1
18	бы они ни были	1	1
19	в самом деле в	1	1
20	и по отношению к	3	1
21	и на этом основании	1	1
22	одно и то же	2	1
23	то же время не	1	1
24	до сих пор не	1	1
25	одному и тому же	1	1
26	так же как и	1	1
27	мы имеем дело с	1	1
