N	2gram	Propp_Isto	Morfolog
1	и т	29	62
2	может быть	19	61
3	т д	25	60
4	и пр	2	45
5	в сказке	57	27
6	таким образом	15	26
7	т е	34	25
8	волшебного средства	2	23
9	могут быть	3	21
10	так как	21	20
11	мы имеем	27	19
12	не может	19	19
13	в этом	19	18
14	в этих	16	17
15	представляет собой	8	17
16	и в	41	17
17	представляют собой	5	16
18	и не	12	16
19	мы видим	14	15
20	этих случаях	18	15
21	сказке №	1	14
22	перед нами	4	14
23	с этим	3	14
24	прежде всего	6	14
25	эта форма	4	14
26	по существу	5	13
27	видим что	4	12
28	при помощи	6	12
29	связи с	3	12
30	и др	4	12
31	а не	9	11
32	заметить что	1	11
33	чаще всего	8	11
34	что в	21	10
35	то же	12	10
36	а затем	1	10
37	вопрос о	6	10
38	мы увидим	6	10
39	не всегда	6	10
40	но если	2	10
41	этом случае	4	10
42	в том	14	10
43	так и	8	10
44	что и	13	10
45	в связи	3	10
46	составные части	1	10
47	то что	12	10
48	все же	14	9
49	с другой	20	9
50	но и	20	9
51	можно наблюдать	2	8
52	не только	30	8
53	в результате	1	8
54	имеем в	8	8
55	мы не	10	8
56	в качестве	5	8
57	но не	8	8
58	в тех	8	8
59	а в	12	8
60	как мы	6	8
61	нет необходимости	3	7
62	один из	7	7
63	и здесь	13	7
64	трудная задача	3	7
65	если в	3	7
66	не могут	3	7
67	не менее	5	7
68	том что	18	7
69	потому что	13	7
70	этот случай	16	7
71	по отношению	3	7
72	наряду с	2	7
73	точки зрения	4	7
74	как это	6	7
75	тем не	4	7
76	и этим	7	7
77	образом мы	4	7
78	а также	2	7
79	отношению к	3	7
80	и другие	10	6
81	сказки с	1	6
82	наблюдать что	1	6
83	в иное	6	6
84	о том	15	6
85	сказки и	2	6
86	большей частью	2	6
87	как бы	8	6
88	иное царство	8	6
89	в поиски	1	6
90	не все	4	6
91	увидим ниже	1	6
92	но это	5	6
93	это не	14	6
94	с точки	1	6
95	в образе	4	6
96	сказки о	2	6
97	к царевне	2	6
98	или в	11	6
99	и как	3	6
100	вовсе не	6	6
101	во всех	8	6
102	если мы	1	6
103	очень часто	3	6
104	может считаться	1	6
105	в форме	4	6
106	во время	7	6
107	они и	1	5
108	героя в	3	5
109	этот момент	1	5
110	в море	1	5
111	из которых	3	5
112	другой стороны	17	5
113	вслед за	2	5
114	этот элемент	1	5
115	ложный герой	2	5
116	начинается с	4	5
117	что он	29	5
118	как в	17	5
119	на коне	4	5
120	со стороны	3	5
121	герой получает	5	5
122	видно что	7	5
123	то это	7	5
124	в сказку	1	5
125	хотя бы	1	5
126	было бы	4	5
127	в точности	2	5
128	к тому	4	5
129	ничего не	7	5
130	что они	5	5
131	не будем	2	5
132	хотя и	3	5
133	два раза	1	5
134	тому что	2	5
135	бой со	1	5
136	учение о	1	5
137	ясно что	2	5
138	все эти	8	5
139	одна из	7	5
140	между собой	1	5
141	на его	6	5
142	то можно	1	5
143	об этом	7	5
144	в других	6	5
