N	4gram	Vygotskiy_	Freidism
1	но во всяком случае	1	3
2	одной и той же	3	3
3	как мы уже указывали	1	3
4	один и тот же	5	3
5	заключается в том что	10	2
6	с объективной точки зрения	1	2
7	в том что он	3	2
8	но мы знаем что	1	2
9	бы то ни было	1	2
10	этим дело не исчерпывается	1	1
11	имеющие ничего общего с	1	1
12	чтобы ответить на этот	1	1
13	и связанное с ним	1	1
14	того что мы знаем	1	1
15	но этим дело не	1	1
16	приходит к выводу что	1	1
17	что он делает и	1	1
18	равно как и на	1	1
19	дело не исчерпывается мы	1	1
20	одни и те же	1	1
21	с их помощью мы	1	1
22	не может быть понято	1	1
23	в собственном смысле этого	1	1
24	в этом отношении может	1	1
25	и по отношению к	1	1
26	мы имеем в виду	1	1
27	не исчерпывается мы должны	1	1
28	с точки зрения обоих	1	1
29	сводится к тому чтобы	1	1
30	мы видим таким образом	1	1
31	мы знаем что это	1	1
32	одно и то же	1	1
33	ответить на этот вопрос	1	1
34	в гораздо большей степени	1	1
35	но и по отношению	1	1
36	мы знаем что в	1	1
37	собственном смысле этого слова	1	1
38	речи так как это	1	1
39	в том что в	2	1
40	того что нам известно	2	1
41	не имеющие ничего общего	1	1
42	которую можно было бы	1	1
43	от того что он	2	1
44	он приходит к выводу	1	1
45	не что иное как	2	1
46	мы могли бы говорить	1	1
47	видим таким образом что	1	1
48	ответ на этот вопрос	2	1
49	в собственном смысле слова	1	1
50	в самом деле если	2	1
51	есть не что иное	2	1
52	если можно так выразиться	1	1
