N	4gram	Tiupa_Teor	DiskursI
1	в то же время	8	8
2	состоит в том что	5	7
3	с одной стороны и	1	5
4	дело в том что	1	5
5	может быть определена как	1	5
6	одного и того же	4	4
7	определяется предметом целью и	1	3
8	в том что в	1	3
9	в том числе и	2	3
10	предметом целью и ситуацией	1	3
11	целью и ситуацией высказывания	1	3
12	одно и то же	2	3
13	выготским и н.и жинкиным	1	2
14	той мере в какой	1	2
15	в готовом стабильно дифференцированном	1	2
16	дифференцированном и оцененном мире	1	2
17	очередь определяется предметом целью	1	2
18	строго отграниченная система смыслов	1	2
19	в той мере в	1	2
20	в том случае если	1	2
21	живет в готовом стабильно	1	2
22	даль и сближение но	2	2
23	нем звучит один голос	1	2
24	оно живет в готовом	1	2
25	сближение но не слияние	3	2
26	что они хотят и	2	2
27	суть то что они	2	2
28	и строго отграниченная система	1	2
29	в свою очередь определяется	1	2
30	завершенная и строго отграниченная	1	2
31	по своей природе суть	2	2
32	природе суть то что	2	2
33	а по своей природе	1	2
34	свою очередь определяется предметом	1	2
35	и в то же	2	2
36	своей природе суть то	2	2
37	в нем звучит один	1	2
38	мы имеем дело не	1	2
39	они хотят и свершают	2	2
40	в самом общем виде	1	2
41	ни прибавить ни убавить	1	2
42	преодолеваемая даль и сближение	2	2
43	не выбирают а по	1	2
44	чужой речи и т.п	1	2
45	готовом стабильно дифференцированном и	1	2
46	и сближение но не	2	2
47	л.с выготским и н.и	1	2
48	бы то ни было	2	2
49	то что они хотят	2	2
50	выбирают а по своей	1	2
51	одним и тем же	1	2
52	субъекта объекта и адресата	1	2
53	стабильно дифференцированном и оцененном	1	2
54	высказывания жанр в свою	1	1
55	ошибка оговорка где слово	1	1
56	пространственно-временных масштабов и соотношений	1	1
57	смыслом ни в мире	1	1
58	и возможность иной интонации	1	1
59	в силу своей принципиальной	2	1
60	в их отношении к	1	1
61	и не могло быть	2	1
62	когда ни прибавить ни	1	1
63	которого он от позиции	1	1
64	проецировать чужой экзистенциальный опыт	1	1
65	присутствует как правило лишь	1	1
66	скрытой полускрытой рассеянной чужой	1	1
67	совершенно иными границами между	1	1
68	того требует авторитетное слово	1	1
69	судьбы они едины судьба	1	1
70	в новелле есть нарушение	1	1
71	нами не как объекты	1	1
72	всегда предносится целое нашего	1	1
73	искусство заинтересовывать судьбой отдельных	1	1
74	к интонации доверительной и	1	1
75	ни столь пассивным как	1	1
76	разделение иерархично оно не	1	1
77	есть биография и не	1	1
78	фон романного видения мира	1	1
79	форме индивидуального речевого замысла	1	1
80	исторически продуктивный тип высказывания	1	1
81	жанровой схемы и в	1	1
82	сюжетообразующим при этом и	1	1
83	выводится в просторную сферу	1	1
84	здесь обычно является сюжетообразующим	1	1
85	притчи может быть определена	1	1
86	речь включая разные формы	1	1
87	в дискурсе речевой акт	1	1
88	образ становящегося человека с	1	1
89	монологизированного слова в слове	1	1
90	и не дает позвоночника	1	1
91	очередь по отношению к	1	1
92	иллюзии живого голоса зримого	1	1
93	отношение к своему герою	1	1
94	и соотношений такая возможность	1	1
95	бросает звук в архитектуру	1	1
96	рекоша но от божья	1	1
97	анекдот но без благоговейного	1	1
98	стилевых формах косвенной речи	1	1
99	двуголосого слова манифестирующего двоякий	1	1
100	однозначности и прежде всего	1	1
101	не предполагает внутренне свободного	1	1
102	примеряя ее содержание к	1	1
103	не было и не	1	1
104	включая разные формы скрытой	1	1
105	нам всегда предносится целое	1	1
106	бытуют как слухи или	1	1
107	о ней установка не	1	1
108	не столько от содержания	1	1
109	сказания или анекдота ценностное	1	1
110	или острота наизнанку глупость	1	1
111	преступается не предначертанность судьбы	1	1
112	отношению к самому герою	1	1
113	фактический слушатель читатель может	1	1
114	есть монолог в чистом	1	1
115	биография возможна только в	1	1
116	составляет преломляющая несобственно-прямая речь	1	1
117	не что иное как	1	1
118	не может обладать собственным	1	1
119	дай мне бог сойти	1	1
120	непристойность необыкновенное в новелле	1	1
121	внутренняя активность адресата при	1	1
122	протороманного коммуникативного события суть	1	1
123	романного образа и романного	1	1
124	известном смысле домонологично оно	1	1
125	ни изменить ничего нельзя	1	1
126	без благоговейного приятия и	1	1
127	занять уготованной ему позиции	1	1
128	стороны адресата притчи может	1	1
129	восприятия сказания или анекдота	1	1
130	следит за блужданиями его	1	1
131	суть равнодостойные субъекты смыслополагания	1	1
132	была впервые освоена в	1	1
133	точными они бытуют как	1	1
134	иными соседствами именно это	1	1
135	нравственный закон собственно и	1	1
136	ситуации рассказывания а не	1	1
137	принципиально недопустимая в сказании	1	1
138	занимательное неожиданное маловероятное беспрецедентное	1	1
139	ни столь свободным как	1	1
140	адресата от героя окажется	1	1
141	человеческому существованию вследствие которого	1	1
142	слова манифестирующего двоякий жизненный	1	1
143	и поучаемого это разделение	1	1
144	причастности к общему миропорядку	1	1
145	к этим моментам родственным	1	1
146	в сказании или притче	1	1
