N	3gram	Medvedev_F	Myslijsy
1	в том что	3	47
2	по отношению к	4	26
3	не может быть	11	19
4	тем не менее	2	18
5	по крайней мере	1	17
6	и т д	11	15
7	сам по себе	2	14
8	в свою очередь	6	14
9	не в том	3	13
10	то же время	13	13
11	от того что	1	13
12	в том смысле	3	13
13	в то же	13	13
14	более или менее	7	12
15	смысле этого слова	4	12
16	с другой стороны	4	12
17	и в этом	6	12
18	до сих пор	7	12
19	только в том	1	12
20	во всяком случае	6	12
21	для того чтобы	3	11
22	сами по себе	4	11
23	и т п	11	11
24	но тем не	1	10
25	с одной стороны	5	10
26	в таком случае	1	9
27	потому что не	1	9
28	то и другое	1	9
29	но и в	4	9
30	до тех пор	1	9
31	мы не можем	3	9
32	не могут быть	4	9
33	что и в	2	9
34	смысле в каком	1	8
35	так и в	6	8
36	вместе с тем	5	8
37	на самом деле	7	8
38	как бы ни	3	8
39	в этом случае	1	8
40	с тем что	3	8
41	в том как	1	7
42	в этом смысле	3	7
43	можно думать что	1	7
44	не только не	2	7
45	сама по себе	2	7
46	и в том	1	7
47	с точки зрения	17	7
48	как и в	1	7
49	и как бы	1	6
50	друг от друга	2	6
51	и может быть	1	6
52	с самого начала	2	6
53	том смысле в	1	6
54	по себе а	2	5
55	в том случае	2	5
56	то же что	1	5
57	между тем как	1	5
58	с тем и	2	5
59	по себе не	1	5
60	к тому что	3	5
61	языка и его	5	5
62	таким образом в	1	5
63	что если бы	1	5
64	из виду что	2	4
65	все то что	1	4
66	том смысле что	2	4
67	в собственном смысле	1	4
68	с этой точки	1	4
69	все более и	3	4
70	в данном случае	2	4
71	в том и	1	4
72	в том чтобы	3	4
73	могут быть названы	1	4
74	более и более	3	4
75	на этот вопрос	1	4
76	в противном случае	2	4
77	не что иное	1	4
78	именно в том	2	4
79	и в свою	1	4
80	и то и	1	4
81	что касается до	1	4
82	в общих чертах	1	4
83	что иное как	1	4
84	в этом отношении	7	4
85	что он не	1	3
86	именно того что	2	3
87	лишь в том	1	3
88	как и во	1	3
89	одной стороны и	4	3
90	в применении к	4	3
91	до известной степени	3	3
92	в большинстве случаев	5	3
93	хотя бы и	1	3
94	говоря уже о	1	3
95	так или иначе	1	3
96	ничего общего с	2	3
97	с этой стороны	1	3
98	и тем самым	2	3
99	в связи с	9	3
100	бы то ни	4	3
101	между тем в	1	3
102	таким образом мы	1	3
103	равно как и	1	3
104	заключается в том	1	3
105	это не так	1	3
106	внутренняя форма слова	1	3
107	бы ни было	1	3
108	со всех сторон	1	3
109	из того что	1	3
110	не говоря уже	1	3
111	не менее в	1	3
112	в таком виде	1	3
113	этой точки зрения	1	3
114	мы увидим что	1	3
115	что же касается	1	3
116	нам кажется что	1	3
117	место в системе	1	2
118	определенное место в	1	2
119	самих по себе	1	2
120	но вместе с	1	2
121	и многие другие	1	2
122	чтобы понять что	1	2
123	если же мы	1	2
124	что оно не	1	2
125	одного к другому	1	2
126	мы говорим о	2	2
