N	3gram	Tiupa_Narr	Morfolog
1	не может быть	5	9
2	в связи с	2	9
3	по отношению к	6	7
4	с точки зрения	2	6
5	тем не менее	3	6
6	подобно тому как	2	5
7	как мы увидим	1	5
8	с другой стороны	4	5
9	а также и	1	5
10	в том что	8	4
11	независимо от того	1	4
12	на самом деле	1	4
13	но все же	4	4
14	о том что	6	3
15	как и в	1	3
16	бы то ни	3	3
17	состоит в том	3	3
18	в первом случае	2	3
19	далеко не все	1	3
20	на первый взгляд	2	3
21	до наших дней	1	2
22	более или менее	2	2
23	не что иное	2	2
24	можно было бы	2	2
25	точно так же	2	2
26	в данном случае	4	2
27	то ни было	3	2
28	не входит в	1	2
29	что иное как	2	2
30	с этого момента	1	2
31	с одной стороны	7	2
32	во второй раз	1	2
33	в этом отношении	3	2
34	может быть и	1	2
35	есть не что	1	1
36	в свою очередь	3	1
37	и тот же	1	1
38	в полном объеме	1	1
39	к тому или	1	1
40	и даже не	1	1
41	они не приводят	1	1
42	к нему в	1	1
43	до известной степени	1	1
44	то что он	1	1
45	герой волшебной сказки	1	1
46	тысяча и одна	1	1
47	здесь также не	1	1
48	они и не	1	1
49	тому или другому	1	1
50	один и тот	1	1
51	здесь как и	1	1
52	в первый раз	1	1
53	это дает нам	1	1
54	с этой точки	1	1
55	и небо и	1	1
56	из этих двух	1	1
57	можно сказать что	4	1
58	далеко не всегда	1	1
59	в то же	3	1
60	тех или иных	1	1
61	как мы уже	1	1
62	хотя они и	1	1
63	в таком случае	2	1
64	и как будто	1	1
65	друг с другом	1	1
66	до сих пор	1	1
67	одна за другой	1	1
68	и одна ночь	1	1
69	иметь в виду	1	1
70	той или иной	4	1
71	она все же	1	1
72	в том или	2	1
73	если же в	1	1
74	она может быть	1	1
75	будет сказано ниже	1	1
76	том что он	1	1
77	что они хотят	1	1
78	а во втором	2	1
79	этой точки зрения	2	1
80	однако далеко не	1	1
81	лишь постольку поскольку	1	1
82	может быть зафиксирована	1	1
83	один из них	1	1
84	к другому что	1	1
85	то что они	1	1
86	то же время	3	1
87	некоторые из них	1	1
88	не то что	2	1
89	но это не	1	1
90	он идет по	1	1
91	что несмотря на	1	1
92	он не может	1	1
93	ответ на него	1	1
94	героя к месту	1	1
