N	3gram	Berdyaev_N	Vladivir
1	в том что	1	29
2	о том что	1	22
3	в то время	1	13
4	во всяком случае	1	12
5	не может быть	4	10
6	вместе с тем	2	10
7	то что он	1	9
8	в этом смысле	2	9
9	это значит что	1	7
10	в отличие от	1	6
11	с другой стороны	2	6
12	и потому что	1	5
13	то что в	1	5
14	не только в	1	5
15	то время как	1	5
16	и вместе с	1	4
17	что в этом	1	4
18	в том чтобы	1	4
19	можно было бы	1	4
20	с одной стороны	2	4
21	в последние годы	1	3
22	а не к	1	3
23	в том числе	1	3
24	не в том	1	3
25	в том случае	1	3
26	так же как	2	2
27	от того чтобы	1	2
28	то это есть	1	2
29	и не в	1	2
30	совершенно так же	1	2
31	у него как	1	2
32	до сих пор	1	2
33	том и заключается	2	2
34	ни в какие	1	2
35	и совсем не	1	2
36	в том и	2	2
37	говорит что в	1	2
38	ни в чем	1	2
39	как это было	1	2
40	будет сказать что	1	2
41	и заключается что	2	2
42	есть прежде всего	1	2
43	это конечно не	1	2
44	что в нем	2	2
45	том случае если	1	2
46	это и есть	1	2
47	духовного и материального	2	2
48	и учителей церкви	1	1
49	лишь в том	1	1
50	во имя своих	1	1
51	и в жизни	1	1
52	бог не есть	1	1
53	как будто бы	1	1
54	оснований думать что	1	1
55	в природе но	1	1
56	а не с	1	1
57	к одному из	1	1
58	человека вот что	1	1
59	не было и	1	1
60	наряду с этим	1	1
61	бытия как не	1	1
62	он не может	2	1
63	в котором и	1	1
64	не значит что	3	1
65	истории потому что	1	1
66	конечно не в	1	1
67	сказать что все	1	1
68	в такой же	1	1
69	в то что	1	1
70	в россии и	1	1
71	есть вместе с	1	1
72	в самом себе	1	1
73	в существе своем	1	1
74	природе но и	1	1
75	не имеют никакого	1	1
76	в высшей степени	6	1
77	лицом к лицу	3	1
78	или не знал	1	1
79	в известном смысле	1	1
80	и стремится к	1	1
81	и это есть	1	1
82	и возвращается к	1	1
83	в ней нет	1	1
84	равно как и	2	1
85	и должно быть	2	1
86	по существу своему	1	1
87	в боге и	1	1
88	но и в	1	1
89	не удалось но	1	1
90	в том смысле	1	1
91	востока и запада	1	1
92	xix века и	2	1
93	на протяжении всей	1	1
94	еще не было	1	1
95	в средние века	3	1
96	и в ней	1	1
97	должен прежде всего	1	1
98	никогда не было	2	1
99	есть бог и	1	1
100	такой же мере	1	1
101	только потому что	1	1
102	должно быть в	1	1
103	большую роль в	2	1
104	же как и	1	1
105	выходит за пределы	1	1
106	в виду эту	1	1
107	в новое время	1	1
108	о человеке и	1	1
109	а во имя	1	1
110	случае если есть	1	1
111	и не может	1	1
112	вопрос о том	2	1
113	к жизни и	1	1
