N	3gram	Medvedev_V	Otkroven
1	у него в	1	5
2	для того чтобы	3	3
3	не могут быть	4	2
4	как и все	1	2
5	не может быть	8	2
6	но и в	1	2
7	и никогда не	2	2
8	в вечном муже	1	1
9	хотя и не	1	1
10	и не быть	1	1
11	о том что	3	1
12	в том что	5	1
13	не в том	2	1
14	в том случае	1	1
15	бы и не	3	1
16	в виду не	1	1
17	то что в	1	1
18	в самом деле	1	1
19	все это вопрос	1	1
20	и в творчестве	1	1
21	том случае если	1	1
22	как будто бы	1	1
23	в силу чего	2	1
24	во всяком случае	2	1
25	в братьях карамазовых	1	1
26	бросается в глаза	1	1
27	в другом месте	2	1
28	т е от	1	1
29	о том как	3	1
30	в этом отношении	14	1
31	между этими двумя	1	1
32	по сравнению с	1	1
33	а не только	1	1
34	на то что	1	1
35	что не могут	1	1
36	у л толстого	2	1
37	человека вообще и	1	1
38	говорит достоевский о	1	1
39	человека а не	1	1
40	от того что	2	1
41	художественном творчестве он	1	1
42	заключает в себе	1	1
43	он говорит в	1	1
44	даже и в	1	1
45	после того как	2	1
46	он и не	1	1
47	и не может	2	1
48	у вл соловьева	1	1
