N	4gram	Savitsky_E	slovoVRo
1	в то же время	14	18
2	той или иной степени	1	13
3	в той или иной	3	13
4	но в то же	2	7
5	и в то же	8	6
6	с одной стороны и	6	4
7	большей или меньшей степени	1	4
8	в большей или меньшей	1	4
9	с этой точки зрения	5	2
10	в то время как	1	2
11	то же время в	1	2
12	и связанное с ним	1	1
13	как не может быть	1	1
14	в начале xx века	1	1
15	и прежде всего в	1	1
16	в том случае если	1	1
17	и до настоящего времени	1	1
18	иначе обстоит дело в	1	1
19	дело в том что	1	1
20	рассматривать с точки зрения	1	1
21	в связи с этим	1	1
22	можно сказать что в	2	1
23	в том числе и	1	1
24	на то или иное	1	1
25	сводится именно к тому	1	1
26	потому с точки зрения	1	1
27	именно к тому что	1	1
28	в отношении к действительному	1	1
29	и в отношении к	1	1
30	бы то ни было	4	1
31	и с точки зрения	1	1
32	одну и ту же	1	1
33	во всех этих случаях	1	1
34	так же как и	3	1
35	и потому с точки	1	1
