N	3gram	Nazirov_Tv	StatiiOP
1	в том что	8	47
2	и т д	10	32
3	о том что	6	29
4	до сих пор	1	19
5	и т п	4	19
6	с другой стороны	2	13
7	во всяком случае	2	13
8	не может быть	2	11
9	в г в	1	10
10	в самом деле	2	9
11	то же время	18	9
12	вместе с тем	1	9
13	в то же	19	9
14	дело в том	4	9
15	можно было бы	1	9
16	тем не менее	2	8
17	к тому что	1	8
18	на самом деле	2	8
19	не только в	2	8
20	к борису годунову	1	7
21	в конце концов	1	7
22	в этой области	1	7
23	в данном случае	2	7
24	заключается в том	1	7
25	и в этом	1	7
26	так же как	1	6
27	в письме к	1	6
28	по отношению к	3	6
29	так и в	2	6
30	том что в	3	6
31	по крайней мере	4	6
32	в одном из	2	6
33	что он не	1	5
34	в том же	3	5
35	нужно сказать что	1	5
36	за то что	1	5
37	в одной из	4	5
38	что же касается	1	5
39	то что в	1	5
40	в начале xix	1	5
41	начале xix века	1	5
42	с самого начала	3	5
43	в применении к	1	4
44	дело не в	1	4
45	так например в	1	4
46	сами по себе	2	4
47	с одной стороны	1	4
48	ничего общего с	1	4
49	в связи с	2	4
50	в другом месте	1	4
51	но это не	2	4
52	того или иного	1	4
53	в мировой литературе	1	4
54	и в самом	1	4
55	и в том	1	4
56	в предисловии к	1	4
57	это не значит	2	3
58	только потому что	1	3
59	о том как	1	3
60	можно сказать что	2	3
61	то или иное	1	3
62	в том числе	1	3
63	не значит что	2	3
64	да и в	1	3
65	это не просто	1	3
66	а с другой	1	3
67	к тому же	1	3
68	в наше время	4	3
69	но все это	1	3
70	бы то ни	1	3
71	что у него	2	3
72	и тем не	1	3
73	это связано с	1	3
74	одном из писем	1	3
75	в известном смысле	2	3
76	в прямом смысле	1	3
77	в первую очередь	1	3
78	в русской литературе	2	3
79	но в целом	1	3
80	на этой почве	1	2
81	у него есть	1	2
82	может быть назван	2	2
83	ни на чем	1	2
84	и в другом	1	2
85	по мнению в	1	2
86	это объясняется тем	1	2
87	хотя бы и	1	2
88	у пушкина этот	1	2
89	какое место занимает	1	2
90	что он был	1	2
91	все более и	1	2
92	что в русской	1	2
93	том числе и	1	2
94	точно так же	3	2
95	а во второй	1	2
96	том что этот	1	2
97	и в то	3	2
98	все же и	1	2
99	в отличие от	2	2
100	что в основу	1	2
101	и в других	1	2
102	то ни было	1	2
103	если не считать	2	2
104	не может не	1	2
105	то же самое	1	2
106	не только с	1	2
107	вряд ли можно	1	2
108	т д и	1	2
109	а как бы	1	2
110	в свою очередь	2	2
111	чуть ли не	1	2
112	той или иной	1	2
113	в чем же	1	2
114	в чем он	1	2
115	в которой он	1	2
116	в целом ряде	1	2
117	он не может	1	2
118	более и более	1	2
119	в настоящее время	1	2
120	на этот вопрос	2	2
121	я не могу	1	2
122	отметить что в	1	2
123	но в то	5	2
124	объясняется тем что	1	2
125	мы имеем в	1	2
126	у нас не	1	2
127	это прежде всего	3	2
128	как и в	2	2
129	что у нас	1	1
130	и более всего	1	1
131	хотя и с	1	1
132	xviii века и	1	1
133	и со всеми	1	1
134	а может быть	2	1
135	то что называют	1	1
136	некоторые из них	1	1
137	и на месте	1	1
138	в россии по	1	1
139	с полным правом	1	1
140	на протяжении всего	2	1
141	но тот же	1	1
142	во второй части	1	1
143	не только потому	1	1
144	дело не только	1	1
145	с первого взгляда	1	1
146	был склонен к	1	1
147	во главе с	2	1
148	целом ряде случаев	1	1
149	в ту же	1	1
150	что в одном	1	1
151	в в виноградов	1	1
152	в конце х	1	1
153	указал что в	1	1
154	трагедии борис годунов	1	1
155	и народ в	1	1
156	д и т	1	1
157	что не надо	1	1
158	мы говорим о	1	1
159	входит в творчество	1	1
160	в раннем творчестве	1	1
161	но ведь в	1	1
162	в ней он	1	1
163	о котором говорилось	1	1
164	и это не	1	1
165	к пушкину для	1	1
166	таким образом уже	1	1
167	на той же	1	1
168	той же странице	1	1
169	сближения с народной	1	1
170	конце х годов	1	1
171	в этой сцене	1	1
172	так что они	1	1
173	кроме всего прочего	1	1
174	в его критике	1	1
175	молиться за царя	1	1
176	и если бы	1	1
177	в первом из	1	1
178	насчет того что	1	1
179	т д в	1	1
180	что он сам	1	1
181	некоторое представление о	1	1
182	в отношении к	1	1
183	россии по мнению	1	1
184	но это еще	1	1
185	в основе этой	1	1
186	об этом сам	1	1
187	другой стороны и	1	1
188	как и всякая	1	1
